Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,10919,10938,10839,175856,1174,19 155 929,-0.05%,0,0,0
1-Jun-18,10924,10931,10701,921335,2538,99 978 206,1.17%,0.6408,0.730502,136.892232
31-May-18,10798,10864,10592,1932216,2330,208 110 071,1.90%,0.6483,0.739026,135.313284
30-May-18,10597,10721,10329,1580655,4832,166 266 165,-0.67%,0.6606,0.753043,132.794487
29-May-18,10669,10677,10191,1593844,4393,167 374 054,4.60%,0.6561,0.747961,133.696742
28-May-18,10200,10409,10092,798978,2961,81 790 764,-1.18%,0.6863,0.782353,127.819549
25-May-18,10322,10583,10231,1366432,4476,141 908 138,-0.60%,0.6782,0.773106,129.348372
24-May-18,10384,10384,10035,1895404,4343,193 920 580,3.62%,0.6741,0.76849,130.125314
23-May-18,10021,10393,10021,1432757,3630,145 258 336,-2.00%,0.6985,0.796328,125.576441
22-May-18,10225,10390,10145,1075813,2811,110 395 055,-1.28%,0.6846,0.78044,128.132833
21-May-18,10358,10496,10294,1318700,3623,136 844 539,-0.78%,0.6758,0.770419,129.7995
18-May-18,10439,10503,10349,1333732,4522,139 022 930,-0.48%,0.6706,0.764441,130.814538
17-May-18,10489,10691,10473,999210,2056,105 508 204,-1.02%,0.6674,0.760797,131.441104
16-May-18,10597,10927,10577,955492,2912,102 168 548,-2.28%,0.6606,0.753043,132.794487
15-May-18,10844,11066,10737,1544640,4120,167 738 832,-1.69%,0.6455,0.735891,135.889725
14-May-18,11030,11161,10900,522653,1623,57 715 201,-1.51%,0.6346,0.723481,138.220552
11-May-18,11199,11264,10972,876120,2623,97 678 902,1.49%,0.6251,0.712564,140.338346
10-May-18,11035,11419,10948,1389067,4292,154 150 824,-2.47%,0.6343,0.723154,138.283208
9-May-18,11314,11475,11000,2213016,6838,251 492 504,3.65%,0.6187,0.705321,141.779449
8-May-18,10916,11187,10893,2104074,4597,231 241 657,0.15%,0.6413,0.731037,136.791982
7-May-18,10900,11218,10900,1672846,4109,184 156 193,-2.24%,0.6422,0.73211,136.591479
4-May-18,11150,11326,10982,1278507,3465,142 101 639,-3.04%,0.6278,0.715695,139.724312
3-May-18,11500,11805,11500,1488231,4219,172 679 351,-1.94%,0.6087,0.693913,144.110276
