Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,31090,31563,31089,321711,1870,100 780 812,0.04%,0,0,0
1-Jun-18,31079,31473,30396,1585491,3843,494 492 477,2.74%,4.0465,9.807233,10.196556
31-May-18,30251,30420,29650,1406422,3728,424 173 375,2.78%,4.1573,10.075667,9.924901
30-May-18,29432,29748,28734,975686,4582,284 467 823,-0.23%,4.2729,10.356041,9.6562
29-May-18,29500,29789,29360,957048,2923,282 970 543,-0.82%,4.2631,10.332169,9.678509
28-May-18,29744,30308,29300,592418,2779,175 905 129,-0.01%,4.2281,10.247411,9.758562
25-May-18,29748,30175,29434,1168280,3608,347 300 305,-0.84%,4.2275,10.246033,9.759875
24-May-18,30000,30921,29900,1431193,3835,432 685 082,-2.19%,4.192,10.159967,9.842552
23-May-18,30672,32285,30376,1921179,4724,594 018 062,-5.60%,4.1002,9.93737,10.063025
22-May-18,32491,32582,31755,1708803,4086,551 341 005,-0.43%,3.8706,9.381029,10.659812
21-May-18,32630,32725,32085,1594794,3456,517 978 233,1.97%,3.8542,9.341067,10.705416
18-May-18,32000,32188,31702,1640764,4477,524 395 328,-0.19%,3.93,9.524969,10.498722
17-May-18,32061,32336,31552,2048982,4625,654 528 883,1.08%,3.9226,9.506846,10.518735
16-May-18,31719,31842,30696,2820124,5989,890 217 170,2.93%,3.9648,9.609351,10.40653
15-May-18,30817,30878,30000,3034241,6363,928 008 271,0.33%,4.0809,9.890612,10.110597
14-May-18,30716,30890,30484,1164424,2805,357 067 660,-0.18%,4.0943,9.923135,10.077461
11-May-18,30772,30845,29838,2681054,5599,819 133 365,3.13%,4.0869,9.905076,10.095834
10-May-18,29838,30017,29600,1333547,4515,397 757 116,0.27%,4.2148,10.215128,9.789402
9-May-18,29758,30009,29311,1960176,6325,581 958 216,0.31%,4.2261,10.24259,9.763155
8-May-18,29666,29929,29344,2354085,6076,697 642 950,0.13%,4.2392,10.274354,9.732972
7-May-18,29628,29892,29474,736467,1851,217 976 370,-0.12%,4.2447,10.287532,9.720504
4-May-18,29665,30219,29665,2277017,4736,681 129 040,-0.35%,4.2394,10.274701,9.732643
3-May-18,29770,30609,29505,3108289,5125,934 376 217,-1.21%,4.2244,10.238462,9.767092
2-May-18,30135,30325,29300,2744302,5543,822 293 344,1.74%,4.1733,10.114452,9.886843
1-May-18,29619,29619,29619,0,0,0,0.00%,4.246,10.29066,9.71755
30-Apr-18,29619,29689,28700,1805610,5003,530 829 799,2.79%,4.246,10.290658,9.717552
27-Apr-18,28816,28816,28816,0,0,0,0.00%,4.3643,10.57742,9.454101
26-Apr-18,28816,29194,28449,3115953,8968,895 166 915,-0.15%,4.3643,10.577422,9.454099
25-Apr-18,28860,29850,28545,3193341,9104,926 873 212,-4.21%,4.3576,10.561296,9.468535
24-Apr-18,30129,30294,29799,1774264,4350,534 887 777,-0.56%,4.1741,10.116466,9.884875
23-Apr-18,30300,30620,29433,2297500,4742,691 693 846,1.34%,4.1505,10.059373,9.940978
20-Apr-18,29900,30354,29783,5035663,3103,1 511 403 700,-1.28%,4.2061,10.193946,9.809743
19-Apr-18,30287,31150,30112,1786912,5483,549 042 153,-0.55%,4.1523,10.063691,9.936712
18-Apr-18,30453,30520,28900,1889600,4582,567 433 117,5.18%,4.1297,10.008833,9.991175
17-Apr-18,28952,29141,28593,1052049,3073,303 868 221,-0.17%,4.3438,10.527736,9.498719
16-Apr-18,29000,29086,28762,858212,2599,248 319 027,-0.10%,4.3366,10.51031,9.514467
13-Apr-18,29030,29269,28812,1528377,3849,444 199 681,2.91%,4.3321,10.499449,9.524309
12-Apr-18,28208,28383,27851,1335239,3490,375 878 067,-0.95%,4.4583,10.80541,9.254624
11-Apr-18,28479,28889,28047,1231827,3626,351 347 229,-0.89%,4.4159,10.702588,9.343535
10-Apr-18,28734,28990,28182,1956683,4833,561 674 801,5.62%,4.3767,10.607608,9.427196
9-Apr-18,27206,27532,26934,1426482,5079,387 661 433,-0.36%,4.6225,11.203374,8.925882
6-Apr-18,27303,27829,27303,1304315,2976,358 688 132,-0.61%,4.6061,11.163572,8.957707
5-Apr-18,27471,27931,27219,1435297,2977,395 621 169,3.08%,4.578,11.0953,9.012825
4-Apr-18,26650,27200,26150,2606781,6598,692 284 862,-1.84%,4.719,11.437111,8.743467
3-Apr-18,27150,27882,27049,3211731,6571,878 984 581,-1.73%,4.6321,11.226483,8.90751
2-Apr-18,27628,27628,27628,0,0,0,0.00%,4.5519,11.03225,9.064334
30-Mar-18,27628,27628,27628,0,0,0,0.00%,4.5519,11.03225,9.064334
29-Mar-18,27628,27807,26904,3359224,6569,926 585 496,2.82%,4.5519,11.03225,9.064334
28-Mar-18,26870,27549,26754,2573478,7249,694 376 062,-3.18%,4.6803,11.343469,8.815646
27-Mar-18,27752,28320,27752,1155333,3694,323 824 006,0.93%,4.5316,10.982956,9.105017
26-Mar-18,27496,27585,27138,1448650,4816,397 142 353,-0.79%,4.5738,11.085212,9.021027
23-Mar-18,27715,28132,27286,2196862,4652,607 311 681,-1.93%,4.5377,10.997619,9.092878
22-Mar-18,28261,29298,28261,1846333,5086,530 349 400,-1.04%,4.45,10.785146,9.272012
21-Mar-18,28559,28559,28559,0,0,0,0.00%,4.4036,10.67261,9.369779
20-Mar-18,28559,28976,28251,1609013,4790,459 355 413,-0.58%,4.4036,10.672608,9.369781
19-Mar-18,28727,29500,28686,1942982,5353,564 485 215,-2.06%,4.3778,10.610193,9.4249
16-Mar-18,29331,30104,29064,2421801,4609,715 817 415,0.61%,4.2876,10.391702,9.623063
15-Mar-18,29154,29350,28586,5304595,5880,1 548 105 424,1.99%,4.3137,10.454792,9.564992
14-Mar-18,28586,28900,27850,2242915,5637,640 844 016,0.53%,4.3994,10.662527,9.37864
13-Mar-18,28434,28700,28099,1773072,5515,505 315 747,-0.46%,4.4229,10.719526,9.328771
12-Mar-18,28564,29000,28461,1835929,7195,527 864 130,-0.02%,4.4028,10.670739,9.371422
9-Mar-18,28569,28719,27910,3556108,5712,1 012 063 449,0.37%,4.402,10.668872,9.373062
8-Mar-18,28465,28999,28390,1186210,3785,338 732 900,-1.31%,4.4181,10.707852,9.338941
7-Mar-18,28843,28899,28231,1698837,5766,485 240 075,-0.03%,4.3602,10.567521,9.462958
6-Mar-18,28851,28900,27751,1805876,4920,515 529 154,4.65%,4.359,10.56459,9.465582
5-Mar-18,27569,28230,27569,1640935,4419,456 917 481,-1.50%,4.5617,11.05586,9.044977
2-Mar-18,27988,28300,27591,1696396,6931,473 750 832,-1.42%,4.4934,10.890346,9.182445
1-Mar-18,28390,29263,28390,1468111,4213,423 220 393,-2.94%,4.4298,10.736139,9.314335
28-Feb-18,29250,29800,29070,1686597,6129,494 151 834,-2.87%,4.2995,10.420479,9.596488
27-Feb-18,30113,30342,29661,1411062,3082,424 038 036,1.72%,4.1763,10.121841,9.879626
26-Feb-18,29605,30013,28770,1256380,4153,372 750 683,3.07%,4.248,10.295524,9.712958
