Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,25761,25815,25149,230515,1739,59 065 294,2.23%,0,0,0
1-Jun-18,25200,25784,25164,971680,4075,246 710 296,0.80%,1.1389,5.956746,16.787689
31-May-18,25000,25672,25000,1859696,3229,466 378 338,-0.74%,1.148,6.0044,16.654453
30-May-18,25186,25240,24810,1515524,4341,379 139 635,-0.06%,1.1395,5.960057,16.778363
29-May-18,25200,25397,25000,1211450,3734,304 920 738,-0.38%,1.1389,5.956746,16.787689
28-May-18,25297,25297,24645,820000,3800,205 462 229,2.92%,1.1345,5.933905,16.852308
25-May-18,24580,24708,23876,1176923,4974,286 059 700,1.30%,1.1676,6.106998,16.374659
24-May-18,24264,25496,24001,1734399,6193,425 117 864,-3.19%,1.1828,6.186531,16.164146
23-May-18,25063,26229,25031,792933,3648,201 179 226,-4.77%,1.1451,5.989307,16.696423
22-May-18,26318,26451,25129,1036465,3781,269 840 071,4.62%,1.0905,5.703701,17.532476
21-May-18,25156,26200,25156,600739,2767,152 950 209,-2.59%,1.1409,5.967165,16.758377
18-May-18,25824,26400,25635,785550,2786,204 298 221,-0.71%,1.1114,5.81281,17.203384
17-May-18,26008,26463,26008,1018276,3593,266 663 297,-1.86%,1.1035,5.771686,17.325961
16-May-18,26500,26500,25031,1819638,5440,470 905 503,4.54%,1.083,5.664528,17.653721
15-May-18,25348,25850,25348,828243,3219,210 651 010,-1.91%,1.1322,5.921966,16.886283
14-May-18,25842,25922,25408,540333,2685,138 923 055,1.54%,1.1106,5.808761,17.215375
11-May-18,25450,25924,25025,1216373,4454,308 852 801,-0.80%,1.1277,5.898232,16.954234
10-May-18,25656,26593,25595,1594534,4889,413 085 672,-2.47%,1.1186,5.850873,17.091466
9-May-18,26306,26863,26160,996092,4934,263 047 048,-1.18%,1.091,5.706303,17.524482
8-May-18,26620,26895,26375,666115,2258,177 192 245,0.64%,1.0781,5.638993,17.733662
7-May-18,26452,26901,26452,418382,1933,111 319 196,-1.32%,1.085,5.674807,17.621744
4-May-18,26805,27227,26651,526711,2261,141 461 059,-0.48%,1.0707,5.600075,17.856905
3-May-18,26935,27495,26901,808947,5583,220 345 380,-1.43%,1.0655,5.573046,17.943508
2-May-18,27325,27370,26834,2204315,7117,599 950 460,1.52%,1.0503,5.493504,18.203318
1-May-18,26917,26917,26917,0,0,0,0.00%,1.0662,5.576773,17.931517
30-Apr-18,26917,27134,26339,1310234,4625,351 066 957,1.41%,1.0662,5.576773,17.931517
27-Apr-18,26543,26543,26543,0,0,0,0.00%,1.0813,5.655352,17.682365
