Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,64982,65020,63841,140082,1399,90 331 443,0.59%,0,0,0
1-Jun-18,64598,65201,64115,2163547,6875,1 401 669 221,-0.38%,2.7047,18.642574,5.364066
31-May-18,64846,65097,63360,614110,5180,397 322 356,2.69%,2.6943,18.571277,5.384659
30-May-18,63150,63647,62918,1606343,5501,1 015 966 595,-0.69%,2.7667,19.07004,5.243828
29-May-18,63587,64458,63407,529601,4232,338 548 966,-2.10%,2.7477,18.938981,5.280115
28-May-18,64950,65465,63510,436123,4522,282 994 531,0.91%,2.69,18.54154,5.393295
25-May-18,64362,64362,62798,662458,4818,423 311 326,1.29%,2.7146,18.710932,5.344469
24-May-18,63541,63814,62700,561244,5238,355 765 045,-0.09%,2.7497,18.952692,5.276295
23-May-18,63600,64496,63382,937246,4466,599 652 661,-0.14%,2.7471,18.93511,5.281195
22-May-18,63691,64304,63186,883419,4602,562 142 518,-1.22%,2.7432,18.908056,5.288751
21-May-18,64475,66371,64445,584225,4598,380 121 933,-1.36%,2.7098,18.678139,5.353852
18-May-18,65365,66090,64757,612754,4296,401 467 552,0.64%,2.6729,18.42382,5.427756
17-May-18,64950,65329,64515,1069856,5892,695 272 994,0.54%,2.69,18.54154,5.393295
16-May-18,64601,65350,64342,630704,3803,407 426 942,-0.73%,2.7045,18.641708,5.364315
15-May-18,65073,65515,63758,980044,4816,636 191 701,2.28%,2.6849,18.506493,5.403509
14-May-18,63625,64140,63000,580466,4754,369 419 534,-0.83%,2.746,18.92767,5.28327
11-May-18,64157,65125,63969,1114045,3351,716 537 858,-1.00%,2.7233,18.770719,5.327447
10-May-18,64805,65956,64700,663193,4409,431 797 957,-2.07%,2.696,18.583026,5.381255
9-May-18,66176,66266,65000,741679,5996,488 130 392,1.30%,2.6402,18.198033,5.4951
8-May-18,65325,66445,65000,649918,3650,426 690 167,-1.72%,2.6746,18.435101,5.424434
7-May-18,66468,67500,66210,268412,2293,179 197 781,-0.10%,2.6286,18.118087,5.519347
4-May-18,66536,67397,66222,464826,1993,309 846 555,-1.28%,2.6259,18.09957,5.524993
3-May-18,67397,67520,66630,627325,3554,421 410 313,-1.07%,2.5923,17.868347,5.596489
2-May-18,68129,68842,67445,650587,3070,443 304 859,-0.86%,2.5645,17.676364,5.657272
1-May-18,68721,68721,68721,0,0,0,0.00%,2.5424,17.52409,5.70643
30-Apr-18,68721,69090,67894,416456,2298,286 052 810,1.64%,2.5424,17.52409,5.70643
27-Apr-18,67613,67613,67613,0,0,0,0.00%,2.5841,17.81126,5.614426
26-Apr-18,67613,67900,66354,1026559,6203,692 092 638,1.88%,2.5841,17.811264,5.614425
25-Apr-18,66366,66865,64497,1520349,5240,999 932 028,3.32%,2.6326,18.145933,5.510877
24-Apr-18,64232,65248,63928,1077479,4888,694 744 366,0.21%,2.7201,18.748801,5.333674
23-Apr-18,64100,64422,62501,1184820,4771,757 539 218,2.36%,2.7257,18.78741,5.322713
20-Apr-18,62625,62900,61860,3280403,9530,2 053 723 971,1.17%,2.7899,19.229908,5.200233
19-Apr-18,61899,65929,60423,3988943,17262,2 516 293 713,-6.85%,2.8226,19.455452,5.139948
18-Apr-18,66450,68684,66347,1832319,10239,1 228 375 925,-2.95%,2.6293,18.122995,5.517852
17-Apr-18,68469,69850,68436,1194411,7594,822 431 384,-2.33%,2.5518,17.588588,5.685505
16-Apr-18,70100,71330,69819,1504688,6123,1 061 843 394,-1.41%,2.4924,17.179358,5.820939
13-Apr-18,71105,71500,70904,1562242,7516,1 111 059 136,-0.52%,2.4572,16.936545,5.904392
12-Apr-18,71480,71697,71085,936850,3945,669 258 071,-1.02%,2.4443,16.847692,5.935531
11-Apr-18,72213,72874,72018,1680411,4343,1 217 032 200,-0.82%,2.4195,16.676679,5.996398
10-Apr-18,72810,73999,72743,591581,3503,432 810 891,-0.40%,2.3996,16.53994,6.045971
9-Apr-18,73100,73795,72800,749934,4278,549 908 229,-0.27%,2.3901,16.474323,6.070052
6-Apr-18,73300,73306,72014,752820,4975,548 595 671,2.67%,2.3836,16.429372,6.08666
5-Apr-18,71395,71887,70600,2012960,3752,1 435 130 584,1.18%,2.4472,16.86775,5.928473
4-Apr-18,70562,70643,68400,912384,6669,637 537 691,3.16%,2.4761,17.066877,5.859303
3-Apr-18,68400,70045,67749,700398,4512,481 240 365,-1.80%,2.5543,17.60633,5.679775
2-Apr-18,69655,69655,69655,0,0,0,0.00%,2.5083,17.28911,5.783988
30-Mar-18,69655,69655,69655,0,0,0,0.00%,2.5083,17.28911,5.783988
29-Mar-18,69655,69672,67501,1037860,5851,714 354 503,3.65%,2.5083,17.289111,5.783988
28-Mar-18,67200,67211,64765,1138458,6832,750 725 988,3.55%,2.5999,17.920729,5.58013
27-Mar-18,64899,65481,64726,544895,3962,354 567 441,0.27%,2.6921,18.55611,5.38906
26-Mar-18,64725,65500,64406,1255611,5458,813 143 347,-1.39%,2.6994,18.605995,5.374612
23-Mar-18,65640,65640,63720,599614,4484,390 565 777,3.01%,2.6617,18.346633,5.450591
22-Mar-18,63721,64800,63251,2540427,10241,1 622 441 169,-4.88%,2.7419,18.899451,5.291159
21-Mar-18,66991,66991,66991,0,0,0,0.00%,2.6081,17.97664,5.562775
20-Mar-18,66991,68149,66105,968889,16626,650 990 933,-2.97%,2.6081,17.976639,5.562775
19-Mar-18,69039,70479,68598,757683,7654,524 413 788,-1.58%,2.5307,17.443373,5.732836
16-Mar-18,70150,70570,69700,627438,3822,440 207 806,0.22%,2.4906,17.167113,5.825091
15-Mar-18,69995,70920,69000,1741086,3382,1 213 615 353,0.66%,2.4961,17.205129,5.81222
14-Mar-18,69538,69843,68401,450657,3354,312 075 197,0.98%,2.5125,17.3182,5.774272
13-Mar-18,68865,70419,68743,760181,7476,528 676 252,-1.97%,2.5371,17.487446,5.718388
12-Mar-18,70246,70894,69685,510716,5046,358 586 208,-0.08%,2.4872,17.143652,5.833063
9-Mar-18,70305,70700,69657,750775,4124,527 998 551,0.74%,2.4851,17.129265,5.837962
8-Mar-18,69786,69999,69241,400094,3917,278 780 124,0.19%,2.5036,17.256656,5.794865
7-Mar-18,69654,69828,68576,552302,3679,383 345 440,1.55%,2.5083,17.289359,5.783904
6-Mar-18,68589,69899,68500,735432,8298,507 420 645,-0.83%,2.5473,17.557815,5.695469
5-Mar-18,69160,69837,68503,567025,12123,392 162 950,-0.72%,2.5263,17.412854,5.742884
2-Mar-18,69659,70313,69051,1525741,7063,1 061 391 535,-0.27%,2.5082,17.288118,5.78432
1-Mar-18,69849,70662,69450,603803,4628,422 366 079,-1.17%,2.5013,17.241091,5.800097
28-Feb-18,70675,72499,70407,1974910,7660,1 409 551 283,-2.21%,2.4721,17.03959,5.868686
27-Feb-18,72275,72632,72032,614847,3232,444 596 427,-0.26%,2.4174,16.662373,6.001546
26-Feb-18,72465,72860,72009,631723,4766,457 528 760,0.65%,2.411,16.618685,6.017323
23-Feb-18,72000,72088,70517,948325,5650,676 543 542,3.56%,2.4266,16.726014,5.978711
22-Feb-18,69522,72994,68390,3550324,14213,2 473 235 187,-4.31%,2.5129,17.322186,5.772944
21-Feb-18,72650,73895,72391,1225028,7361,891 922 153,-1.02%,2.4049,5.527612,18.090995
20-Feb-18,73401,73406,72342,986740,5698,721 482 707,1.07%,2.3803,5.471056,18.278006
19-Feb-18,72622,73182,72333,1175731,5433,855 064 767,0.17%,2.4058,5.529743,18.084023
16-Feb-18,72501,73175,72300,667380,5351,485 038 470,0.35%,2.4098,5.538972,18.053892
15-Feb-18,72250,74199,72020,1866272,13874,1 349 278 178,-1.37%,2.4182,5.558215,17.991389
14-Feb-18,73250,74000,72512,958119,7491,701 859 987,0.10%,2.3852,5.482334,18.240405
13-Feb-18,73175,74494,72832,910537,7809,668 782 030,-1.00%,2.3876,5.487954,18.221729
12-Feb-18,73915,74400,72946,692300,8019,511 596 282,-1.19%,2.3637,5.433011,18.406
9-Feb-18,74807,76044,74541,1188866,9340,892 634 198,-2.21%,2.3356,5.368228,18.628122
8-Feb-18,76500,77499,76012,647955,6573,496 245 272,0.11%,2.2839,5.249425,19.049706
7-Feb-18,76417,76593,75276,799820,7184,607 791 817,-0.17%,2.2863,5.255126,19.029038
6-Feb-18,76550,77791,75801,1179441,12294,903 374 324,-2.73%,2.2824,5.245996,19.062157
5-Feb-18,78700,80703,78523,951624,11170,753 140 951,-3.11%,2.22,5.102681,19.597541
2-Feb-18,81230,82000,80819,686699,3368,557 818 019,-0.45%,2.1509,4.943752,20.227551
1-Feb-18,81600,82237,81020,694221,3697,567 103 778,0.25%,2.1411,4.921336,20.319686
31-Jan-18,81400,82227,81202,823920,4946,671 522 098,-0.49%,2.1464,4.933428,20.269883
30-Jan-18,81800,82600,81268,783000,4370,640 468 706,-0.44%,2.1359,4.909303,20.36949
29-Jan-18,82159,83065,81871,821104,9221,676 622 543,0.19%,2.1266,4.887852,20.458886
26-Jan-18,82000,82900,81500,1099216,7958,902 085 485,-1.17%,2.1307,4.897329,20.419293
25-Jan-18,82974,85292,82974,661400,5817,555 697 892,-2.59%,2.1057,4.839841,20.661834
24-Jan-18,85180,86197,84731,1231668,7128,1 048 881 245,-0.37%,2.0511,4.714499,21.211163
23-Jan-18,85500,86149,84859,1350323,12470,1 157 718 912,0.65%,2.0435,4.696854,21.290848
22-Jan-18,84951,85354,83735,764422,5673,648 489 591,0.65%,2.0567,4.727207,21.154138
19-Jan-18,84400,84465,83083,1107957,5415,929 644 821,0.87%,2.0701,4.758069,21.016931
18-Jan-18,83671,85670,83552,792364,5483,668 616 649,-1.42%,2.0881,4.799524,20.835398
17-Jan-18,84879,85598,84863,646829,3181,550 565 173,-0.38%,2.0584,4.731217,21.136209
16-Jan-18,85200,86005,84714,477691,3838,407 010 127,-0.09%,2.0507,4.713392,21.216143
15-Jan-18,85274,85470,84507,324276,2133,276 026 537,0.87%,2.0489,4.709302,21.23457
12-Jan-18,84540,85100,84141,349011,2749,295 102 178,-0.66%,2.0667,4.750189,21.051793
11-Jan-18,85100,85209,83600,596727,3302,506 414 741,1.73%,2.0531,4.718931,21.191242
10-Jan-18,83650,84478,83000,828660,5104,693 156 312,0.41%,2.0887,4.800729,20.830169
9-Jan-18,83305,84145,82714,1198657,7552,1 000 678 190,0.34%,2.0973,4.820611,20.744258
8-Jan-18,83025,83589,82650,281607,2619,234 009 987,0.38%,2.1044,4.836868,20.674534
5-Jan-18,82711,83200,81785,217702,1562,180 005 048,0.42%,2.1124,4.855231,20.596343
4-Jan-18,82365,82945,81514,505541,6007,415 372 190,-0.70%,2.1212,4.875627,20.510184
3-Jan-18,82949,84324,82263,267824,2552,221 508 210,-0.68%,2.1063,4.8413,20.655609
2-Jan-18,83515,84211,83027,316899,2559,265 048 071,0.68%,2.092,4.808489,20.796552
1-Jan-18,82950,82950,82950,0,0,0,0.00%,2.1063,4.841242,20.655856
29-Dec-17,82950,83600,82384,123306,864,102 135 284,0.67%,2.1063,4.841242,20.655858
28-Dec-17,82400,83906,82100,343388,4178,283 102 456,-0.17%,2.1203,4.873556,20.518899
27-Dec-17,82538,82929,81706,510156,3021,420 224 604,-4.06%,2.1168,4.865407,20.553263
26-Dec-17,86034,86034,86034,0,0,0,0.00%,2.0308,4.667701,21.423823
25-Dec-17,86034,86034,86034,0,0,0,0.00%,2.0308,4.667701,21.423823
22-Dec-17,86034,86034,84978,130421,1001,111 804 149,0.60%,2.0308,4.667701,21.423822
21-Dec-17,85523,85523,83728,2461748,4174,2 082 579 638,2.39%,2.0429,4.695591,21.296575
20-Dec-17,83524,85449,83524,2156096,9704,1 818 113 704,-1.43%,2.0918,4.807971,20.798793
19-Dec-17,84739,86314,83995,3183786,18950,2 711 579 011,-1.17%,2.0618,4.739034,21.101347
18-Dec-17,85746,87214,85564,1560728,6199,1 342 235 001,-1.51%,2.0376,4.683379,21.352106
15-Dec-17,87060,89254,87060,3720907,8306,3 256 129 975,-2.46%,2.0068,4.612692,21.679313
14-Dec-17,89254,91190,88602,1174758,5448,1 052 719 915,-1.81%,1.959,4.499305,22.225653
13-Dec-17,90900,91925,90580,560987,4414,511 503 745,-1.07%,1.9235,4.417833,22.635533
12-Dec-17,91887,91887,90552,484010,3601,442 281 446,0.90%,1.9029,4.370379,22.881312
11-Dec-17,91069,92099,90012,376372,3487,343 635 008,1.19%,1.92,4.409634,22.677617
8-Dec-17,90000,91999,89660,616370,3484,556 830 782,-1.12%,1.9428,4.462011,22.411419
7-Dec-17,91018,91863,90272,599864,4044,545 747 700,-0.53%,1.921,4.412105,22.664917
6-Dec-17,91500,91500,85000,735534,5604,655 599 116,3.56%,1.9109,4.388863,22.784943
5-Dec-17,88355,88645,86881,482707,4439,424 695 648,0.87%,1.9789,4.545085,22.001788
4-Dec-17,87594,89299,87275,469850,3362,414 040 373,-0.27%,2.1919,4.584572,21.812287
1-Dec-17,87833,87833,86587,596683,4084,521 379 010,0.26%,2.1859,4.572097,21.871802
30-Nov-17,87604,89300,87567,1149020,6996,1 014 236 519,-2.40%,2.1916,4.584049,21.814777
29-Nov-17,89755,90700,89088,676722,5089,606 386 113,-0.43%,2.1391,4.474191,22.35041
