Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,29279,29464,29203,456396,1294,133 734 459,0.49%,0,0,0
1-Jun-18,29137,29515,29003,1970582,3893,577 213 452,0.70%,4.1505,3.86409,25.879312
31-May-18,28934,28960,28473,1605909,3168,461 899 301,1.72%,4.1796,3.891201,25.699009
30-May-18,28444,28444,27706,2230374,4544,626 477 089,1.47%,4.2516,3.958234,25.263794
29-May-18,28031,28204,27805,1817608,3914,509 330 590,0.11%,4.3143,4.016553,24.896969
28-May-18,28000,28360,27839,897811,2874,251 939 603,-0.62%,4.319,4.021,24.869435
25-May-18,28176,28666,28029,1903961,4165,539 225 242,-1.14%,4.2921,3.995883,25.025758
24-May-18,28500,29312,28437,2499272,4822,717 135 196,-1.95%,4.2433,3.950456,25.313533
23-May-18,29067,29880,28914,2295523,4053,672 406 787,-3.02%,4.1605,3.873396,25.817139
22-May-18,29971,30123,29578,1632040,4106,488 363 377,-1.18%,4.035,3.756565,26.620066
21-May-18,30328,30328,29800,2194332,5455,661 159 598,1.95%,3.9875,3.712345,26.937151
18-May-18,29747,29900,29323,2128573,5656,631 110 627,0.91%,4.0654,3.784852,26.421111
17-May-18,29480,29736,29162,2915685,5336,858 825 998,0.72%,4.1022,3.819132,26.183963
16-May-18,29268,29508,29150,2509716,5480,735 782 813,0.23%,4.1319,3.846795,25.995666
15-May-18,29201,29201,28159,3709098,6638,1 073 885 941,2.17%,4.1414,3.855621,25.936157
14-May-18,28581,28677,27801,1832037,3638,523 123 343,0.81%,4.2312,3.93926,25.385476
11-May-18,28350,28397,27863,5040824,6734,1 422 088 737,2.35%,4.2657,3.971358,25.180303
10-May-18,27700,27965,27500,2185876,5302,605 262 685,-0.61%,4.3658,4.064549,24.602977
9-May-18,27869,27919,27313,4507768,6820,1 245 138 895,2.72%,4.3393,4.039901,24.753082
8-May-18,27131,27286,26913,5580110,4777,1 512 077 525,-1.13%,4.4574,4.149792,24.097595
7-May-18,27441,27500,27090,684291,1774,186 869 976,0.84%,4.407,4.102912,24.372935
4-May-18,27212,27306,26912,3670339,3889,997 776 702,1.11%,4.4441,4.137439,24.169539
3-May-18,26912,27200,26640,3450723,5676,929 338 993,0.11%,4.4936,4.183561,23.90308
2-May-18,26882,27075,26435,2365648,5276,634 504 851,0.93%,4.4987,4.18823,23.876434
1-May-18,26635,26635,26635,0,0,0,0.00%,4.5404,4.22707,23.657048
30-Apr-18,26635,26717,26048,2008181,4592,530 338 430,0.02%,4.5404,4.22707,23.657051
27-Apr-18,26631,26631,26631,0,0,0,0.00%,4.5411,4.227705,23.653495
26-Apr-18,26631,26774,26172,3308945,3538,874 561 706,-0.09%,4.5411,4.227705,23.653498
25-Apr-18,26656,26777,26347,3738008,4899,994 892 473,-0.81%,4.5368,4.223739,23.675703
24-Apr-18,26875,27035,26200,2996049,3781,803 168 672,2.41%,4.4998,4.189321,23.870217
23-Apr-18,26243,26575,25841,2843185,4069,746 896 093,1.32%,4.6082,4.290211,23.308878
20-Apr-18,25900,26119,25584,5630636,4136,1 462 617 007,0.65%,4.6692,4.347027,23.004228
19-Apr-18,25732,26161,25711,1867755,4030,484 563 136,-0.19%,4.6997,4.375408,22.855011
