Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,20896,21062,20695,749489,3186,156 460 762,2.03%,0,0,0
1-Jun-18,20480,20599,20230,1379614,5367,282 053 997,1.39%,2.5342,5.722168,17.475894
31-May-18,20200,20706,20200,3271512,5016,665 396 542,-0.57%,2.5693,5.801485,17.236966
30-May-18,20316,20949,20200,2191468,8683,448 793 466,-1.86%,2.5546,5.76836,17.33595
29-May-18,20700,21581,20466,1482106,5871,307 544 118,-3.93%,2.5072,5.661353,17.663623
28-May-18,21547,22000,21403,362686,2811,78 248 821,-2.06%,2.4087,5.438808,18.386381
25-May-18,22000,22000,21201,1038112,4088,224 434 198,2.80%,2.3591,5.326818,18.772933
24-May-18,21400,21800,21226,1184929,4403,254 251 878,-0.44%,2.4252,5.476168,18.260944
23-May-18,21495,22232,21495,1004674,4721,218 448 252,-3.40%,2.4145,5.451966,18.342009
22-May-18,22251,22441,21675,897129,3905,199 634 350,2.66%,2.3325,5.26673,18.987115
21-May-18,21674,22401,21674,751982,3756,166 032 818,-1.01%,2.3946,5.406939,18.494752
18-May-18,21895,23109,21895,2014068,7479,452 560 057,-4.48%,2.3704,5.352364,18.683335
17-May-18,22922,23358,22751,633646,3019,145 943 539,-1.66%,2.2642,5.112556,19.559689
16-May-18,23310,23698,22935,853828,3208,198 989 043,0.88%,2.2265,5.027456,19.890776
15-May-18,23106,23800,23106,855135,3574,200 033 671,-3.16%,2.2462,5.071843,19.716699
14-May-18,23861,24294,23685,556890,2229,133 119 257,-1.23%,2.1751,4.911362,20.360952
11-May-18,24159,24463,23401,824245,3512,196 839 858,2.66%,2.1483,4.85078,20.61524
10-May-18,23532,24067,23482,1015803,4347,240 300 853,-0.70%,2.2055,4.980027,20.080212
9-May-18,23699,24229,23699,987308,4992,235 640 724,-0.22%,2.19,4.944934,20.222715
8-May-18,23751,24324,23469,785676,2083,186 759 084,-1.37%,2.1852,4.934108,20.267088
7-May-18,24082,24492,23644,598855,2554,144 407 394,0.80%,2.1551,4.86629,20.549535
4-May-18,23891,24175,23550,521493,2102,124 834 400,1.23%,2.1724,4.905194,20.386552
3-May-18,23600,24570,23524,722794,3461,172 663 526,-3.67%,2.1992,4.965678,20.138237
2-May-18,24500,24605,24028,590743,2205,143 709 862,-0.05%,2.1184,4.783265,20.906221
1-May-18,24513,24513,24513,0,0,0,0.00%,2.1172,4.780729,20.917312
30-Apr-18,24513,24738,23427,1109286,4044,270 434 053,4.12%,2.1172,4.780729,20.917314
27-Apr-18,23542,23542,23542,0,0,0,0.00%,2.2046,4.977912,20.088744
26-Apr-18,23542,23998,23302,602096,2548,142 073 770,-1.08%,2.2046,4.977912,20.088745
25-Apr-18,23800,24200,23555,863055,3097,205 688 577,-1.45%,2.1807,4.92395,20.3089
24-Apr-18,24150,24315,23999,543694,2162,131 301 051,-0.12%,2.1491,4.852588,20.60756
23-Apr-18,24179,24425,23820,748015,3644,180 185 054,-0.70%,2.1465,4.846768,20.632307
20-Apr-18,24350,24423,23674,532777,2392,128 967 822,1.36%,2.1314,4.812731,20.778223
19-Apr-18,24023,24228,23807,1033602,4224,248 288 885,0.47%,2.1604,4.878242,20.499189
18-Apr-18,23910,23933,23103,970343,2934,228 678 583,1.73%,2.1706,4.901297,20.402765
17-Apr-18,23504,23504,22939,737846,3119,171 390 254,0.98%,2.2081,4.98596,20.056319
16-Apr-18,23277,23434,22432,882072,2512,202 959 839,3.19%,2.2297,5.034583,19.862616
13-Apr-18,22557,23100,22503,820390,2895,186 676 896,-1.96%,2.3008,5.195283,19.248229
