Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,90724,91002,89741,25474,1050,23 069 873,1.10%,0,0,0
1-Jun-18,89741,89899,87600,159051,2897,141 775 262,2.63%,1.638,4.299038,23.261016
31-May-18,87444,88190,86552,334881,3411,292 777 401,0.70%,1.6811,4.411967,22.66563
30-May-18,86835,87505,86100,266639,3960,231 756 960,-0.53%,1.6929,4.442909,22.507776
29-May-18,87300,87580,86071,184755,3352,161 094 837,-0.23%,1.6838,4.419244,22.628305
28-May-18,87500,88969,85600,74350,1942,65 028 290,0.17%,1.68,4.409143,22.680145
25-May-18,87350,87350,82850,351132,3837,301 095 073,4.77%,1.6829,4.416714,22.641265
24-May-18,83372,85800,83372,152853,3251,128 484 628,-0.34%,1.7632,4.627453,21.610161
23-May-18,83658,85920,83658,289970,5360,245 360 781,-2.27%,1.7572,4.611633,21.684292
22-May-18,85603,86308,82804,289748,4318,247 681 098,1.35%,1.7172,4.506851,22.18844
21-May-18,84463,85068,82300,292183,5202,245 311 459,0.96%,1.7404,4.567681,21.89295
18-May-18,83659,84999,82301,267672,5015,224 324 722,1.19%,1.7571,4.611578,21.684552
17-May-18,82673,85000,82309,217979,3324,180 575 802,-2.61%,1.7781,4.666578,21.428979
16-May-18,84886,86488,83329,129249,2690,109 200 520,0.99%,1.7317,4.544919,22.002592
15-May-18,84052,87271,84052,168948,2926,143 232 077,-3.83%,1.7489,4.590016,21.786418
14-May-18,87400,87934,86129,219287,3020,191 048 251,1.16%,1.6819,4.414188,22.654225
11-May-18,86397,87000,84901,141547,3304,121 681 050,0.95%,1.7014,4.465433,22.394246
10-May-18,85585,87199,85516,239755,4018,206 486 891,-0.51%,1.7176,4.507799,22.183774
9-May-18,86021,87299,85616,105284,3204,91 159 173,0.26%,1.7089,4.484951,22.296786
8-May-18,85800,87500,84439,191728,2780,165 485 346,-1.38%,1.7133,4.496503,22.239502
7-May-18,86999,87202,85162,91780,1902,79 711 001,2.59%,1.6897,4.434534,22.550285
4-May-18,84801,86948,84418,145582,2413,123 733 501,-1.39%,1.7335,4.549475,21.98056
