Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,15846,15919,15601,217099,1618,34 317 030,1.74%,0,0,0
1-Jun-18,15575,15799,15410,1113757,4186,174 023 195,1.04%,1.2777,5.105618,19.586268
31-May-18,15415,15698,15270,2824234,3439,435 159 094,1.08%,1.291,5.158612,19.38506
30-May-18,15250,15652,15182,1413966,4258,217 179 687,-1.61%,1.3049,5.214426,19.177565
29-May-18,15500,15995,15486,1181711,4345,184 953 945,-3.13%,1.2839,5.130323,19.491952
28-May-18,16000,16234,15851,563816,2043,90 270 483,-0.26%,1.2438,4.97,20.120724
25-May-18,16041,16200,15746,1959056,4090,313 645 745,1.55%,1.2406,4.957297,20.172284
24-May-18,15796,16389,15773,2043192,4562,326 688 486,-2.45%,1.2598,5.034186,19.864185
23-May-18,16193,16545,16193,1780883,2342,291 205 565,-1.86%,1.2289,4.910764,20.363431
22-May-18,16500,16607,16100,1045362,2894,171 887 427,2.16%,1.2061,4.819394,20.749497
21-May-18,16151,16399,16028,747646,2333,120 995 952,0.32%,1.2321,4.923534,20.310614
18-May-18,16100,16491,16100,1073159,2986,173 991 184,-0.31%,1.236,4.93913,20.246479
17-May-18,16150,16482,16057,754556,2308,122 321 952,-1.64%,1.2322,4.923839,20.309356
16-May-18,16420,16561,15986,1158348,3883,188 806 568,1.30%,1.2119,4.842875,20.648893
15-May-18,16209,16608,16209,1348434,3561,220 990 923,-1.76%,1.2277,4.905916,20.383551
14-May-18,16500,16850,16377,1298019,3642,214 476 214,-2.02%,1.2061,4.819394,20.749497
11-May-18,16840,17050,16711,1088799,3694,183 473 237,0.00%,1.1817,4.72209,21.177062
10-May-18,16840,17098,16835,1372398,3745,232 534 827,-0.04%,1.1817,4.72209,21.177062
9-May-18,16847,17070,16847,1238147,4117,209 520 913,-0.02%,1.1812,4.720128,21.185865
8-May-18,16850,17398,16800,1592208,3961,272 295 723,-2.80%,1.181,4.719288,21.189638
7-May-18,17335,17425,17000,844509,2711,146 102 747,1.56%,1.148,4.587251,21.799547
4-May-18,17069,17274,16825,950255,2036,161 885 048,1.43%,1.1659,4.658738,21.46504
3-May-18,16829,17297,16801,1172678,4126,199 410 005,-2.33%,1.1825,4.725177,21.163229
2-May-18,17230,17580,17147,1272712,2202,219 963 494,-0.55%,1.155,4.615206,21.667505
1-May-18,17325,17325,17325,0,0,0,0.00%,1.1486,4.589899,21.786972
30-Apr-18,17325,17700,17101,1027008,3114,178 304 012,1.67%,1.1486,4.589899,21.786972
27-Apr-18,17040,17040,17040,0,0,0,0.00%,1.1678,4.666667,21.42857
26-Apr-18,17040,17074,16605,633881,2142,107 428 400,1.80%,1.1678,4.666667,21.428571
25-Apr-18,16738,17212,16654,715348,2533,120 914 798,-1.77%,1.1889,4.750866,21.048793
24-Apr-18,17039,17500,17039,787031,2099,135 024 312,-1.40%,1.1679,4.666941,21.427314
23-Apr-18,17281,17439,17140,440770,1757,76 095 107,-0.66%,1.1516,4.601586,21.73164
20-Apr-18,17395,17575,17302,378277,1762,65 839 534,-0.65%,1.144,4.571429,21.875
19-Apr-18,17508,17760,17327,814946,2716,143 356 593,0.83%,1.1366,4.541924,22.017103
18-Apr-18,17364,17465,17058,912320,2245,158 166 465,1.46%,1.146,4.57959,21.836016
17-Apr-18,17114,17400,16905,633707,2041,108 235 108,0.09%,1.1628,4.646488,21.52163
16-Apr-18,17098,17200,16800,855485,1575,146 149 893,0.48%,1.1639,4.650836,21.501509
13-Apr-18,17017,17274,16800,500620,1765,85 208 755,-0.73%,1.1694,4.672974,21.399648
12-Apr-18,17142,17300,17020,766969,1996,131 455 585,0.43%,1.1609,4.638899,21.556841
11-Apr-18,17068,17439,17050,728515,1979,125 019 118,-1.34%,1.1659,4.659011,21.463783
10-Apr-18,17300,17550,17164,1069068,2901,185 251 982,0.22%,1.1503,4.596532,21.755533
9-Apr-18,17262,17262,17000,1378404,3005,236 711 930,0.88%,1.1528,4.60665,21.707747
6-Apr-18,17112,17150,16803,1089981,3309,185 825 093,0.96%,1.1629,4.647031,21.519115
5-Apr-18,16950,17079,16699,1134885,1882,192 293 649,1.70%,1.174,4.691445,21.315392
4-Apr-18,16667,16800,16129,1975882,4362,324 903 377,-1.24%,1.194,4.771105,20.959507
3-Apr-18,16877,17213,16803,1210966,3577,205 861 536,-1.01%,1.1791,4.711738,21.223592
2-Apr-18,17050,17050,17050,0,0,0,0.00%,1.1672,4.663929,21.44115
30-Mar-18,17050,17050,17050,0,0,0,0.00%,1.1672,4.663929,21.44115
29-Mar-18,17050,17287,16807,1281107,3215,219 120 238,1.74%,1.1672,4.66393,21.441147
28-Mar-18,16758,17636,16601,1540378,5319,260 358 411,-5.32%,1.1875,4.745196,21.073944
27-Mar-18,17700,18096,17601,857136,3078,152 613 033,0.00%,1.1243,4.492655,22.258551
26-Mar-18,17700,17908,17411,1229035,3548,217 283 916,-0.23%,1.1243,4.492655,22.258551
23-Mar-18,17741,17900,17500,957219,3095,169 352 786,-0.21%,1.1217,4.482273,22.310111
22-Mar-18,17779,18453,17700,1723318,4870,311 488 086,-0.54%,1.1193,4.472693,22.357897
21-Mar-18,17875,17875,17875,0,0,0,0.00%,1.1133,4.448671,22.478623
20-Mar-18,17875,18205,17676,1047098,3156,187 368 206,-1.24%,1.1133,4.448671,22.478622
19-Mar-18,18100,18399,17781,1066601,2776,192 277 920,0.56%,1.0994,4.39337,22.761569
16-Mar-18,18000,18338,17875,2225348,2577,401 592 182,-0.44%,1.1056,4.417778,22.635815
15-Mar-18,18080,18448,17802,2578607,2061,468 095 104,0.24%,1.1007,4.39823,22.736419
14-Mar-18,18037,18437,17949,1435825,2755,259 795 030,-2.46%,1.1033,4.408715,22.682344
13-Mar-18,18491,18864,18127,1088098,3680,200 344 867,1.60%,1.0762,4.30047,23.25327
12-Mar-18,18200,19361,18200,1715581,4257,318 926 088,-4.21%,1.0934,4.369231,22.887324
9-Mar-18,19000,19142,18787,1856813,3680,351 570 272,0.88%,1.0474,4.185263,23.89336
8-Mar-18,18835,19220,18340,1429573,4578,269 792 246,1.11%,1.0565,4.221927,23.685865
7-Mar-18,18628,18770,18203,1313088,4181,243 065 901,0.15%,1.0683,4.268843,23.425553
6-Mar-18,18600,19049,17962,1925533,5505,358 411 787,3.55%,1.0699,4.275269,23.390342
5-Mar-18,17962,18063,17519,1341084,5108,239 838 843,0.40%,1.1079,4.427124,22.588028
2-Mar-18,17891,17897,17250,1171330,5132,206 565 644,1.57%,1.1123,4.444693,22.498742
1-Mar-18,17614,18042,17410,1273505,4570,226 171 513,-1.48%,1.1298,4.514591,22.150402
28-Feb-18,17878,17890,17544,1620199,4920,288 292 349,-0.07%,1.1131,4.447925,22.482394
27-Feb-18,17890,18229,17860,1455761,3929,262 168 559,-0.89%,1.1124,4.444941,22.497485
26-Feb-18,18050,18250,17868,1271853,4275,229 990 543,0.29%,1.1025,4.40554,22.698692
23-Feb-18,17998,17998,17423,1165449,3939,206 918 081,3.05%,1.1057,4.418269,22.6333
22-Feb-18,17466,18000,17250,1588466,4466,277 620 579,-2.34%,1.1394,4.552846,21.964286
21-Feb-18,17885,18449,17534,1905706,4894,341 053 131,-1.77%,1.1127,4.446184,22.491197
20-Feb-18,18207,18368,17484,2196107,5578,397 717 629,3.13%,1.093,4.367551,22.896127
19-Feb-18,17654,17999,17406,733965,2396,128 876 759,-0.03%,1.0536,3.869378,25.843947
