Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,6219,6240,6150,4529087,2571,281 112 529,1.53%,0,0,0
1-Jun-18,6125,6140,6041,13194526,6863,805 025 640,2.08%,4.3429,7.124898,14.035289
31-May-18,6000,6149,6000,19039556,7075,1 147 713 820,0.13%,4.4333,7.273333,13.748854
30-May-18,5992,6126,5956,11716098,8009,706 301 631,-0.13%,4.4393,7.283044,13.730522
29-May-18,6000,6121,5971,9789017,5866,589 222 736,-2.12%,4.4333,7.273333,13.748854
28-May-18,6130,6200,6052,6153696,4666,375 854 910,-0.33%,4.3393,7.119086,14.046746
25-May-18,6150,6165,6010,8722931,6163,531 800 715,2.31%,4.3252,7.095935,14.092576
24-May-18,6011,6150,5995,10402798,6782,628 587 752,-0.64%,4.4252,7.260023,13.77406
23-May-18,6050,6144,6030,8758788,5127,531 524 075,-1.80%,4.3967,7.213223,13.863428
22-May-18,6161,6180,6060,13015835,6321,798 284 259,2.14%,4.3175,7.083266,14.117782
21-May-18,6032,6155,5996,9801917,7141,595 239 061,-1.11%,4.4098,7.234748,13.822181
18-May-18,6100,6299,6100,14741279,10352,911 389 360,-1.61%,4.3607,7.154098,13.978002
17-May-18,6200,6302,6174,13202865,6571,822 935 658,-2.36%,4.2903,7.03871,14.207149
16-May-18,6350,6373,6279,12969038,8448,820 693 267,0.79%,4.189,6.872441,14.550871
15-May-18,6300,6568,6254,17145027,10225,1 091 198 189,-4.55%,4.2222,6.926984,14.436297
14-May-18,6600,6664,6486,4989054,3709,327 306 282,-0.23%,4.0303,6.612121,15.12374
11-May-18,6615,6675,6450,7424286,5381,486 750 717,0.76%,4.0212,6.597128,15.158112
10-May-18,6565,6743,6506,16757548,9668,1 099 452 264,1.06%,4.0518,6.647372,15.043538
9-May-18,6496,6570,6460,9054512,7972,589 494 715,-0.06%,4.0948,6.71798,14.885426
8-May-18,6500,6632,6440,7773773,3865,505 347 221,-1.10%,4.0923,6.713846,14.894592
7-May-18,6572,6646,6502,7228244,6071,476 004 881,1.11%,4.0475,6.640292,15.059578
4-May-18,6500,6618,6491,13125956,5383,859 490 784,0.37%,4.0923,6.713846,14.894592
3-May-18,6476,6762,6461,13064283,10271,861 172 268,-4.62%,4.1075,6.738728,14.839597
2-May-18,6790,6820,6639,10084789,6950,681 153 087,1.40%,3.9175,6.427099,15.55912
1-May-18,6696,6696,6696,0,0,0,0.00%,3.9725,6.517324,15.343721
30-Apr-18,6696,6736,6600,6438031,5084,430 110 892,1.87%,3.9725,6.517324,15.343721
27-Apr-18,6573,6573,6573,0,0,0,0.00%,4.0469,6.639282,15.06187
26-Apr-18,6573,6610,6380,6738764,5304,442 806 748,2.22%,4.0469,6.639282,15.06187
25-Apr-18,6430,6587,6365,8286186,5957,534 480 586,-1.86%,4.1369,6.786936,14.734189
24-Apr-18,6552,6700,6552,5552250,3996,366 034 342,-1.40%,4.0598,6.660562,15.013749
23-Apr-18,6645,6840,6586,7690733,5848,511 845 432,-2.95%,4.003,6.567344,15.226856
20-Apr-18,6847,6894,6798,4805860,4124,328 667 239,-0.09%,3.8849,6.373594,15.689734
19-Apr-18,6853,6944,6823,6431776,4977,442 452 310,0.37%,3.8815,6.368014,15.703483
18-Apr-18,6828,6828,6662,8675145,6387,586 516 924,1.74%,3.8957,6.39133,15.646196
17-Apr-18,6711,6734,6565,6371828,4588,424 100 862,0.16%,3.9636,6.502757,15.378094
16-Apr-18,6700,6720,6520,5740340,4176,382 006 046,1.73%,3.9701,6.513433,15.352887
13-Apr-18,6586,6680,6532,8001500,4893,527 520 605,-1.63%,4.0389,6.626177,15.091659
12-Apr-18,6695,6725,6482,7784332,5535,516 669 248,2.28%,3.9731,6.518297,15.34143
11-Apr-18,6546,6685,6507,5215874,3110,342 431 412,-1.53%,4.0636,6.666667,15
10-Apr-18,6648,6681,6551,7703721,7103,510 066 666,1.93%,4.0012,6.56438,15.233731
9-Apr-18,6522,6664,6421,9451637,5654,615 755 786,-0.78%,4.0785,6.691199,14.945005
6-Apr-18,6573,6800,6552,11173588,8114,738 361 035,-2.61%,4.0469,6.639282,15.06187
5-Apr-18,6749,6840,6621,8806038,4204,595 588 975,2.74%,3.9413,6.466143,15.46517
4-Apr-18,6569,6651,6377,10886285,7369,705 851 602,-0.94%,4.0493,6.643325,15.052704
3-Apr-18,6631,6739,6586,11539689,8020,769 061 806,-0.88%,4.0115,6.581209,15.194775
2-Apr-18,6690,6690,6690,0,0,0,0.00%,3.9761,6.523169,15.329972
30-Mar-18,6690,6690,6690,0,0,0,0.00%,3.9761,6.523169,15.329972
29-Mar-18,6690,6739,6505,12353935,6828,824 496 378,3.53%,3.9761,6.523169,15.329973
28-Mar-18,6462,6635,6456,15909818,10915,1 038 295 774,-3.10%,4.1164,6.753327,14.807516
27-Mar-18,6669,6900,6642,9950459,7578,673 404 301,-3.77%,3.9886,6.54371,15.281852
26-Mar-18,6930,7078,6795,9419800,5472,650 847 664,0.80%,3.8384,6.297258,15.879927
23-Mar-18,6875,6921,6771,8567097,5426,588 398 266,-0.32%,3.8691,6.347636,15.753896
22-Mar-18,6897,7166,6897,16935052,12616,1 188 693 409,-2.56%,3.8567,6.327389,15.804308
21-Mar-18,7078,7078,7078,0,0,0,0.00%,3.7581,6.165584,16.219064
20-Mar-18,7078,7102,6954,7798721,5650,550 532 058,1.49%,3.7581,6.165583,16.219065
19-Mar-18,6974,6980,6849,7141075,5617,494 157 654,0.97%,3.8142,6.257528,15.980752
16-Mar-18,6907,7060,6890,16096531,4958,1 116 360 314,-0.95%,3.8512,6.318228,15.827223
15-Mar-18,6973,7001,6915,25486578,7447,1 779 095 518,0.91%,3.8147,6.258425,15.97846
14-Mar-18,6910,7010,6864,16013212,13346,1 107 987 447,-1.65%,3.8495,6.315485,15.834097
13-Mar-18,7026,7050,6830,19896511,9360,1 382 720 331,2.49%,3.7859,6.211215,16.099908
12-Mar-18,6855,6992,6662,17069043,11327,1 175 040 981,3.21%,3.8804,6.366156,15.708066
9-Mar-18,6642,7039,6642,31989320,19886,2 161 758 726,-4.45%,4.0048,6.57031,15.219982
8-Mar-18,6951,7271,6951,21403624,13892,1 507 902 130,-3.38%,3.8268,6.278233,15.928048
7-Mar-18,7194,7476,7142,23287278,13991,1 683 699 125,-3.95%,3.6975,6.066166,16.484876
6-Mar-18,7490,7640,7439,16299224,9769,1 229 341 004,0.94%,3.5514,5.826435,17.163153
5-Mar-18,7420,7538,7340,11952091,7079,891 158 242,0.54%,3.4367,5.710243,17.512391
2-Mar-18,7380,7427,7269,10511710,8551,774 370 988,-0.31%,3.4553,5.741192,17.417984
1-Mar-18,7403,7461,7302,10593043,7833,784 663 596,0.18%,3.4445,5.723355,17.472268
28-Feb-18,7390,7515,7353,15901080,8601,1 178 658 134,-2.31%,3.4506,5.733424,17.441586
