Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,4516,4516,4480,345312,1298,15 525 592,0.49%,0,0,0
1-Jun-18,4494,4619,4451,2131416,3529,96 626 811,-0.53%,2.0027,7.118825,14.047262
31-May-18,4518,4593,4416,4653181,2578,210 576 994,2.17%,1.992,7.081009,14.122281
30-May-18,4422,4502,4381,1660194,2881,73 689 058,-2.43%,2.0353,7.234735,13.822206
29-May-18,4532,4545,4336,2377635,3778,106 008 920,3.56%,1.9859,7.059135,14.166042
28-May-18,4376,4539,4339,533382,1736,23 613 443,-1.77%,2.0567,7.310786,13.67842
25-May-18,4455,4513,4394,1762106,3215,78 551 931,-1.09%,2.0202,7.181145,13.925356
24-May-18,4504,4536,4427,1703126,3245,76 467 521,1.81%,1.9982,7.10302,14.07852
23-May-18,4424,4537,4400,2415206,3463,107 531 379,-2.45%,2.0344,7.231465,13.828457
22-May-18,4535,4586,4419,1263878,2895,57 174 239,-1.18%,1.9846,7.054465,14.175419
21-May-18,4589,4663,4489,1177591,2034,53 797 471,0.39%,1.9612,6.971453,14.344211
18-May-18,4571,4596,4471,1903962,3296,86 267 615,1.04%,1.9689,6.998906,14.287947
17-May-18,4524,4548,4474,1777687,1976,80 291 045,-0.57%,1.9894,7.071618,14.141035
16-May-18,4550,4636,4520,1099577,1909,50 154 625,-1.52%,1.978,7.031209,14.222306
15-May-18,4620,4730,4610,2813868,4290,130 665 727,-2.33%,1.9481,6.924675,14.44111
14-May-18,4730,4773,4698,728464,1136,34 496 184,-0.53%,1.9027,6.763636,14.784946
11-May-18,4755,4789,4695,1091579,2351,51 772 762,-0.02%,1.8927,6.728076,14.863091
10-May-18,4756,4924,4732,1273254,2693,60 934 642,-1.94%,1.8923,6.726661,14.866217
9-May-18,4850,4916,4829,3630253,4963,176 491 527,1.29%,1.8557,6.596289,15.16004
8-May-18,4788,5044,4733,2979850,3235,142 738 789,-1.32%,1.8797,6.681704,14.966242
7-May-18,4852,4935,4841,1001267,2295,48 788 766,-0.57%,1.8549,6.59357,15.166292
4-May-18,4880,4940,4819,1798638,3041,87 750 151,-1.97%,1.8443,6.555738,15.253813
3-May-18,4978,5026,4879,1434370,2801,71 237 710,0.38%,1.808,6.426677,15.56014
2-May-18,4959,5038,4751,2806559,3445,138 065 340,5.80%,1.8149,6.451301,15.50075
1-May-18,4687,4687,4687,0,0,0,0.00%,1.9202,6.825688,14.650538
30-Apr-18,4687,4687,4576,2299114,3698,106 698 656,2.11%,1.9202,6.825688,14.650538
27-Apr-18,4590,4590,4590,0,0,0,0.00%,1.9608,6.969934,14.347338
26-Apr-18,4590,4764,4588,1902797,2828,88 393 418,-1.54%,1.9608,6.969935,14.347337
25-Apr-18,4662,4850,4505,3462196,4531,159 161 209,-4.93%,1.9305,6.862291,14.572393
24-Apr-18,4904,4955,4854,845341,1298,41 537 913,0.22%,1.8352,6.523654,15.328832
23-Apr-18,4893,4915,4814,977818,1601,47 605 517,1.75%,1.8394,6.53832,15.294449
20-Apr-18,4809,4842,4731,942681,1702,45 116 241,-1.54%,1.8715,6.652527,15.031883
19-Apr-18,4884,4984,4742,2864754,4266,140 732 535,2.50%,1.8428,6.550369,15.266317
18-Apr-18,4765,4783,4601,1661779,2751,78 005 415,1.38%,1.8888,6.713956,14.894349
17-Apr-18,4700,4767,4562,2413482,3265,112 540 267,-0.93%,1.9149,6.806809,14.691173
16-Apr-18,4744,4862,4683,1889905,2707,90 287 262,-0.75%,1.8971,6.743676,14.828707
13-Apr-18,4780,4862,4552,2097477,2983,99 608 131,4.99%,1.8828,6.692887,14.941235
12-Apr-18,4553,4663,4539,1182846,1909,54 282 714,-1.60%,1.9767,7.026576,14.231683
11-Apr-18,4627,4757,4550,2617971,3205,121 784 891,1.36%,1.9451,6.914199,14.462991
10-Apr-18,4565,4687,4561,1894000,2853,87 294 485,-2.77%,1.9715,7.008105,14.269192
9-Apr-18,4695,4811,4641,1723514,4523,81 305 940,-0.38%,1.9169,6.814058,14.675544
6-Apr-18,4713,4791,4531,1697351,2717,80 163 673,3.65%,1.9096,6.788033,14.731808
5-Apr-18,4547,4606,4478,861965,1452,39 308 423,-0.94%,1.9793,7.035848,14.212928
4-Apr-18,4590,4764,4474,2792469,4381,129 763 753,0.42%,1.9608,6.969935,14.347337
3-Apr-18,4571,4818,4568,2021010,3536,94 250 298,-4.73%,1.9689,6.998906,14.287947
2-Apr-18,4798,4798,4798,0,0,0,0.00%,1.8758,6.667778,14.9975
30-Mar-18,4798,4798,4798,0,0,0,0.00%,1.8758,6.667778,14.9975
29-Mar-18,4798,4817,4537,2690612,3566,127 076 286,-1.88%,1.8758,6.667778,14.997499
28-Mar-18,4890,4946,4829,2013382,3973,98 301 415,1.64%,1.8405,6.542331,15.285071
27-Mar-18,4811,4995,4806,1307126,2432,63 554 305,-0.78%,1.8707,6.649761,15.038135
26-Mar-18,4849,4849,4689,1387441,2345,66 524 631,0.12%,1.8561,6.597649,15.156914
23-Mar-18,4843,4919,4707,1833284,2670,87 993 282,4.06%,1.8584,6.605823,15.13816
22-Mar-18,4654,4678,4514,2141787,2840,98 911 207,2.42%,1.9338,6.874087,14.547387
21-Mar-18,4544,4544,4544,0,0,0,0.00%,1.9806,7.040493,14.203551
20-Mar-18,4544,4594,4485,1457463,2884,66 078 415,1.54%,1.9806,7.040493,14.203551
19-Mar-18,4475,4553,4358,1050632,2258,46 978 828,1.80%,2.0112,7.14905,13.987872
16-Mar-18,4396,4585,4373,4704020,2701,208 496 216,0.02%,2.0473,7.277525,13.740935
15-Mar-18,4395,4534,4392,5983478,2394,269 433 172,-1.39%,2.0478,7.279181,13.737809
14-Mar-18,4457,4650,4448,1458764,1732,65 382 158,-1.94%,2.0193,7.177922,13.931608
13-Mar-18,4545,4600,4487,1775612,2210,80 507 428,-0.48%,1.9802,7.038944,14.206677
12-Mar-18,4567,4659,4504,1285933,1840,58 573 185,-2.04%,1.9707,7.005036,14.275444
9-Mar-18,4662,4747,4580,2275049,3313,105 493 688,-0.66%,1.9305,6.862291,14.572393
8-Mar-18,4693,4750,4626,1665394,2085,78 354 746,-0.74%,1.9177,6.816961,14.669292
7-Mar-18,4728,4760,4656,1522409,2826,71 585 910,-1.19%,1.9036,6.766497,14.778695
6-Mar-18,4785,4785,4671,1543443,2912,73 166 472,2.03%,1.8809,6.685893,14.956864
5-Mar-18,4690,4773,4635,1727041,3091,81 284 841,-0.53%,1.919,6.821322,14.659915
2-Mar-18,4715,4751,4577,3951637,6193,184 675 508,3.72%,1.9088,6.785154,14.73806
1-Mar-18,4546,4693,4546,1944420,3988,89 843 999,-0.76%,1.9798,7.037396,14.209802
28-Feb-18,4581,4637,4506,2792918,3690,127 926 837,-0.43%,1.9646,6.983628,14.319205
27-Feb-18,4601,4702,4601,2219780,3157,103 144 439,-1.60%,1.9561,6.953271,14.38172
26-Feb-18,4676,4785,4588,1610176,2243,74 992 699,1.83%,1.9247,6.841745,14.616154
23-Feb-18,4592,4736,4537,2690894,3126,125 154 108,-0.63%,1.9599,6.966899,14.353588
22-Feb-18,4621,4684,4491,1932926,3979,88 573 546,-1.39%,1.9476,6.923177,14.444236
21-Feb-18,4686,4694,4536,2549025,3608,118 426 163,0.13%,1.9206,6.827145,14.647412
20-Feb-18,4680,4882,4637,1811157,2805,84 876 356,-4.26%,1.9231,6.835897,14.628657
19-Feb-18,4888,4915,4702,1358735,2027,65 452 628,0.18%,1.8412,6.545008,15.27882
16-Feb-18,4879,4886,4768,2120031,2626,102 343 954,0.83%,1.8446,6.557081,15.250688
15-Feb-18,4839,4894,4701,2846813,4715,136 563 867,4.24%,1.8599,6.611283,15.125656
14-Feb-18,4642,4840,4375,4072663,5077,184 781 159,-3.69%,1.9388,6.891857,14.509877
13-Feb-18,4820,4961,4779,3068990,3316,148 519 677,4.67%,2.0747,5.292946,18.89307
12-Feb-18,4605,4696,4517,2622974,4599,120 253 568,-0.80%,2.1716,5.540065,18.050329
9-Feb-18,4642,4850,4590,3206450,5832,149 043 317,-2.81%,2.1542,5.495907,18.195359
