Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,2775,2785,2743,2370984,1955,65 647 047,0.80%,0,0,0
1-Jun-18,2753,2779,2720,5521577,3555,152 117 095,1.21%,7.3375,6.55939,15.245321
31-May-18,2720,2790,2707,15076691,3674,411 007 152,0.37%,7.4265,6.638971,15.062576
30-May-18,2710,2770,2696,8979692,4342,244 481 664,-1.45%,7.4539,6.663469,15.007199
29-May-18,2750,2769,2719,5741621,2913,157 703 693,0.18%,7.3455,6.566545,15.228708
28-May-18,2745,2803,2737,3684878,2818,101 649 629,-0.72%,7.3588,6.578506,15.201019
25-May-18,2765,2765,2712,5689943,3132,156 190 004,0.84%,7.3056,6.530922,15.311773
24-May-18,2742,2778,2722,7197395,4192,197 476 561,-0.36%,7.3669,6.585704,15.184406
23-May-18,2752,2768,2715,6596250,2907,181 351 323,0.40%,7.3401,6.561773,15.239783
22-May-18,2741,2755,2688,5993238,2932,163 708 719,1.97%,7.3696,6.588107,15.178868
21-May-18,2688,2756,2683,4382234,2549,118 179 755,-0.81%,7.5149,6.718006,14.885369
18-May-18,2710,2799,2710,5373764,2415,146 607 045,-0.55%,7.4539,6.663469,15.007199
17-May-18,2725,2787,2722,5974503,2510,163 840 729,-2.22%,7.4128,6.626789,15.090265
16-May-18,2787,2849,2739,15852126,3212,442 466 779,0.25%,7.2479,6.479368,15.433603
15-May-18,2780,2860,2780,8246859,3724,231 184 496,-3.10%,7.2662,6.495683,15.394839
14-May-18,2869,2870,2802,18445825,3301,527 017 959,1.06%,7.0408,6.294179,15.887695
11-May-18,2839,2852,2751,7238243,4314,204 535 318,1.47%,7.1152,6.36069,15.721564
10-May-18,2798,2829,2780,5293663,3696,148 385 292,0.14%,7.2194,6.453896,15.494518
9-May-18,2794,2794,2741,6849133,4916,189 920 429,1.27%,7.2298,6.463135,15.472367
8-May-18,2759,2790,2738,7965943,3323,219 608 840,-0.40%,7.3215,6.545125,15.278547
7-May-18,2770,2800,2754,7500628,3340,208 395 748,0.33%,7.2924,6.519134,15.339462
4-May-18,2761,2890,2752,9832451,2949,274 657 763,-2.58%,7.3162,6.540384,15.289622
3-May-18,2834,2900,2821,4835604,2796,137 643 642,-1.22%,7.1277,6.371912,15.693875
2-May-18,2869,2909,2854,6602539,2309,189 556 003,-1.41%,7.0408,6.294179,15.887695
1-May-18,2910,2910,2910,0,0,0,0.00%,6.9416,6.205498,16.114742
30-Apr-18,2910,2924,2835,8471179,2523,246 258 155,1.93%,6.9416,6.205498,16.114741
27-Apr-18,2855,2855,2855,0,0,0,0.00%,7.0753,6.325044,15.810167
26-Apr-18,2855,2887,2828,6222384,2520,177 910 732,0.25%,7.0753,6.325044,15.810167
25-Apr-18,2848,2884,2821,9123196,2934,259 885 066,-0.04%,7.0927,6.34059,15.771403
24-Apr-18,2849,2917,2843,4811399,1819,138 140 946,-1.42%,7.0902,6.338364,15.776941
23-Apr-18,2890,2926,2879,7509343,2668,217 119 341,-1.37%,6.9896,6.248443,16.003987
20-Apr-18,2930,2950,2908,6331942,2725,185 420 870,0.51%,6.8942,6.16314,16.225496
19-Apr-18,2915,2939,2890,5120258,2737,149 542 869,0.10%,6.9297,6.194854,16.14243
18-Apr-18,2912,2912,2859,6581489,2293,190 197 439,1.43%,6.9368,6.201236,16.125817
17-Apr-18,2871,2880,2850,6774993,2603,193 818 219,0.88%,7.0359,6.289794,15.898771
16-Apr-18,2846,2880,2809,3945819,1340,112 320 212,-0.35%,7.0977,6.345046,15.760328
13-Apr-18,2856,2874,2820,5144687,3087,146 376 312,-0.63%,7.0728,6.322829,15.815705
12-Apr-18,2874,2890,2815,6463451,2811,185 399 291,1.81%,7.0285,6.283229,15.915384
11-Apr-18,2823,2870,2817,4728124,2075,133 768 592,-1.02%,7.1555,6.396741,15.63296
10-Apr-18,2852,2852,2804,10233112,3627,290 075 504,1.60%,7.0827,6.331697,15.793554
9-Apr-18,2807,2867,2786,5612083,2398,158 200 936,-0.95%,7.1963,6.433203,15.544357
6-Apr-18,2834,2849,2769,12898192,3809,363 426 666,1.21%,7.1277,6.371912,15.693875
5-Apr-18,2800,2840,2784,10513363,2909,295 139 665,1.27%,7.2143,6.449286,15.505593
4-Apr-18,2765,2805,2695,9473369,4055,260 671 969,-1.25%,7.3056,6.530922,15.311773
3-Apr-18,2800,2895,2790,12437862,5097,351 206 334,-1.44%,7.2143,6.449286,15.505593
2-Apr-18,2841,2841,2841,0,0,0,0.00%,7.1102,6.356213,15.732638
30-Mar-18,2841,2841,2841,0,0,0,0.00%,7.1102,6.356213,15.732638
29-Mar-18,2841,2932,2828,16980846,4825,486 771 573,-2.71%,7.1102,6.356213,15.732639
28-Mar-18,2920,2950,2798,79070074,11730,2 301 536 272,2.42%,6.9178,6.184247,16.170119
27-Mar-18,2851,2930,2810,25746109,11044,740 786 729,1.50%,7.0852,6.333918,15.788016
26-Mar-18,2809,2821,2739,15771077,5863,440 115 445,2.93%,7.1912,6.428622,15.555433
23-Mar-18,2729,2760,2705,233058082,7850,6 340 819 489,-5.28%,7.402,6.617076,15.112416
22-Mar-18,2881,2950,2849,9549797,4357,278 314 262,-1.97%,7.0115,6.267963,15.954148
21-Mar-18,2939,2939,2939,0,0,0,0.00%,6.8731,6.144267,16.275334
20-Mar-18,2939,3000,2901,8804115,3669,260 073 520,-3.29%,6.8731,6.144267,16.275335
19-Mar-18,3039,3041,2960,4302389,2481,129 676 228,2.29%,6.6469,5.942086,16.829106
16-Mar-18,2971,3035,2963,12009693,2079,357 299 157,-0.83%,6.7991,6.078088,16.452542
15-Mar-18,2996,3022,2946,18827863,2940,557 881 925,-0.79%,6.7423,6.02737,16.590985
14-Mar-18,3020,3065,2974,6487901,3217,195 469 664,-0.92%,6.6887,5.97947,16.72389
13-Mar-18,3048,3072,3023,5523421,3186,168 266 283,0.33%,6.6273,5.924541,16.878946
12-Mar-18,3038,3090,3035,4662928,2029,142 595 651,-0.59%,6.6491,5.944042,16.823569
9-Mar-18,3056,3090,3009,4721879,2531,144 130 410,1.13%,6.6099,5.909031,16.923247
8-Mar-18,3022,3139,3012,11619726,5759,356 283 738,-3.51%,6.6843,5.975513,16.734965
7-Mar-18,3132,3150,3076,4823218,3411,150 539 348,0.71%,6.4496,5.765645,17.344113
6-Mar-18,3110,3140,3031,6049438,3821,188 171 275,1.47%,6.4952,5.806431,17.222284
5-Mar-18,3065,3114,3043,6629651,3951,203 815 560,-0.81%,6.5905,5.89168,16.973087
2-Mar-18,3090,3100,2966,6129888,4789,187 120 926,2.97%,6.5372,5.844013,17.11153
1-Mar-18,3001,3040,2911,6198767,3620,186 096 268,1.73%,6.7311,6.017328,16.618673
28-Feb-18,2950,2995,2905,10591433,3599,313 746 020,-0.61%,6.8475,6.121356,16.33625
27-Feb-18,2968,3032,2925,7401222,4211,220 734 164,0.20%,6.597,6.053235,16.520094
26-Feb-18,2962,3046,2962,4936609,3243,147 887 816,-0.94%,6.6104,6.065496,16.486697
23-Feb-18,2990,3003,2930,9776994,3733,291 935 100,1.36%,6.5485,6.008696,16.642547
22-Feb-18,2950,2963,2920,7791122,3805,228 888 475,0.00%,6.6373,6.090169,16.419904
21-Feb-18,2950,2953,2872,16851317,4124,494 750 844,0.55%,6.6373,6.090169,16.419904
20-Feb-18,2934,2960,2916,6685917,2682,196 001 185,-0.88%,6.6735,6.123381,16.330847
19-Feb-18,2960,2972,2910,8789634,2173,260 159 829,0.68%,6.6149,6.069595,16.475565
16-Feb-18,2940,2954,2907,10518889,3523,309 443 749,-0.34%,6.6599,6.110884,16.364244
15-Feb-18,2950,2966,2864,16621546,5776,485 369 084,3.55%,6.6373,6.090169,16.419904
14-Feb-18,2849,2875,2810,16961755,3888,483 222 835,-0.56%,6.8726,6.306072,15.857731
13-Feb-18,2865,2883,2800,12199293,3683,349 529 270,1.42%,6.8342,6.270855,15.946788
12-Feb-18,2825,2845,2795,26389265,5091,743 739 579,0.36%,6.931,6.359646,15.724146
