Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,21100,21187,20702,144492,1315,30 408 866,1.31%,0,0,0
1-Jun-18,20827,20953,20322,671782,2396,139 623 447,2.03%,3.1354,6.429154,15.554145
31-May-18,20412,20792,20233,1301505,3951,266 514 688,1.33%,3.1991,6.559867,15.244212
30-May-18,20145,20565,20002,772944,3365,156 615 359,0.50%,3.2415,6.646811,15.04481
29-May-18,20044,20813,20044,725517,2823,146 885 576,-3.69%,3.2578,6.680303,14.96938
28-May-18,20813,21325,20513,314395,1717,65 914 134,0.57%,3.1375,6.433479,15.543689
25-May-18,20695,21397,20006,758147,3906,156 881 106,1.95%,3.1554,6.470162,15.455564
24-May-18,20300,20972,20107,796857,2645,162 123 165,-1.28%,3.2167,6.596059,15.160568
23-May-18,20563,21269,20558,656945,2954,136 383 037,-2.96%,3.1756,6.511696,15.356983
22-May-18,21191,21399,20701,809702,3132,171 301 904,2.21%,3.0815,6.31872,15.82599
21-May-18,20732,21053,20415,1115649,2633,231 921 084,1.24%,3.1497,6.458615,15.483196
18-May-18,20479,21340,20422,1189310,3387,247 414 710,-2.89%,3.1886,6.538405,15.294249
17-May-18,21089,21630,20957,803776,3006,169 666 213,-1.94%,3.0964,6.349282,15.749813
16-May-18,21506,22155,21429,1015040,3372,220 335 157,-1.35%,3.0364,6.226169,16.06124
15-May-18,21800,22799,21550,857558,2724,189 739 495,-4.55%,2.9954,6.142202,16.280807
14-May-18,22838,23075,22472,484282,2345,109 885 652,0.18%,2.8593,5.863035,17.056012
11-May-18,22796,22801,21801,912765,3905,203 163 581,5.17%,2.8645,5.873838,17.024645
10-May-18,21675,22900,21659,876497,3627,194 379 528,-3.24%,3.0127,6.177624,16.187453
9-May-18,22400,22700,21860,711872,4515,159 561 574,1.37%,2.9152,5.977679,16.728902
8-May-18,22097,23259,21955,855709,2917,190 834 242,-2.44%,2.9552,6.059646,16.502614
7-May-18,22650,23350,22542,571547,2221,130 474 371,-0.37%,2.883,5.9117,16.915609
4-May-18,22735,23518,22669,618777,1993,142 574 138,-1.32%,2.8722,5.889598,16.979089
3-May-18,23039,24148,23001,722825,3677,169 343 410,-4.40%,2.8343,5.811884,17.206124
2-May-18,24100,24244,23607,501787,1824,120 552 897,0.26%,2.7095,5.556017,17.998506
1-May-18,24037,24037,24037,0,0,0,0.00%,2.7166,5.570579,17.951455
30-Apr-18,24037,24396,23020,391509,2046,94 092 531,2.49%,2.7166,5.570579,17.951456
27-Apr-18,23454,23454,23454,0,0,0,0.00%,2.7842,5.709047,17.516058
26-Apr-18,23454,23799,22821,456462,1994,106 983 991,1.62%,2.7842,5.709047,17.516057
25-Apr-18,23080,23759,22957,504056,2036,117 469 741,-2.20%,2.8293,5.80156,17.236744
24-Apr-18,23600,23943,23543,512488,2082,121 126 462,-0.31%,2.7669,5.673729,17.625093
