Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,9385,9429,9319,293710,1363,27 559 383,0.81%,0,0,0
1-Jun-18,9310,9369,9205,765967,2547,71 260 770,1.05%,4.6408,9.00247,11.108062
31-May-18,9213,9368,9213,1753532,3017,162 191 628,-0.45%,4.6897,9.097254,10.992328
30-May-18,9255,9354,9223,885035,3755,82 307 085,-1.83%,4.6684,9.05597,11.04244
29-May-18,9428,9659,9374,538894,2168,50 980 628,-2.00%,4.5827,8.889796,11.248852
28-May-18,9620,9906,9614,354455,1660,34 299 470,-1.84%,4.4913,8.71237,11.477933
25-May-18,9800,9800,9518,494928,2107,48 240 557,2.50%,4.4088,8.552347,11.692697
24-May-18,9561,9699,9519,868895,3051,83 245 896,-0.15%,4.519,8.766133,11.407538
23-May-18,9575,9782,9509,756911,2024,72 769 754,-1.95%,4.5124,8.753316,11.424242
22-May-18,9765,9786,9573,770798,2575,75 015 610,0.77%,4.4246,8.583001,11.650937
21-May-18,9690,9875,9526,847980,2280,82 508 625,1.57%,4.4588,8.649432,11.561452
18-May-18,9540,9739,9305,868381,3191,83 192 750,-1.05%,4.5289,8.78543,11.382482
17-May-18,9641,9721,9072,1513273,4381,142 380 623,1.45%,4.4815,8.693393,11.502989
16-May-18,9503,9577,9381,428078,1669,40 620 063,0.14%,4.4722,8.54225,11.706518
15-May-18,9490,9550,9422,683866,2465,64 938 423,0.14%,4.4783,8.553952,11.690503
14-May-18,9477,9673,9470,725013,2270,69 378 801,-2.06%,4.4844,8.565685,11.674489
11-May-18,9676,9791,9598,660949,2307,64 111 288,-0.34%,4.3922,8.38952,11.919632
10-May-18,9709,9825,9607,633666,3137,61 561 389,0.66%,4.3773,8.361005,11.960284
9-May-18,9645,9715,9581,821004,4479,79 286 790,-0.42%,4.4063,8.416485,11.881444
8-May-18,9686,9826,9565,1002341,2744,96 903 874,1.13%,4.3877,8.380859,11.931951
7-May-18,9578,9833,9572,823509,1988,79 844 499,-0.95%,4.4371,8.47536,11.798909
4-May-18,9670,9889,9650,429231,1179,41 870 537,-0.53%,4.3949,8.394726,11.912241
3-May-18,9722,10126,9722,873005,2926,86 024 896,-4.27%,4.3714,8.349825,11.976299
2-May-18,10156,10190,9766,854305,2356,85 427 659,3.14%,4.1846,7.993009,12.510933
1-May-18,9847,9847,9847,0,0,0,0.00%,4.3159,8.243831,12.130283
30-Apr-18,9847,10061,9682,614251,2064,60 617 157,0.62%,4.3159,8.243831,12.130283
27-Apr-18,9786,9786,9786,0,0,0,0.00%,4.3428,8.295218,12.055138
26-Apr-18,9786,9839,9567,531881,1526,52 034 089,1.45%,4.3428,8.295218,12.055139
25-Apr-18,9646,9864,9520,1127535,3316,109 152 479,-2.27%,4.4059,8.415613,11.882676
24-Apr-18,9870,9898,9800,465651,1844,45 921 013,0.56%,4.3059,8.22462,12.158616
23-Apr-18,9815,9841,9733,371769,1269,36 400 946,-0.04%,4.33,8.270708,12.090863
20-Apr-18,9819,9915,9698,461134,1307,45 370 722,0.30%,4.3282,8.267339,12.095791
19-Apr-18,9790,9870,9754,539905,2271,52 919 279,0.29%,4.3411,8.291828,12.060066
18-Apr-18,9762,9762,9656,725918,2207,70 566 933,1.21%,4.3535,8.315612,12.025574
17-Apr-18,9645,9690,9513,936917,2148,90 197 179,0.99%,4.4063,8.416485,11.881444
16-Apr-18,9550,9669,9463,596630,1794,57 035 466,-0.52%,4.4502,8.500209,11.764416
13-Apr-18,9600,9734,9506,837914,2809,80 717 772,0.72%,4.427,8.455938,11.82601
12-Apr-18,9531,9610,9200,1193073,3612,113 573 234,1.39%,4.459,8.517155,11.74101
11-Apr-18,9400,9738,9384,1112020,3498,104 992 609,-0.42%,4.5212,8.635851,11.579635
10-Apr-18,9440,9450,9281,1035033,2970,96 954 886,2.39%,4.502,8.599258,11.62891
9-Apr-18,9220,9321,9176,817875,2934,75 394 289,-0.76%,4.6094,8.804447,11.357897
6-Apr-18,9291,9291,9007,548302,3484,50 524 520,1.66%,4.5742,8.737165,11.44536
5-Apr-18,9139,9257,9107,471837,1119,43 187 754,1.96%,4.6503,8.882482,11.258115
4-Apr-18,8963,9024,8780,2028324,4421,180 248 804,-0.64%,4.7416,9.056901,11.041305
3-Apr-18,9021,9193,8939,961386,2749,87 009 862,-2.24%,4.7111,8.99867,11.112754
2-Apr-18,9228,9228,9228,0,0,0,0.00%,4.6054,8.796814,11.367752
30-Mar-18,9228,9228,9228,0,0,0,0.00%,4.6054,8.796814,11.367752
29-Mar-18,9228,9252,9031,1656071,2501,151 764 306,2.16%,4.6054,8.796814,11.367752
28-Mar-18,9033,9098,8921,948293,4609,85 332 388,-1.71%,4.7049,8.986715,11.127536
27-Mar-18,9190,9341,9143,917847,2347,84 926 680,0.86%,4.6245,8.833188,11.320941
26-Mar-18,9112,9200,9080,680197,2300,62 066 230,-1.49%,4.6641,8.908802,11.224854
23-Mar-18,9250,9410,9174,779777,2398,72 166 524,-0.97%,4.5945,8.775892,11.394853
22-Mar-18,9341,9545,9341,1411770,3516,133 140 392,-2.14%,4.5497,8.690397,11.506954
21-Mar-18,9545,9545,9545,0,0,0,0.00%,4.4525,8.504663,11.758255
20-Mar-18,9545,9687,9454,1382740,3459,131 846 543,-0.77%,4.4525,8.504662,11.758257
19-Mar-18,9619,10051,9619,754845,2495,73 524 599,-3.83%,4.4182,8.439235,11.849415
16-Mar-18,10002,10283,9834,3189649,2943,317 867 839,-0.97%,4.2491,8.116077,12.321224
15-Mar-18,10100,10272,10044,2059925,1509,209 450 028,-0.68%,4.2078,8.037327,12.441948
14-Mar-18,10169,10385,10153,733734,2028,75 055 310,-2.03%,4.1793,7.982791,12.526947
13-Mar-18,10380,10550,10338,681541,2412,70 893 607,-1.14%,4.0943,7.82052,12.786873
12-Mar-18,10500,10516,10348,635225,1550,66 659 423,0.41%,4.0475,7.731143,12.934698
