Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,9469,9516,9418,257862,1396,24 445 389,0.95%,0,0,0
1-Jun-18,9380,9429,9249,1121186,2239,105 295 179,0.54%,4.6055,8.935288,11.191581
31-May-18,9330,9438,9296,2235378,3481,209 252 450,-0.05%,4.6302,8.983173,11.131925
30-May-18,9335,9512,9330,1066041,3018,99 997 801,-2.05%,4.6277,8.978361,11.13789
29-May-18,9530,9780,9484,955063,2794,91 350 362,-2.11%,4.5331,8.794648,11.370551
28-May-18,9735,9997,9713,387068,1377,37 839 368,-1.39%,4.4376,8.60945,11.615143
25-May-18,9872,9910,9611,638012,1879,62 814 051,2.25%,4.376,8.489972,11.778602
24-May-18,9655,9814,9613,1648200,3246,159 745 831,-0.36%,4.4744,8.680787,11.519693
23-May-18,9690,9880,9613,814132,2049,79 258 040,-2.08%,4.4582,8.649432,11.561452
22-May-18,9896,9905,9667,846049,2737,83 274 217,0.93%,4.3654,8.469382,11.807238
21-May-18,9805,9957,9650,1924542,5550,188 827 938,1.61%,4.4059,8.547986,11.698663
18-May-18,9650,9791,9500,1494226,3976,144 491 035,-0.76%,4.4767,8.685285,11.513727
17-May-18,9724,9766,9129,2109549,4236,200 208 927,1.31%,4.4426,8.61919,11.602019
16-May-18,9598,9653,9475,549645,1861,52 561 920,0.16%,4.4279,8.4577,11.823546
15-May-18,9583,9627,9503,888278,3045,85 088 829,0.25%,4.4348,8.470938,11.805068
14-May-18,9559,9751,9544,941160,2591,90 665 136,-2.06%,4.446,8.492206,11.775503
11-May-18,9760,9901,9712,1400712,3334,137 120 236,-0.45%,4.3544,8.317316,12.02311
10-May-18,9804,9935,9711,1140128,3634,111 860 704,0.37%,4.3349,8.279988,12.077313
9-May-18,9768,9827,9692,1387295,5152,135 526 117,-0.45%,4.3508,8.310504,12.032965
8-May-18,9812,9902,9600,1011131,2538,98 875 891,1.31%,4.3313,8.273237,12.087168
7-May-18,9685,9874,9627,855318,2272,83 578 085,-0.76%,4.3881,8.381724,11.930719
4-May-18,9759,9967,9750,570584,1324,56 116 302,-0.89%,4.3549,8.318168,12.021878
3-May-18,9847,10228,9827,1071365,3337,106 964 802,-3.74%,4.3159,8.243831,12.130283
2-May-18,10230,10301,9865,1850894,4752,187 706 060,2.69%,4.1543,7.935191,12.602092
1-May-18,9962,9962,9962,0,0,0,0.00%,4.2661,8.148664,12.27195
30-Apr-18,9962,10146,9800,886335,2652,88 454 867,0.63%,4.2661,8.148665,12.271949
27-Apr-18,9900,9900,9900,0,0,0,0.00%,4.2928,8.199697,12.195573
26-Apr-18,9900,9909,9658,1029707,2566,101 704 471,1.34%,4.2928,8.199697,12.195573
25-Apr-18,9769,9937,9622,1244486,3859,121 562 936,-1.82%,4.3504,8.309653,12.034197
24-Apr-18,9950,9991,9904,1364383,5621,135 835 635,0.56%,4.2713,8.158492,12.257166
23-Apr-18,9895,9924,9806,1037220,2649,102 468 926,0.19%,4.295,8.20384,12.189413
20-Apr-18,9876,9986,9800,478504,1361,47 406 218,0.16%,4.3033,8.219623,12.166008
19-Apr-18,9860,9935,9840,674127,2579,66 617 128,0.12%,4.3102,8.232961,12.146298
18-Apr-18,9848,9848,9745,752155,1887,73 734 156,1.50%,4.3155,8.242994,12.131515
17-Apr-18,9702,9766,9604,960371,1855,93 264 776,0.56%,4.3804,8.367038,11.951661
16-Apr-18,9648,9761,9557,1198973,3469,115 682 414,-0.33%,4.405,8.413868,11.88514
13-Apr-18,9680,9831,9606,1012563,2635,98 468 096,0.77%,4.3904,8.386054,11.92456
12-Apr-18,9606,9693,9463,1113219,2517,106 995 554,0.96%,4.4242,8.450656,11.833401
11-Apr-18,9515,9766,9475,1270885,3222,121 292 610,-0.16%,4.4665,8.531477,11.7213
10-Apr-18,9530,9545,9290,1210564,2726,114 369 723,2.58%,4.4595,8.518048,11.739779
9-Apr-18,9290,9384,9250,1081044,2962,100 430 246,-0.17%,4.5747,8.738105,11.444128
6-Apr-18,9306,9331,9124,582390,3646,53 804 199,1.36%,4.5668,8.723082,11.463838
