Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,10121,10284,9988,235848,1177,23 822 846,-1.28%,0,0,0
1-Jun-18,10252,10503,10155,1199870,2668,123 409 043,0.01%,0,5.006828,19.972726
31-May-18,10251,10734,10033,1528318,2621,159 545 140,-1.46%,0,5.007316,19.970777
30-May-18,10403,10500,10200,573739,1636,59 620 653,0.56%,0,4.934154,20.2669
29-May-18,10345,10659,10264,487012,1728,50 609 046,-2.95%,0,4.961817,20.153906
28-May-18,10659,10995,10300,716078,1854,75 517 167,1.17%,0,4.815649,20.765634
25-May-18,10536,10770,10274,882089,2013,92 926 707,1.71%,0,4.871868,20.526008
24-May-18,10359,11401,10264,2883038,4148,306 474 247,-8.82%,0,4.955111,20.181181
23-May-18,11361,11657,11163,471444,1163,53 737 856,-2.56%,0,4.518088,22.133255
22-May-18,11660,11711,11200,2679446,1417,306 553 088,2.45%,0,4.40223,22.715761
21-May-18,11381,11401,11353,879924,1545,100 229 548,0.06%,0,4.510148,22.172219
18-May-18,11374,11404,11300,1742357,2137,198 554 124,-0.13%,0,4.512924,22.158582
17-May-18,11389,11497,11360,2636197,1290,300 494 680,-0.50%,0,4.50698,22.187804
16-May-18,11446,11676,11301,390385,1370,44 588 733,-1.17%,0,4.484536,22.298851
15-May-18,11582,11821,11557,800938,2085,93 513 710,-1.51%,0,4.431877,22.563803
14-May-18,11760,11800,11432,1021740,1258,120 183 972,2.26%,0,4.364796,22.910579
11-May-18,11500,11615,11467,488513,1471,56 397 340,-0.39%,0,4.463478,22.404052
10-May-18,11545,12023,11430,1026622,2742,119 669 745,-3.79%,0,4.446081,22.49172
9-May-18,12000,12000,11786,1175140,3764,139 943 479,1.42%,0,4.2775,23.378141
8-May-18,11832,11860,11725,627971,1567,74 295 190,0.91%,0,4.338235,23.050847
7-May-18,11725,11813,11563,306457,713,35 963 051,-0.28%,0,4.377825,22.842392
4-May-18,11758,11896,11736,371800,972,43 939 140,0.12%,0,4.365538,22.906682
3-May-18,11744,11899,11674,843299,1960,99 256 022,-0.89%,0,4.370743,22.879408
2-May-18,11849,11892,11575,1850711,1864,218 035 040,2.39%,0,4.332011,23.083966
30-Apr-18,11572,11572,11363,1750943,1769,201 378 875,0.84%,0,4.435707,22.544321
26-Apr-18,11476,11589,11338,1572555,1545,179 872 445,-0.21%,0,4.472813,22.357296
25-Apr-18,11500,11653,11390,1109672,1597,127 677 492,-0.87%,0,4.463478,22.404052
24-Apr-18,11601,11814,11505,977278,2102,113 662 699,-1.33%,0,4.424619,22.600818
23-Apr-18,11757,11808,11575,1352832,2630,158 595 609,0.62%,0,4.36591,22.904734
20-Apr-18,11685,11730,11301,2202056,3969,255 062 002,2.82%,0,4.392811,22.764465
19-Apr-18,11364,11667,11257,941589,2386,107 670 502,-0.92%,0,4.516895,22.1391
18-Apr-18,11470,11533,10750,2740910,4754,309 944 809,7.42%,0,4.475153,22.345607
17-Apr-18,10678,10738,10164,999608,2519,105 181 314,4.69%,0,4.80708,20.80265
16-Apr-18,10200,10285,10100,730252,1538,74 513 300,0.53%,0,5.032353,19.87142
13-Apr-18,10146,10192,9818,984853,2144,98 884 136,3.12%,0,5.059137,19.766219
12-Apr-18,9839,9998,9712,867354,1472,85 541 558,1.59%,0,5.216994,19.168128
11-Apr-18,9685,10051,9685,891477,1912,87 518 508,-1.13%,0,5.299948,18.868108
10-Apr-18,9796,9838,9589,805215,1856,78 602 844,1.52%,0,5.239894,19.084356
9-Apr-18,9649,9761,9603,908348,1782,87 870 008,1.04%,0,5.319722,18.797974
6-Apr-18,9550,9630,9532,949930,2084,91 014 294,0.77%,0,5.374869,18.605104
5-Apr-18,9477,9477,9334,2303648,2946,216 117 036,1.68%,0,5.416271,18.462887
4-Apr-18,9320,9520,9275,3462328,3306,323 731 550,-2.10%,0,5.507511,18.157023
3-Apr-18,9520,10000,9520,1344865,2963,130 806 639,-4.94%,0,5.391807,18.546659
2-Apr-18,10015,10015,10015,0,0,0,0.00%,0,5.125312,19.511007
30-Mar-18,10015,10015,10015,0,0,0,0.00%,0,5.125312,19.511007
29-Mar-18,10015,10057,9403,1217969,3083,120 751 009,5.97%,0,5.125312,19.511007
28-Mar-18,9451,9451,9101,931656,2865,87 126 179,2.23%,0,5.431171,18.412235
27-Mar-18,9245,9360,9082,1589006,3234,147 361 006,1.79%,0,5.55219,18.01091
26-Mar-18,9082,9300,8810,1240595,2553,112 772 761,-1.94%,0,5.651839,17.693357
23-Mar-18,9262,9450,9177,622234,1683,57 595 546,-1.85%,0,5.542,18.044029
22-Mar-18,9437,9759,9437,871422,2222,83 175 026,-1.94%,0,5.439229,18.38496
21-Mar-18,9624,9624,9624,0,0,0,0.00%,0,5.333541,18.74927
20-Mar-18,9624,9860,9493,936063,2277,89 918 757,-2.22%,0,5.333541,18.749269
19-Mar-18,9843,10000,9791,417769,1990,41 344 733,0.52%,0,5.214874,19.175921
16-Mar-18,9792,9973,9711,578690,1121,56 935 118,-1.09%,0,5.242034,19.076563
15-Mar-18,9900,9926,9747,2060621,1397,202 624 133,0.52%,0,5.184848,19.286967
14-Mar-18,9849,10083,9822,602765,1618,59 614 640,-2.16%,0,5.211697,19.18761
13-Mar-18,10066,10200,9979,611826,1772,61 623 656,0.02%,0,5.099344,19.610364
12-Mar-18,10064,10199,10000,555865,1242,56 110 008,-0.36%,0,5.100358,19.606468
9-Mar-18,10100,10126,9819,387237,1518,39 010 598,2.85%,0,5.082178,19.676602
8-Mar-18,9820,9820,9465,834908,1672,81 392 824,3.75%,0,5.227088,19.131112
7-Mar-18,9465,9491,9274,784298,3056,73 648 045,1.89%,0,5.423138,18.439509
6-Mar-18,9289,9392,9289,1235121,2799,115 299 966,-0.67%,0,5.525891,18.09663
5-Mar-18,9352,9547,9295,1235037,2273,115 788 818,-1.80%,0,5.488666,18.219365
2-Mar-18,9523,9523,9324,838038,2975,79 302 231,0.04%,0,5.390108,18.552503
1-Mar-18,9519,9726,9500,964978,2111,92 669 299,-2.00%,0,5.392373,18.544711
28-Feb-18,9713,9857,9634,593912,2225,57 790 800,-1.39%,0,5.28467,18.922657
