Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,35357,35477,35021,144996,1439,51 276 358,1.23%,0,0,0
1-Jun-18,34928,35419,34883,494944,3984,173 904 789,-0.41%,2.6503,6.286761,15.906441
31-May-18,35072,35210,34515,807753,3561,283 058 654,1.93%,2.6394,6.260949,15.97202
30-May-18,34409,34596,34140,377086,3370,129 594 202,-0.54%,2.6902,6.381586,15.670085
29-May-18,34597,35252,34500,400682,3731,138 696 803,-1.87%,2.6756,6.346909,15.755702
28-May-18,35257,35483,34462,790957,4097,279 061 021,2.19%,2.6255,6.228097,16.05627
25-May-18,34500,35126,34402,403891,2992,139 990 652,-0.74%,2.6831,6.364754,15.711527
24-May-18,34757,35287,34601,316163,2537,110 176 462,-0.96%,2.6633,6.317691,15.828567
23-May-18,35094,35853,34949,436681,3897,154 211 839,-1.83%,2.6377,6.257024,15.982039
22-May-18,35750,35814,34820,421865,3926,149 380 858,0.55%,2.5893,6.14221,16.280785
21-May-18,35556,35842,35119,519828,4056,184 138 171,0.44%,2.6034,6.175723,16.192437
18-May-18,35400,35630,34880,694397,4734,244 423 583,1.72%,2.6149,6.202938,16.121393
17-May-18,34800,34854,34203,487808,3111,168 493 912,0.72%,2.66,6.309885,15.848149
16-May-18,34550,34717,33975,547380,3934,188 248 060,1.79%,2.6792,6.355543,15.734298
15-May-18,33941,33951,32900,423083,2488,142 051 361,2.84%,2.7273,6.46958,15.456955
14-May-18,33003,33171,32803,319777,2076,105 455 564,-0.50%,2.8048,6.653456,15.029784
11-May-18,33170,34000,32901,257458,2338,85 241 393,-0.24%,2.7907,6.619958,15.105836
10-May-18,33250,34200,33139,405607,3246,135 579 723,-2.21%,2.784,6.60403,15.142269
9-May-18,34000,34276,33735,803012,4696,273 554 156,0.70%,2.7226,6.458353,15.483824
8-May-18,33765,33765,32839,649912,3748,217 511 254,2.68%,2.7415,6.503302,15.376803
7-May-18,32883,33059,32663,369398,2677,121 355 130,0.58%,2.8151,6.677736,14.975135
4-May-18,32694,33003,32291,726189,4110,238 246 056,1.01%,2.8313,6.716339,14.889063
3-May-18,32368,32998,32336,926227,4389,301 639 408,-1.74%,2.8599,6.783984,14.7406
2-May-18,32940,33122,32536,1005010,3403,333 731 840,-4.97%,2.8102,6.666181,15.001093
1-May-18,34663,34663,34663,0,0,0,0.00%,2.5434,6.03319,16.574979
30-Apr-18,34663,36396,34396,570527,2627,201 833 216,0.27%,2.5434,6.03319,16.574978
27-Apr-18,34570,34570,34570,0,0,0,0.00%,2.6777,6.351866,15.743405
26-Apr-18,34570,35206,34366,790604,2897,273 511 238,-1.06%,2.6777,6.351866,15.743406
25-Apr-18,34940,35155,34820,487960,2894,170 598 731,-0.64%,2.6493,6.284602,15.911906
24-Apr-18,35165,35312,34350,430444,2815,150 077 434,2.52%,2.6324,6.244391,16.014373
23-Apr-18,34302,34979,33799,253712,1913,86 892 028,1.63%,2.6986,6.401493,15.621357
20-Apr-18,33751,34055,33576,202910,1696,68 591 136,-0.14%,2.7427,6.506,15.370428
19-Apr-18,33797,34134,33585,602523,2876,203 580 907,0.63%,2.7389,6.497145,15.391376
18-Apr-18,33587,33683,33103,358586,2469,119 892 992,0.56%,2.7561,6.537768,15.295741
17-Apr-18,33400,33615,33271,366040,2861,122 456 384,0.33%,2.7715,6.574371,15.21058
16-Apr-18,33290,33491,33177,399476,3290,133 058 694,0.17%,2.7807,6.596095,15.160485
