Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,35500,35618,35310,91273,1008,32 405 517,1.06%,0,0,0
1-Jun-18,35127,35550,35062,390164,2303,137 741 046,-0.19%,2.6352,6.251146,15.997067
31-May-18,35195,35300,34556,421572,1911,148 197 037,2.09%,2.6301,6.239068,16.028035
30-May-18,34473,34696,34265,381702,1697,131 463 747,-0.30%,2.6852,6.369739,15.699231
29-May-18,34576,35032,34500,423103,2455,146 720 808,-2.00%,2.6772,6.350764,15.746138
28-May-18,35283,35580,34801,1674599,3186,593 623 375,2.05%,2.6236,6.223507,16.068111
25-May-18,34574,35311,34500,377425,1954,131 032 575,-0.76%,2.6774,6.351131,15.745227
24-May-18,34840,35477,34710,519762,2330,181 967 629,-1.23%,2.6569,6.302641,15.866365
23-May-18,35274,36050,35162,483844,3116,172 024 168,-1.59%,2.6243,6.225095,16.064012
22-May-18,35845,35951,34976,573808,3082,204 352 700,0.46%,2.5825,6.125931,16.324049
21-May-18,35682,36000,35287,812232,4178,289 224 982,0.52%,2.5942,6.153915,16.249818
18-May-18,35498,35587,34906,799268,5181,281 996 405,1.93%,2.6077,6.185813,16.166023
17-May-18,34827,34958,34400,462212,2075,160 108 461,0.66%,2.6579,6.304993,15.860445
16-May-18,34600,34902,34112,1339273,5802,463 007 824,1.69%,2.6754,6.346358,15.757068
15-May-18,34024,34034,33031,858091,3140,288 057 494,2.82%,2.7207,6.453797,15.494754
14-May-18,33091,33252,32946,382913,1822,126 736 934,-0.18%,2.7974,6.635762,15.069859
11-May-18,33150,33602,33026,460413,2360,152 853 852,-0.67%,2.7924,6.623952,15.096728
10-May-18,33372,34193,33298,430965,2351,144 599 166,-1.85%,2.7738,6.579887,15.197829
9-May-18,34000,34335,33811,1233881,5202,420 978 977,0.79%,2.7226,6.458353,15.483824
8-May-18,33733,33750,32978,725754,1848,243 307 146,2.29%,2.7441,6.509471,15.36223
7-May-18,32977,33180,32793,177678,1113,58 555 065,0.56%,2.807,6.658702,15.017943
4-May-18,32793,33204,32646,417881,1737,137 650 936,1.15%,2.8228,6.696063,14.934148
3-May-18,32421,33078,32421,736985,3340,240 432 709,-1.75%,2.8552,6.772894,14.764737
2-May-18,33000,33280,32599,1043039,3172,346 863 157,-5.13%,2.8051,6.654061,15.028417
1-May-18,34785,34785,34785,0,0,0,0.00%,2.6611,6.312606,15.841318
30-Apr-18,34785,34886,34552,496526,2111,172 714 491,0.30%,2.6611,6.312606,15.841318
27-Apr-18,34680,34680,34680,0,0,0,0.00%,2.6692,6.331718,15.793502
26-Apr-18,34680,35340,34505,1554289,2872,539 473 913,-1.29%,2.6692,6.331719,15.7935
25-Apr-18,35132,35214,34969,952341,3059,334 374 751,-0.28%,2.6349,6.250256,15.999344
24-Apr-18,35230,35230,34462,428430,1516,149 918 116,2.01%,2.6275,6.23287,16.043974
23-Apr-18,34535,34535,33995,386777,1703,132 869 098,1.75%,2.6804,6.358303,15.727466
20-Apr-18,33942,34090,33666,458181,1999,155 495 476,0.27%,2.7272,6.469389,15.45741
19-Apr-18,33850,34151,33650,622119,2651,211 205 617,0.85%,2.7347,6.486972,15.415513
18-Apr-18,33564,33801,33210,349014,2006,116 989 697,0.14%,2.758,6.542248,15.285267
17-Apr-18,33516,33699,33329,245944,1258,82 415 181,0.30%,2.7619,6.551617,15.263407
16-Apr-18,33417,33625,33339,303918,1778,101 715 804,-0.22%,2.7701,6.571027,15.218322
13-Apr-18,33492,33719,32419,487425,2466,162 760 024,3.73%,2.7639,6.556312,15.252477
12-Apr-18,32287,32449,32041,563257,2179,181 359 635,0.56%,2.867,6.801003,14.703712
11-Apr-18,32107,32815,32107,357440,3079,115 745 038,-2.15%,2.8831,6.839132,14.621739
10-Apr-18,32814,32989,32424,633272,3745,207 367 129,0.59%,2.821,6.691778,14.943712
9-Apr-18,32623,32852,32326,413112,3253,134 875 790,0.35%,2.8375,6.730957,14.856729
6-Apr-18,32509,32614,32039,273637,1806,88 628 510,1.85%,2.8475,6.75456,14.804813
5-Apr-18,31920,31989,31244,326548,1399,103 707 858,2.98%,2.9,6.879198,14.536578
4-Apr-18,30995,31600,30814,689239,4766,214 344 260,-1.63%,2.9865,7.084497,14.115327
3-Apr-18,31508,32131,31271,458648,2652,144 799 822,-2.45%,2.9379,6.969151,14.348951
2-Apr-18,32300,32300,32300,0,0,0,0.00%,2.8659,6.798266,14.709633
30-Mar-18,32300,32300,32300,0,0,0,0.00%,2.8659,6.798266,14.709633
29-Mar-18,32300,32301,31770,328233,2793,105 224 494,1.77%,2.8659,6.798266,14.709633
28-Mar-18,31738,31884,31048,485117,3712,152 739 222,0.22%,2.9166,6.918646,14.453694
27-Mar-18,31669,32155,31569,441779,2716,140 992 661,-0.21%,2.923,6.933721,14.422271
26-Mar-18,31735,31974,31352,709087,4477,225 467 749,-0.03%,2.9169,6.9193,14.452328
23-Mar-18,31744,31931,30930,372008,2301,117 001 736,0.31%,2.9161,6.917339,14.456427
22-Mar-18,31647,32837,31647,610034,3027,196 254 004,-1.88%,2.925,6.938541,14.412252
21-Mar-18,32253,32253,32253,0,0,0,0.00%,2.8701,6.808173,14.688228
20-Mar-18,32253,32599,32088,390258,2519,125 981 738,-0.34%,2.8701,6.808173,14.688229
19-Mar-18,32362,32808,32336,367873,2376,119 636 715,-0.89%,2.8604,6.785242,14.737868
16-Mar-18,32652,32783,32153,409723,1538,133 629 650,1.34%,2.835,6.724979,14.869936
15-Mar-18,32221,32459,31945,1458871,1940,467 030 021,0.48%,2.8729,6.814934,14.673656
14-Mar-18,32067,32300,31879,495975,2233,159 056 324,-0.83%,2.8867,6.847663,14.603523
