Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,11918,11979,11774,1695957,2369,201 769 705,1.25%,0,0,0
1-Jun-18,11771,11771,11413,6478428,6366,754 295 821,2.80%,5.9468,1.546173,64.675824
31-May-18,11450,11500,11242,9962545,5600,1 139 662 056,2.23%,6.1135,1.58952,62.912088
30-May-18,11200,11345,11125,4673060,5563,524 521 105,-0.71%,6.25,1.625,61.538462
29-May-18,11280,11467,11236,3904014,5249,442 119 848,-2.04%,6.2057,1.613475,61.978022
28-May-18,11515,11594,11358,4425169,4512,508 770 462,0.78%,6.079,1.580547,63.269231
25-May-18,11426,11494,11201,6149487,7164,700 051 445,1.30%,6.1264,1.592858,62.78022
24-May-18,11279,11605,11213,6882417,6933,780 492 386,-1.06%,6.2062,1.613618,61.972528
23-May-18,11400,11695,11400,5409104,5811,623 011 683,-3.07%,6.1404,1.596491,62.637363
22-May-18,11761,11814,11510,3783793,4352,443 453 549,1.96%,5.9519,1.547487,64.620879
21-May-18,11535,11808,11509,3505929,4334,408 587 498,-0.38%,6.0685,1.577807,63.379121
18-May-18,11579,11928,11573,5995061,6952,700 221 138,-1.93%,6.0454,1.571811,63.620879
17-May-18,11807,12051,11801,9306047,5086,1 106 319 936,-2.41%,5.9287,1.541458,64.873627
16-May-18,12099,12183,11962,3967822,4830,477 813 267,0.14%,5.7856,1.504257,66.478022
15-May-18,12082,12439,12013,6644706,6768,807 894 382,-3.42%,5.7937,1.506373,66.384616
14-May-18,12510,12644,12301,2110206,3351,263 381 980,-0.16%,5.5955,1.454836,68.736264
11-May-18,12530,12699,12211,4335249,6651,540 534 135,1.39%,5.5866,1.452514,68.846154
10-May-18,12358,12593,12294,5185101,7965,642 869 254,-0.52%,5.6643,1.47273,67.901099
9-May-18,12422,12500,12000,5657529,8480,694 803 413,-0.58%,5.6352,1.465142,68.252748
8-May-18,12494,12884,12390,4058965,4940,509 292 153,-2.77%,5.6027,1.456699,68.648352
7-May-18,12850,12976,12600,3282041,4935,421 621 351,1.83%,5.4475,1.416342,70.604396
4-May-18,12619,12915,12454,5481995,5821,693 074 059,-1.00%,5.5472,1.44227,69.335165
3-May-18,12747,13300,12653,9314240,10317,1 197 370 567,1.13%,5.4915,1.427787,70.038462
2-May-18,12604,12658,12263,6208300,6436,774 856 793,0.64%,5.5538,1.443986,69.252748
1-May-18,12524,12524,12524,0,0,0,0.00%,5.5893,1.45321,68.813179
30-Apr-18,12524,12534,12244,4808745,4818,599 689 256,2.40%,5.5893,1.45321,68.813187
27-Apr-18,12231,12231,12231,0,0,0,0.00%,5.7232,1.488022,67.203307
26-Apr-18,12231,12547,12100,8143371,6717,1 005 181 460,0.19%,5.7232,1.488022,67.203297
25-Apr-18,12208,12364,11951,2517398,3981,306 573 401,-0.51%,5.7339,1.490826,67.076923
24-Apr-18,12270,12379,12120,2808945,3510,344 587 806,0.25%,5.705,1.483293,67.417583
23-Apr-18,12239,12284,11800,5445387,7070,661 438 726,3.09%,5.7194,1.48705,67.247253
20-Apr-18,11872,11950,11704,2178253,3162,258 225 641,0.83%,5.8962,1.533019,65.23077
19-Apr-18,11774,12067,11729,3107579,5311,369 626 141,-1.80%,5.9453,1.545779,64.692308
18-Apr-18,11990,11990,11704,4261919,4094,507 183 969,1.78%,5.8382,1.517932,65.879121
17-Apr-18,11780,11780,11637,2578170,3208,302 070 816,0.68%,5.9423,1.544992,64.725275
16-Apr-18,11700,11787,11522,3591933,3265,419 273 927,0.52%,5.9829,1.555556,64.285715
13-Apr-18,11640,11800,11436,3379756,4724,393 126 684,0.15%,6.0137,1.563574,63.956044
12-Apr-18,11623,11736,11520,4509410,6187,524 981 300,0.69%,6.0225,1.565861,63.862637
11-Apr-18,11543,11862,11543,5915141,4890,689 358 000,-2.18%,6.0643,1.576713,63.423077
10-Apr-18,11800,11858,11606,4121068,4136,484 794 218,0.49%,5.9322,1.542373,64.835165
9-Apr-18,11743,11950,11567,3184538,4270,372 947 024,-0.65%,5.961,1.549859,64.521978
6-Apr-18,11820,12074,11698,5556005,5655,660 812 906,-0.25%,5.9222,1.539763,64.945055
5-Apr-18,11850,11887,11534,4399164,3867,519 543 093,2.97%,5.9072,1.535865,65.10989
4-Apr-18,11508,11668,11063,6974398,7236,792 095 905,-0.57%,6.0827,1.581509,63.230769
