Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,328942,329367,325813,242890,3879,796 059 567,2.83%,0,0,0
1-Jun-18,319895,320474,306097,799172,9132,2 525 282 887,5.72%,0.1813,1.071783,93.302476
31-May-18,302600,307779,302102,2104653,10977,6 383 538 706,0.18%,0.1917,1.13304,88.258113
30-May-18,302044,308770,297345,1422790,13261,4 293 480 701,-2.19%,0.192,1.135126,88.095947
29-May-18,308821,319360,307103,844305,10105,2 626 231 602,-3.65%,0.1878,1.110216,90.072567
28-May-18,320520,324748,318999,401283,6330,1 287 117 850,0.19%,0.181,1.069693,93.484767
25-May-18,319900,322500,317089,742512,8691,2 373 474 411,-0.81%,0.1813,1.071766,93.303934
24-May-18,322500,322500,317415,782842,10167,2 513 494 711,1.42%,0.1798,1.063126,94.062265
23-May-18,318000,321033,317465,777901,9262,2 478 993 994,-0.47%,0.1824,1.07817,92.749768
22-May-18,319500,321103,316000,686002,7448,2 192 552 249,0.47%,0.1815,1.073108,93.187267
21-May-18,318013,324800,317198,630961,6742,2 017 285 321,-0.67%,0.1824,1.078126,92.75356
18-May-18,320165,323380,319250,1208754,8413,3 875 001 144,-0.07%,0.1812,1.070879,93.381226
17-May-18,320399,325379,316742,3138332,13172,10 001 588 984,-1.72%,0.181,1.070097,93.449475
16-May-18,326000,330423,300000,3342424,17884,10 737 349 689,5.16%,0.1779,1.051712,95.083096
15-May-18,310000,317000,310000,1152835,9642,3 601 664 119,-3.94%,0.1871,1.105994,90.416441
14-May-18,322721,323200,317333,548382,6230,1 759 932 619,0.88%,0.1797,1.062398,94.126723
11-May-18,319912,321569,315001,685605,9115,2 182 332 781,0.44%,0.1813,1.071726,93.307434
10-May-18,318508,318835,312001,930667,10353,2 946 084 134,3.54%,0.1821,1.07645,92.897935
9-May-18,307605,313712,304907,1314146,12739,4 066 116 554,0.05%,0.1886,1.114605,89.717901
8-May-18,307449,311000,304273,978710,8746,3 013 200 729,1.30%,0.1886,1.11517,89.672401
7-May-18,303500,303500,299338,557144,6504,1 678 825 067,0.52%,0.1911,1.12968,88.520612
4-May-18,301933,301933,288800,1500221,14765,4 441 855 352,4.88%,0.1921,1.135543,88.063572
3-May-18,287877,297774,285950,1888677,16038,5 490 802 754,-4.45%,0.2015,1.190988,83.963916
2-May-18,301274,310000,298488,1358280,10912,4 111 537 821,-1.53%,0.1925,1.138027,87.871364
1-May-18,305944,305944,305944,0,0,0,0.00%,0.1896,1.120656,89.233449
30-Apr-18,305944,307899,301516,1107743,6918,3 381 742 712,2.15%,0.1896,1.120656,89.233444
27-Apr-18,299500,299500,299500,0,0,0,0.00%,0.1937,1.144768,87.353944
26-Apr-18,299500,299657,290000,969929,9753,2 872 096 257,1.47%,0.1937,1.144768,87.353949
25-Apr-18,295160,300000,294500,1059148,9091,3 138 202 370,-2.47%,0.1965,1.1616,86.088119
24-Apr-18,302625,309624,302625,594359,6590,1 817 504 540,-0.07%,0.1917,1.132947,88.265405
23-Apr-18,302847,304881,300101,559678,7333,1 692 915 453,-0.38%,0.1915,1.132116,88.330155
20-Apr-18,304000,305426,298125,812599,9492,2 459 611 934,0.10%,0.1908,1.127822,88.666446
19-Apr-18,303700,311518,302000,759610,9992,2 327 044 949,-0.34%,0.191,1.128936,88.578945
18-Apr-18,304725,305999,299001,928585,9192,2 818 884 618,1.27%,0.1903,1.125139,88.877904
17-Apr-18,300889,302200,296715,846623,8892,2 539 295 752,-1.02%,0.1928,1.139483,87.759072
16-Apr-18,304000,304784,295802,586316,7008,1 772 732 887,1.50%,0.1908,1.127822,88.666446
13-Apr-18,299500,304500,299115,564389,7676,1 702 190 003,-2.44%,0.1937,1.144768,87.353949
12-Apr-18,307000,308933,296704,1213405,8831,3 688 759 453,2.22%,0.1889,1.116801,89.541443
11-Apr-18,300322,304900,296133,893061,8993,2 690 790 862,-1.53%,0.1931,1.141635,87.593698
10-Apr-18,305000,313000,302720,1046526,12194,3 207 282 962,1.33%,0.1902,1.124125,88.958111
9-Apr-18,300987,302774,297400,1506016,8848,4 522 501 632,0.77%,0.1927,1.139112,87.787656
6-Apr-18,298700,303845,295741,1053570,9856,3 151 986 109,-1.67%,0.1942,1.147834,87.120616
5-Apr-18,303776,304657,296000,1366793,10558,4 128 392 018,2.74%,0.1909,1.128654,88.601112
4-Apr-18,295684,295684,268001,2556951,22588,7 226 659 534,2.60%,0.1962,1.159542,86.240951
3-Apr-18,288200,295062,288200,2308592,16722,6 729 632 963,-0.34%,0.2012,1.189653,84.058124
2-Apr-18,289184,289184,289184,0,0,0,0.00%,0.2006,1.185605,84.345123
30-Mar-18,289184,289184,289184,0,0,0,0.00%,0.2006,1.185605,84.345123
29-Mar-18,289184,297500,287540,2076384,21225,6 069 296 212,-1.37%,0.2006,1.185605,84.345123
28-Mar-18,293193,305500,293193,2064135,22644,6 153 569 410,-6.33%,0.1978,1.169394,85.514412
27-Mar-18,313000,323291,310821,1315399,11482,4 148 130 554,0.00%,0.1853,1.095393,91.291439
26-Mar-18,313000,321843,308865,1133118,12172,3 555 566 524,-0.63%,0.1853,1.095393,91.291439
23-Mar-18,315000,328000,307100,2549050,21518,8 164 200 700,-4.55%,0.1841,1.088438,91.874771
22-Mar-18,330000,353629,312722,5342439,45705,17 555 538 979,-4.59%,0.1758,1.038964,96.24976
21-Mar-18,345884,345884,345884,0,0,0,0.00%,0.1677,0.991251,100.882581
20-Mar-18,345884,346767,340502,1709146,11079,5 898 550 065,1.19%,0.1677,0.991251,100.882581
19-Mar-18,341800,345986,338821,932450,11466,3 184 450 841,0.29%,0.1697,1.003095,99.691418
16-Mar-18,340800,347960,338664,2046292,9333,6 984 206 939,-1.66%,0.1702,1.006039,99.399752
15-Mar-18,346550,358967,343220,2710361,10425,9 480 395 513,-2.05%,0.1674,0.989346,101.076831
14-Mar-18,353800,354613,350516,908806,9656,3 209 306 946,-1.20%,0.1639,0.969073,103.191409
13-Mar-18,358097,360691,352321,1093634,11391,3 904 149 229,0.73%,0.162,0.957444,104.444697
12-Mar-18,355500,361394,355063,875078,11186,3 129 594 116,0.23%,0.1632,0.964439,103.687242
9-Mar-18,354698,354698,345333,724172,7763,2 533 153 333,2.57%,0.1635,0.966619,103.453325
8-Mar-18,345800,355000,345800,1048592,10555,3 666 297 318,-0.58%,0.1677,0.991492,100.858081
7-Mar-18,347800,349949,337005,1178459,11826,4 047 205 117,0.67%,0.1668,0.985791,101.441414
6-Mar-18,345500,346752,336231,1500648,15503,5 143 974 703,4.24%,0.1679,0.992353,100.770582
5-Mar-18,331432,333669,323641,1101847,12127,3 634 088 504,1.93%,0.175,1.034475,96.667425
2-Mar-18,325158,326465,321417,1180474,14871,3 820 022 472,-1.37%,0.1784,1.054435,94.837513
1-Mar-18,329659,336368,327000,1232963,12568,4 079 828 219,0.78%,0.1759,1.040038,96.150302
28-Feb-18,327100,327998,322000,1591874,12724,5 199 429 178,-1.23%,0.1773,1.048175,95.403928
27-Feb-18,331175,333822,326012,1231512,10303,4 070 397 001,-0.25%,0.1751,1.035277,96.592467
26-Feb-18,331999,333745,328858,807523,9375,2 680 391 138,-0.44%,0.1747,1.032708,96.832801
23-Feb-18,333469,337000,330024,1104820,9925,3 694 458 895,-0.10%,0.1739,1.028156,97.261549
22-Feb-18,333800,334166,324001,1147150,12134,3 790 135 449,-0.74%,0.1738,1.027136,97.358091
21-Feb-18,336290,341428,328050,1662947,13544,5 572 667 576,3.93%,0.1725,1.019531,98.084338
20-Feb-18,323583,332033,317499,1389864,10603,4 478 262 107,-1.94%,0.1792,1.059567,94.37814
19-Feb-18,330000,340000,327932,765992,7698,2 545 695 759,-2.52%,0.1758,1.038964,96.24976
16-Feb-18,338546,348914,333925,933546,11493,3 183 127 509,-0.18%,0.1713,1.012737,98.742337
15-Feb-18,339140,343337,324994,1772488,19713,5 968 185 155,6.98%,0.171,1.010963,98.915586
14-Feb-18,316999,319699,310620,1938468,16460,6 146 905 079,1.88%,0.183,1.081574,92.457811
13-Feb-18,311144,312499,305012,1586032,12601,4 918 059 764,2.86%,0.1864,1.101927,90.750107
12-Feb-18,302500,305976,296849,1345267,14294,4 058 485 050,1.82%,0.1917,1.133415,88.228947
9-Feb-18,297100,300586,292527,1215904,14994,3 595 809 346,-1.80%,0.1952,1.154015,86.65395
8-Feb-18,302545,307506,299274,1413873,15118,4 281 839 457,-0.64%,0.1917,1.133246,88.242071
7-Feb-18,304507,314498,300697,1931677,17495,5 921 105 504,-1.91%,0.1905,1.125945,88.81432
6-Feb-18,310451,310992,297668,2575197,24480,7 814 912 965,-0.50%,0.1868,1.104387,90.547982
5-Feb-18,312000,320480,309027,1850066,15831,5 838 047 388,-3.88%,0.1859,1.098904,90.999773
2-Feb-18,324600,337299,318259,1545094,18268,5 033 809 352,-2.02%,0.1787,1.056248,94.674764
1-Feb-18,331305,343376,326000,1562077,15123,5 234 111 159,-2.05%,0.1751,1.034871,96.630384
31-Jan-18,338248,353000,336554,2466868,17349,8 428 125 146,-1.54%,0.1715,1.013629,98.65542
30-Jan-18,343525,357499,340490,1644105,16060,5 707 820 805,-5.10%,0.1688,0.998058,100.194542
29-Jan-18,362000,368718,359129,1341909,13156,4 870 007 465,-1.23%,0.1602,0.947122,105.58307
26-Jan-18,366500,371455,364640,1132895,12430,4 159 777 855,0.47%,0.1583,0.935492,106.895567
25-Jan-18,364800,366000,357013,2403356,14418,8 690 516 234,-1.41%,0.159,0.939852,106.399734
24-Jan-18,370000,377728,366306,819876,9416,3 035 331 115,-1.33%,0.1568,0.926643,107.916397
23-Jan-18,375000,379000,373100,2030328,11812,7 629 584 172,0.50%,0.1547,0.914288,109.374727
22-Jan-18,373134,376714,371805,871206,10113,3 257 126 037,0.36%,0.1554,0.91886,108.830479
19-Jan-18,371781,374994,366514,769031,8090,2 850 783 398,1.58%,0.156,0.922204,108.435854
18-Jan-18,366000,374998,362064,1057125,12074,3 886 871 511,-0.98%,0.1585,0.93677,106.749733
17-Jan-18,369630,371671,367041,1232911,8334,4 559 384 238,0.32%,0.1569,0.927571,107.808481
16-Jan-18,368439,368849,362453,725402,7872,2 663 903 724,2.34%,0.1574,0.930569,107.461107
15-Jan-18,360013,362860,355377,558488,5588,2 006 593 958,-0.38%,0.1611,0.952349,105.003529
12-Jan-18,361374,364500,359966,621626,6267,2 252 640 157,1.45%,0.1605,0.948762,105.400487
11-Jan-18,356206,359044,351371,641431,7923,2 276 035 086,-1.46%,0.1628,0.962527,103.893157
10-Jan-18,361502,364980,358773,670603,7813,2 427 427 455,-0.44%,0.1604,0.948426,105.437821
9-Jan-18,363100,363100,360050,1017695,6435,3 688 332 594,0.94%,0.1597,0.944252,105.903902
8-Jan-18,359703,364343,358289,636556,7170,2 295 360 921,-0.54%,0.1612,0.95317,104.913114
5-Jan-18,361644,363450,356005,788966,6266,2 847 785 504,-0.56%,0.1604,0.948054,105.479237
4-Jan-18,363671,372499,355859,1237641,14046,4 484 929 495,-0.36%,0.1595,0.94277,106.070443
3-Jan-18,365000,366574,355346,1002947,10257,3 626 546 282,1.93%,0.1589,0.939337,106.458068
2-Jan-18,358090,358871,349995,931062,8626,3 296 115 845,3.76%,0.162,0.957463,104.442656
1-Jan-18,345100,345100,345100,0,0,0,0.00%,0.1681,0.993503,100.653918
29-Dec-17,345100,349500,340180,345924,3662,1 191 979 171,0.26%,0.1681,0.993503,100.653915
28-Dec-17,344210,347000,337106,300559,4153,1 029 413 474,0.78%,0.1685,0.996072,100.394333
27-Dec-17,341534,347005,338230,433969,5321,1 484 956 165,-1.05%,0.1698,1.003877,99.613835
26-Dec-17,345142,345142,345142,0,0,0,0.00%,0.168,0.993383,100.666158
25-Dec-17,345142,345142,345142,0,0,0,0.00%,0.168,0.993383,100.666158
22-Dec-17,345142,348499,341674,363101,4123,1 250 976 060,0.02%,0.168,0.993382,100.666165
21-Dec-17,345067,348800,333283,5999682,16071,20 445 486 736,4.53%,0.1681,0.993598,100.644291
20-Dec-17,330110,335813,324000,1738242,15011,5 730 019 479,1.99%,0.1757,1.038617,96.281843
19-Dec-17,323654,332183,320259,1935523,19171,6 311 928 666,-0.11%,0.1792,1.059335,94.398848
18-Dec-17,324000,331400,320122,1590834,13241,5 174 946 660,-2.11%,0.179,1.058204,94.499764
15-Dec-17,331000,341549,330116,3069890,19010,10 238 513 340,-3.09%,0.1752,1.035825,96.541426
14-Dec-17,341549,347500,338534,1297521,12595,4 445 642 207,-1.84%,0.1698,1.003833,99.61821
13-Dec-17,347939,354524,339294,1350049,15326,4 669 009 611,-0.59%,0.1667,0.985397,101.481955
12-Dec-17,350000,358497,346005,1462556,13207,5 143 625 564,-3.42%,0.1657,0.979594,102.083079
11-Dec-17,362400,368500,359013,1375612,14760,4 988 836 036,0.13%,0.16,0.946076,105.699737
8-Dec-17,361920,365900,358500,1289154,12342,4 673 996 561,2.47%,0.1603,0.947331,105.559736
7-Dec-17,353202,355220,349128,1205947,11833,4 251 691 596,2.52%,0.1642,0.970714,103.016993
6-Dec-17,344507,346999,336606,1432750,15831,4 912 281 191,-2.13%,0.1684,0.995213,100.480958
5-Dec-17,352000,356000,345000,1355346,14592,4 742 303 715,-3.03%,0.1648,0.974028,102.666411
4-Dec-17,362997,362997,356023,1299601,13073,4 676 590 814,2.78%,0.1598,0.94452,105.873861
1-Dec-17,353162,366859,353162,2094822,20572,7 476 589 129,-4.23%,0.1642,0.970824,103.005327
30-Nov-17,368771,375000,367000,2373585,15499,8 805 288 680,-3.18%,0.1573,0.929731,107.557941
29-Nov-17,380900,385110,375077,1503382,14780,5 714 020 293,0.77%,0.1523,0.900126,111.095556
28-Nov-17,378000,382793,375589,1357345,14380,5 122 075 569,-0.36%,0.1534,0.664384,150.515457
27-Nov-17,379384,381811,375900,1235388,11927,4 685 082 270,0.87%,0.1529,0.66196,151.06655
24-Nov-17,376100,381141,376100,1152036,13460,4 357 221 465,0.51%,0.1542,0.66774,149.758897
23-Nov-17,374175,391587,373741,1670067,19372,6 347 848 011,-4.06%,0.155,0.671175,148.992383
22-Nov-17,390010,408000,387580,2471374,23533,9 829 591 566,-4.64%,0.1487,0.643925,155.297707
21-Nov-17,409000,414299,405000,3992510,20152,16 357 957 253,2.38%,0.1418,0.614027,162.859317
20-Nov-17,399501,400000,392396,1772728,15999,7 049 866 368,3.90%,0.1452,0.628627,159.076919
17-Nov-17,384500,389651,379302,1615805,17320,6 211 514 795,3.56%,0.1508,0.653152,153.103686
16-Nov-17,371300,374899,366777,1812248,13849,6 731 249 894,1.41%,0.1562,0.676372,147.84759
15-Nov-17,366142,373983,357480,1570312,19198,5 759 317 692,1.95%,0.1584,0.685901,145.793731
14-Nov-17,359150,361718,357580,1267240,11082,4 561 346 140,0.49%,0.1615,0.699254,143.009593
13-Nov-17,357391,360396,356005,842311,8706,3 015 361 324,0.93%,0.1623,0.702695,142.309179
10-Nov-17,354100,361000,354100,943035,10245,3 363 718 922,-0.67%,0.1638,0.709226,140.998739
9-Nov-17,356491,357500,353670,819082,9179,2 914 555 094,0.17%,0.1627,0.704469,141.950809
8-Nov-17,355899,363000,354612,974569,10806,3 485 738 947,-2.03%,0.163,0.705641,141.715081
7-Nov-17,363265,365000,361500,1555077,12346,5 649 613 820,2.57%,0.1597,0.691333,144.648141
6-Nov-17,354154,356500,352607,820417,8350,2 906 291 451,2.06%,0.1638,0.709118,141.020241
3-Nov-17,347000,348392,343700,936666,9378,3 244 316 986,1.12%,0.1671,0.723738,138.171596
2-Nov-17,343146,349990,343146,693335,7469,2 395 383 568,-1.25%,0.169,0.731866,136.636977
1-Nov-17,347479,351259,347064,1238422,12293,4 317 588 230,0.86%,0.1669,0.72274,138.36233
31-Oct-17,344500,348699,343999,1329480,10225,4 591 291 812,-0.17%,0.1684,0.72899,137.176123
30-Oct-17,345100,346397,340020,1419835,11339,4 877 500 446,1.27%,0.1681,0.727722,137.415038
27-Oct-17,340775,342249,337652,1302593,13187,4 437 380 187,1.03%,0.1702,0.736958,135.69287
26-Oct-17,337300,340848,332096,1352500,14561,4 560 264 179,1.32%,0.172,0.744551,134.309163
25-Oct-17,332913,334706,329583,935665,8867,3 107 341 975,1.65%,0.1742,0.754362,132.562307
24-Oct-17,327500,328223,325650,673194,6066,2 202 202 575,0.04%,0.1771,0.766831,130.40691
23-Oct-17,327375,330495,325753,769324,8772,2 517 714 219,-0.71%,0.1772,0.767123,130.357137
20-Oct-17,329700,331500,328200,736361,6424,2 429 806 548,1.29%,0.1759,0.761714,131.282927
19-Oct-17,325500,326687,323000,1498682,11848,4 869 146 393,-0.46%,0.1782,0.773742,129.242059
