Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,28296,28457,27832,243727,1610,68 896 485,2.04%,0,0,0
1-Jun-18,27730,27950,27518,1294254,6047,358 821 094,1.35%,4.634,8.842409,11.309135
31-May-18,27360,27814,27308,1775304,5063,487 659 162,0.59%,4.6966,8.961988,11.158238
30-May-18,27200,27567,26849,1371859,6078,372 075 944,-0.41%,4.7243,9.014706,11.092985
29-May-18,27313,28060,27309,1009132,4878,277 714 127,-2.85%,4.7047,8.97741,11.13907
28-May-18,28113,28611,28000,496018,2473,139 873 678,-0.82%,4.5708,8.721944,11.465334
25-May-18,28345,28431,28007,939614,3639,265 466 739,0.62%,4.5334,8.650556,11.559951
24-May-18,28169,28929,28067,844408,3598,239 061 622,-0.34%,4.5618,8.704604,11.488173
23-May-18,28266,28821,28226,1198645,5749,341 279 287,-1.55%,4.5461,8.674733,11.527732
22-May-18,28711,29280,28501,1042335,4419,301 508 678,0.04%,4.4756,8.540281,11.709217
21-May-18,28700,29177,28203,1342633,5338,386 563 218,-0.86%,4.4774,8.543554,11.704731
18-May-18,28948,29726,28636,1051915,4195,306 297 091,-1.22%,4.439,8.470361,11.805873
17-May-18,29305,29910,29165,1431903,3738,421 537 751,-2.37%,4.3849,8.367173,11.951468
16-May-18,30015,30015,29158,1228340,4541,364 460 245,1.81%,4.2812,8.169249,12.241028
15-May-18,29482,30954,29403,1757230,4962,525 795 857,-4.12%,4.3586,8.316939,12.023654
14-May-18,30750,30880,30122,547226,2477,166 779 616,0.16%,4.1789,7.973984,12.540783
11-May-18,30700,31006,30451,923142,3636,283 221 850,0.00%,4.1857,7.986971,12.520392
10-May-18,30700,31650,30101,1826250,6523,565 583 245,2.27%,4.1857,7.986971,12.520392
9-May-18,30019,30175,29500,1499918,6077,448 588 962,1.76%,4.2806,8.16816,12.242659
8-May-18,29500,29796,29342,1948097,3721,575 392 251,-0.72%,4.3559,8.311864,12.030995
7-May-18,29715,29928,29000,1307680,2599,388 053 032,1.94%,4.3244,8.251725,12.118679
4-May-18,29150,29510,28945,792685,2149,231 416 190,1.04%,4.4082,8.411664,11.888254
3-May-18,28850,29734,28821,1682294,4003,491 745 068,-2.53%,4.4541,8.499133,11.765905
2-May-18,29600,29780,29281,1155430,3586,341 212 653,-0.49%,4.3412,8.283784,12.071778
1-May-18,29747,29747,29747,0,0,0,0.00%,4.3198,8.242848,12.131729
30-Apr-18,29747,29821,28941,1041221,4611,307 792 145,2.66%,4.3198,8.242848,12.131729
27-Apr-18,28975,28975,28975,0,0,0,0.00%,4.4349,8.462467,11.816885
26-Apr-18,28975,29016,28349,1628812,7539,468 146 066,1.58%,4.4349,8.462468,11.816884
25-Apr-18,28524,29303,28303,2515976,6542,723 328 902,-2.90%,4.505,8.59627,11.632953
24-Apr-18,29375,29772,29099,1062146,4944,312 875 942,-0.11%,4.3745,8.347234,11.980016
23-Apr-18,29408,29800,28880,752637,3502,221 571 576,-2.30%,4.3696,8.337867,11.993475
20-Apr-18,30100,30218,29650,833089,2961,250 584 248,-0.10%,4.2691,8.146179,12.275693
19-Apr-18,30129,30499,30005,634103,3819,191 696 253,-0.17%,4.265,8.138338,12.28752
18-Apr-18,30180,30196,29280,986946,3742,295 061 185,2.37%,4.2578,8.124586,12.30832
17-Apr-18,29481,29650,29261,1056098,5116,310 539 208,-0.08%,4.3587,8.317221,12.023246
16-Apr-18,29504,29705,28909,1001971,4704,294 442 497,0.82%,4.3553,8.310738,12.032626
13-Apr-18,29265,29399,28871,946903,3847,276 694 802,0.67%,4.3909,8.378609,11.935155
12-Apr-18,29070,29241,28182,1291249,3649,374 479 713,1.82%,4.4204,8.434813,11.855628
11-Apr-18,28550,28872,28480,894564,3651,256 404 629,-0.52%,4.5009,8.588441,11.643556
10-Apr-18,28700,28809,28375,935274,4212,268 052 839,1.20%,4.4774,8.543554,11.704731
9-Apr-18,28360,28548,28040,799417,3868,226 338 419,0.21%,4.531,8.64598,11.566069
6-Apr-18,28300,28750,27955,1025253,4093,289 498 881,-0.70%,4.5406,8.664311,11.541599
5-Apr-18,28500,28772,27800,1606190,4289,457 898 341,2.60%,4.5088,8.603509,11.623165
4-Apr-18,27779,27989,27059,1826447,7221,501 214 826,-2.53%,4.6258,8.826812,11.329119
3-Apr-18,28500,28966,28000,2214943,11513,632 520 001,-0.19%,4.5088,8.603509,11.623165
2-Apr-18,28554,28554,28554,0,0,0,0.00%,4.5002,8.587238,11.645188
30-Mar-18,28554,28554,28554,0,0,0,0.00%,4.5002,8.587238,11.645188
29-Mar-18,28554,28789,28000,861486,4623,245 723 757,2.71%,4.5002,8.587238,11.645188
28-Mar-18,27800,28335,27500,867868,4956,241 613 044,-2.51%,4.6223,8.820144,11.337684
27-Mar-18,28515,29232,28415,880304,4684,253 244 101,-0.90%,4.5064,8.598983,11.629282
26-Mar-18,28775,29170,28376,1222421,4968,349 602 272,1.17%,4.4657,8.521286,11.735318
23-Mar-18,28442,28894,28224,1172928,4504,335 249 290,-0.47%,4.518,8.621053,11.599511
22-Mar-18,28576,29796,28576,1282807,5224,375 281 507,-2.32%,4.4968,8.580627,11.65416
21-Mar-18,29254,29254,29254,0,0,0,0.00%,4.3926,8.38176,11.930668
20-Mar-18,29254,29699,28905,744402,3087,218 303 367,-0.41%,4.3926,8.38176,11.930669
19-Mar-18,29375,29620,28838,537889,2643,157 556 762,0.83%,4.3745,8.347234,11.980016
16-Mar-18,29134,29957,28957,1512345,3537,441 954 840,-2.10%,4.4107,8.416283,11.881729
15-Mar-18,29759,30000,29276,2445877,4779,731 460 856,1.22%,4.318,8.239524,12.136623
14-Mar-18,29400,30900,29041,1982409,6155,588 560 613,-3.92%,4.3707,8.340136,11.990212
13-Mar-18,30600,31225,30476,2011264,5508,619 017 295,-2.24%,4.1993,8.013072,12.479608
12-Mar-18,31300,31414,31000,958545,5904,299 804 877,1.21%,4.1054,7.833866,12.76509
9-Mar-18,30927,31171,30556,1026177,6115,316 086 962,0.09%,4.1549,7.928347,12.612969
8-Mar-18,30900,31390,30600,1114335,6182,345 963 929,0.32%,4.1586,7.935275,12.601958
7-Mar-18,30800,31250,30400,1170629,5184,361 201 108,0.00%,4.1721,7.961039,12.561175
6-Mar-18,30800,31257,29876,1263916,6817,389 187 274,3.98%,4.1721,7.961039,12.561175
5-Mar-18,29620,30421,29056,1014014,4817,302 575 032,0.75%,4.3383,8.27819,12.079935
