Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,4045,4096,4030,4006040,2314,162 166 172,0.50%,0,0,0
1-Jun-18,4025,4054,4006,28571653,4121,1 150 407 239,-0.35%,3.2758,7.026335,14.23217
31-May-18,4039,4055,4015,6440011,4139,260 218 552,0.37%,3.2644,7.001981,14.281673
30-May-18,4024,4050,3977,9579009,5859,383 987 571,-0.52%,3.2766,7.028082,14.228634
29-May-18,4045,4096,4037,10499771,5676,426 034 662,-1.96%,3.2596,6.991595,14.302889
28-May-18,4126,4197,4072,5660057,3707,233 996 277,0.39%,3.1956,6.854338,14.5893
25-May-18,4110,4162,4100,7298444,3374,301 103 045,0.34%,3.208,6.881022,14.532725
24-May-18,4096,4186,4096,5211361,3346,215 269 932,-1.89%,3.219,6.904541,14.483222
23-May-18,4175,4265,4162,5474322,2946,230 036 208,-2.20%,3.1581,6.773892,14.762561
22-May-18,4269,4284,4202,4144234,2392,176 172 013,0.00%,3.0885,6.624736,15.09494
21-May-18,4269,4276,4216,10012519,6660,425 539 494,1.64%,3.0885,6.624736,15.09494
18-May-18,4200,4248,4186,14055528,8320,592 589 422,-0.21%,3.1393,6.733571,14.85096
17-May-18,4209,4244,4171,16436875,5694,692 709 154,-0.24%,3.1326,6.719173,14.882783
16-May-18,4219,4295,4198,10187694,4462,430 849 741,-1.17%,3.1251,6.703247,14.918143
15-May-18,4269,4309,4242,10389734,4321,444 814 323,-0.21%,3.0885,6.624736,15.09494
14-May-18,4278,4312,4250,4217137,1998,180 328 619,-0.40%,3.082,6.610799,15.126764
11-May-18,4295,4380,4286,13274946,4735,571 123 228,-1.06%,3.0698,6.584633,15.186875
10-May-18,4341,4365,4330,13934384,4980,605 829 147,-0.07%,3.0373,6.514858,15.349528
9-May-18,4344,4416,4336,11790532,5896,513 872 720,-0.30%,3.0352,6.510359,15.360136
8-May-18,4357,4370,4275,7072201,3502,307 759 550,0.55%,3.0262,6.490934,15.406103
7-May-18,4333,4357,4284,5990117,2415,259 328 869,1.50%,3.0429,6.526887,15.32124
4-May-18,4269,4345,4262,7941174,2811,342 001 443,-0.72%,3.0885,6.624736,15.09494
3-May-18,4300,4363,4280,8158774,3972,352 486 681,-2.16%,3.0663,6.576977,15.204554
