Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,1124,1132,1111,2969950,1489,33 423 684,0.54%,0,0,0
1-Jun-18,1118,1118,1110,10398093,2079,115 920 779,1.91%,8.4508,6.240608,16.024079
31-May-18,1097,1120,1093,15923731,1982,175 259 530,-0.81%,8.6126,6.360073,15.72309
30-May-18,1106,1115,1092,7917386,2145,87 307 901,-0.27%,8.5425,6.308318,15.852085
29-May-18,1109,1130,1106,8312889,3054,92 669 534,-1.42%,8.5194,6.291253,15.895084
28-May-18,1125,1132,1108,11437870,2811,128 159 242,0.90%,8.3982,6.201778,16.124409
25-May-18,1115,1115,1091,10932784,2383,121 126 314,0.90%,8.4735,6.257399,15.981081
24-May-18,1105,1106,1088,9258031,2513,101 821 845,1.47%,8.5502,6.314027,15.837753
23-May-18,1089,1109,1087,11152708,2206,121 999 043,-5.22%,8.6758,6.406795,15.608428
22-May-18,1149,1149,1122,9420747,1904,107 559 691,1.86%,8.2228,6.072237,16.468396
21-May-18,1128,1156,1120,7211843,1925,81 542 148,-1.48%,8.3759,6.185284,16.167407
18-May-18,1145,1161,1138,7838363,2239,90 236 784,-0.87%,8.2515,6.09345,16.411065
17-May-18,1155,1164,1152,9414406,1751,108 908 177,-0.43%,8.1801,6.040693,16.554393
16-May-18,1160,1169,1146,8171515,2084,94 500 384,0.35%,8.1448,6.014655,16.626057
15-May-18,1156,1177,1153,10011701,2419,116 155 327,-1.62%,8.173,6.035467,16.568726
14-May-18,1175,1180,1165,38892851,1650,455 472 741,0.43%,8.0409,5.937872,16.841049
11-May-18,1170,1191,1155,19578819,2413,228 219 822,0.17%,8.0752,5.963248,16.769385
10-May-18,1168,1180,1164,7097526,2182,83 121 811,0.52%,8.089,5.973459,16.74072
9-May-18,1162,1177,1157,10323060,3267,120 530 552,-0.60%,8.1308,6.004303,16.654723
8-May-18,1169,1183,1158,9709855,1376,113 391 684,-0.76%,8.0821,5.968349,16.755052
7-May-18,1178,1186,1165,6753162,1113,79 517 988,0.86%,8.0204,5.92275,16.884048
4-May-18,1168,1181,1161,19380562,1664,227 590 521,-0.85%,7.8767,7.157534,13.971292
3-May-18,1178,1199,1170,8082009,2469,95 342 497,-0.84%,7.8098,7.096774,14.090909
2-May-18,1188,1199,1180,13001515,2668,154 129 125,-0.83%,7.7441,7.037037,14.210526
1-May-18,1198,1198,1198,0,0,0,0.00%,7.6795,6.978297,14.330144
30-Apr-18,1198,1217,1183,9062617,2098,108 755 344,1.10%,7.6795,6.978297,14.330144
27-Apr-18,1185,1185,1185,0,0,0,0.00%,7.7637,7.054852,14.174642
26-Apr-18,1185,1192,1175,8024214,1628,95 080 973,0.08%,7.7637,7.054852,14.174641
25-Apr-18,1184,1192,1173,9003850,1929,106 466 194,0.34%,7.7703,7.060811,14.162679
24-Apr-18,1180,1189,1176,5951443,1403,70 427 925,-0.42%,7.7966,7.084746,14.114833
23-Apr-18,1185,1195,1173,9833335,2286,116 254 029,-1.09%,7.7637,7.054852,14.174641
20-Apr-18,1198,1199,1176,6736978,1342,80 566 678,0.08%,7.6795,6.978297,14.330144
19-Apr-18,1197,1200,1188,11486898,2740,137 272 274,0.25%,7.6859,6.984127,14.318182
18-Apr-18,1194,1198,1169,13095877,2591,155 633 293,1.44%,7.7052,7.001675,14.282297
17-Apr-18,1177,1180,1150,13041666,2115,151 593 819,1.90%,7.8165,7.102804,14.078947
16-Apr-18,1155,1168,1145,7964153,1825,91 942 034,-0.35%,7.9654,7.238095,13.815789
13-Apr-18,1159,1168,1145,7498646,1768,86 928 077,0.09%,7.9379,7.213115,13.863636
12-Apr-18,1158,1173,1141,17693207,1357,205 033 216,1.05%,7.9447,7.219344,13.851675
11-Apr-18,1146,1175,1141,13992804,2143,160 742 096,-1.46%,8.0279,7.294939,13.708134
10-Apr-18,1163,1179,1156,13226992,2577,154 065 561,-0.77%,7.9106,7.188306,13.911483
9-Apr-18,1172,1187,1162,11723231,2202,137 725 508,-0.85%,7.8498,7.133106,14.019139
6-Apr-18,1182,1188,1149,8917496,1476,104 817 632,1.90%,7.7834,7.072758,14.138756
5-Apr-18,1160,1171,1147,9307100,1544,108 104 570,1.22%,7.931,7.206897,13.875598
4-Apr-18,1146,1150,1114,11463662,2973,130 135 662,-0.17%,8.0279,7.294939,13.708134
3-Apr-18,1148,1170,1145,12821006,2689,147 839 199,-0.95%,8.0139,7.28223,13.732057
2-Apr-18,1159,1159,1159,0,0,0,0.00%,7.9379,7.213115,13.863636
30-Mar-18,1159,1159,1159,0,0,0,0.00%,7.9379,7.213115,13.863636
29-Mar-18,1159,1175,1150,10048788,1864,116 693 771,-1.11%,7.9379,7.213115,13.863636
28-Mar-18,1172,1173,1140,9304190,3168,107 993 393,0.26%,7.8498,7.133106,14.019139
27-Mar-18,1169,1181,1160,10867547,2698,126 909 151,-0.26%,7.87,7.151411,13.983254
26-Mar-18,1172,1172,1131,10511832,2539,121 435 567,3.26%,7.8498,7.133106,14.019139
23-Mar-18,1135,1174,1118,16423389,2623,185 685 644,-1.73%,8.1057,7.365639,13.576555
22-Mar-18,1155,1188,1152,20271303,2672,235 375 365,-2.20%,7.9654,7.238095,13.815789
