Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,21001,21111,20727,178238,1568,37 287 755,1.54%,0,0,0
1-Jun-18,20682,20812,20400,767632,3125,158 763 773,1.38%,2.4417,6.746446,14.822619
31-May-18,20400,20785,20316,2488760,4853,508 422 062,-0.34%,2.4755,6.839706,14.620512
30-May-18,20470,20717,20301,908068,3631,186 054 282,-0.75%,2.467,6.816317,14.67068
29-May-18,20625,20974,20513,596662,3063,123 210 743,-1.69%,2.4485,6.765091,14.781767
28-May-18,20980,21100,20789,510722,2538,107 057 823,-0.01%,2.4071,6.65062,15.036193
25-May-18,20983,21052,20618,561246,2483,117 135 950,1.29%,2.4067,6.649669,15.038343
24-May-18,20715,21300,20602,1588130,4789,330 058 624,-1.33%,2.4378,6.735699,14.84627
23-May-18,20995,21279,20949,1008361,2920,212 092 769,-1.43%,2.4053,6.645868,15.046943
22-May-18,21300,21375,20672,919781,3384,195 233 056,2.28%,2.3709,6.550704,15.265534
21-May-18,20825,21046,20671,1066099,3566,222 365 632,-0.24%,2.425,6.70012,14.925106
18-May-18,20875,21350,20874,923300,3032,194 195 836,-1.07%,2.4192,6.684072,14.96094
17-May-18,21100,21440,21100,1327156,3230,282 145 290,-1.64%,2.3934,6.612796,15.122196
16-May-18,21451,21725,21217,921341,3458,197 556 423,-0.11%,2.3542,6.504592,15.373755
15-May-18,21475,21949,21410,1111453,3587,239 957 328,-2.32%,2.3516,6.497322,15.390955
14-May-18,21985,22147,21771,640102,2199,140 357 337,0.18%,2.297,6.3466,15.756468
11-May-18,21945,22100,21568,1037933,4202,226 272 452,0.42%,2.3012,6.358168,15.7278
10-May-18,21854,22134,21763,1025952,4352,225 223 654,-0.51%,2.3108,6.384644,15.662582
9-May-18,21967,22200,21887,985209,5214,216 998 647,-0.15%,2.2989,6.3518,15.743568
8-May-18,22000,22445,21868,1193494,2594,263 349 579,-0.90%,2.2955,6.342273,15.767219
7-May-18,22199,22490,22084,508037,2742,112 950 628,0.24%,2.2749,6.285418,15.90984
4-May-18,22145,22339,22100,634753,2093,140 849 577,0.25%,2.2804,6.300745,15.871139
3-May-18,22089,22640,22000,818860,3345,182 424 475,-2.43%,2.2862,6.316719,15.831004
2-May-18,22640,22709,22250,2347926,3546,528 736 405,0.75%,2.2306,6.162986,16.225901
1-May-18,22471,22471,22471,0,0,0,0.00%,2.2473,6.209336,16.104782
30-Apr-18,22471,22650,22238,2112518,4305,473 351 086,0.90%,2.2473,6.209336,16.10478
27-Apr-18,22270,22270,22270,0,0,0,0.00%,2.2676,6.265379,15.960726
26-Apr-18,22270,22374,22000,1799380,3425,400 837 124,0.51%,2.2676,6.265379,15.960725
25-Apr-18,22158,22624,22025,1118045,3583,248 649 513,-1.52%,2.2791,6.297048,15.880456
24-Apr-18,22500,22875,22428,630289,1905,142 587 190,-0.79%,2.2444,6.201333,16.125564
23-Apr-18,22680,22879,22505,660959,2449,149 913 345,-1.07%,2.2266,6.152116,16.254569
20-Apr-18,22925,23120,22800,880483,3261,202 302 413,0.27%,2.2028,6.086369,16.430158
19-Apr-18,22863,23297,22828,780788,3071,180 076 834,-1.38%,2.2088,6.102874,16.385724
18-Apr-18,23182,23182,22226,1390047,4128,317 020 047,2.19%,2.1784,6.018894,16.614348
17-Apr-18,22685,22685,22100,809768,2445,181 234 073,2.27%,2.2261,6.15076,16.258152
16-Apr-18,22181,22377,22118,725116,1891,160 985 718,-0.22%,2.2767,6.290519,15.89694
13-Apr-18,22230,22361,21926,780127,2331,172 914 928,-0.35%,2.2717,6.276653,15.932058
12-Apr-18,22308,22496,21897,1206124,3131,267 873 120,2.35%,2.2638,6.254707,15.98796
11-Apr-18,21795,22695,21795,1454701,3496,320 156 967,-3.13%,2.317,6.401927,15.620297
10-Apr-18,22500,22583,22240,1059413,2496,237 846 233,0.56%,2.2444,6.201333,16.125564
9-Apr-18,22374,22537,22000,718614,3141,159 875 724,0.50%,2.2571,6.236256,16.035261
6-Apr-18,22262,22476,22100,695505,2303,154 904 241,-0.62%,2.2684,6.267631,15.954992
5-Apr-18,22400,22739,21900,883448,2172,198 706 375,1.79%,2.2545,6.229018,16.053895
4-Apr-18,22007,22100,21400,2013605,4445,438 578 223,-0.42%,2.2947,6.340255,15.772235
3-Apr-18,22100,22284,21900,1827331,3231,404 041 152,-0.45%,2.2851,6.313575,15.838888
2-Apr-18,22200,22200,22200,0,0,0,0.00%,2.2748,6.285135,15.910557
30-Mar-18,22200,22200,22200,0,0,0,0.00%,2.2748,6.285135,15.910557
29-Mar-18,22200,22398,21600,1719038,5019,380 989 216,2.24%,2.2748,6.285135,15.910557
28-Mar-18,21713,22119,21604,1182323,4785,257 724 918,-1.89%,2.3258,6.426104,15.561528
27-Mar-18,22131,22937,22090,825414,3475,184 725 472,-1.64%,2.2819,6.304731,15.861105
26-Mar-18,22500,22681,22222,1014214,2518,227 856 777,-0.10%,2.2444,6.201333,16.125564
23-Mar-18,22522,22850,22300,1352325,3874,304 802 231,-1.02%,2.2423,6.195276,16.141332
22-Mar-18,22755,23488,22755,948553,3480,218 216 946,-1.44%,2.2193,6.131839,16.308321
21-Mar-18,23087,23087,23087,0,0,0,0.00%,2.1874,6.043661,16.546262
20-Mar-18,23087,23200,22822,1161870,2598,267 798 995,0.34%,2.1874,6.043661,16.546262
19-Mar-18,23009,23197,22550,1111717,3471,253 841 764,1.83%,2.1948,6.064149,16.49036
16-Mar-18,22596,22865,22513,2048507,3407,463 874 479,-1.56%,2.2349,6.174987,16.194367
15-Mar-18,22955,23479,22851,3456960,2632,792 485 897,-0.93%,2.2,6.078414,16.451659
14-Mar-18,23170,23622,23070,764296,2732,177 606 636,-1.89%,2.1364,6.411308,15.597442
13-Mar-18,23617,23820,23363,1337402,3101,315 122 086,0.65%,2.0959,6.289961,15.898351
12-Mar-18,23464,24000,23226,1975132,4426,466 730 991,-1.00%,2.1096,6.330975,15.795355
9-Mar-18,23700,24000,23533,1155338,3051,273 752 991,-0.95%,2.0886,6.267932,15.954224
8-Mar-18,23928,24197,23824,779600,3543,186 639 952,0.36%,2.0687,6.208208,16.107708
7-Mar-18,23842,24200,23576,1083929,4277,257 983 767,-0.66%,2.0762,6.230601,16.049815
6-Mar-18,24000,24139,23575,1144438,5089,273 923 353,1.82%,2.0625,6.189583,16.156176
5-Mar-18,23570,23650,23228,1207387,4598,283 903 486,0.18%,2.1001,6.302503,15.866712
2-Mar-18,23527,24000,23378,1213502,5838,285 535 339,-1.77%,2.104,6.314022,15.837765
1-Mar-18,23950,24073,23704,1268630,5662,303 811 058,-0.83%,2.0668,6.202505,16.122518
28-Feb-18,24150,24350,23848,1681103,5730,405 543 520,-0.82%,2.0497,6.151139,16.257152
27-Feb-18,24350,24487,23950,990319,3235,240 802 691,2.14%,2.0329,6.100616,16.391787
26-Feb-18,23839,24700,23839,789074,4168,190 577 209,-1.93%,2.0764,6.231386,16.047795
23-Feb-18,24307,24354,23097,1083302,3842,258 465 462,4.66%,2.0365,6.111408,16.362841
22-Feb-18,23225,23507,22915,750470,3550,173 558 259,-0.72%,2.1313,6.396125,15.634467
21-Feb-18,23394,23500,22600,1336791,4411,309 576 738,2.16%,2.1159,6.349919,15.748233
20-Feb-18,22899,22928,22500,599810,3122,136 455 742,-0.17%,2.1617,6.487183,15.415012
19-Feb-18,22939,23249,22512,697850,2341,160 392 342,0.39%,2.1579,6.475871,15.441939
16-Feb-18,22850,23997,22737,1571273,4622,365 631 611,-4.19%,2.1663,6.501094,15.382026
15-Feb-18,23850,24133,22954,1874354,6478,446 941 737,3.86%,2.0755,6.228512,16.0552
14-Feb-18,22963,22963,22150,1341603,4106,303 856 270,2.51%,2.1556,6.469102,15.458095
13-Feb-18,22400,22691,22220,1349348,5529,303 512 026,0.52%,2.2098,6.631696,15.079098
12-Feb-18,22285,22538,21626,1214194,5892,270 114 534,3.05%,2.2212,6.665919,15.001683
9-Feb-18,21626,22194,21554,1416941,6445,308 153 116,-2.41%,2.2889,6.869047,14.558061
8-Feb-18,22160,22613,22103,896052,5756,199 253 422,-2.00%,2.2338,6.70352,14.917536
7-Feb-18,22613,22775,21825,1126575,4755,251 894 063,3.34%,2.189,6.56923,15.222484
6-Feb-18,21882,22300,21655,2021176,6848,441 544 637,-2.85%,2.2621,6.788685,14.730394
5-Feb-18,22524,23498,22524,1386006,7185,316 317 386,-3.16%,2.1977,6.595187,15.162572
2-Feb-18,23259,23832,23062,753723,3356,175 430 489,-2.28%,2.1282,6.386775,15.657354
1-Feb-18,23801,24199,23079,934932,2697,223 183 124,0.74%,2.0797,6.241334,16.022215
31-Jan-18,23625,23850,23203,1279278,2993,302 197 899,0.22%,2.0952,6.287831,15.903736
30-Jan-18,23574,23844,23248,824384,2425,194 386 031,-1.14%,2.0998,6.301434,15.869404
29-Jan-18,23845,24400,23687,2336831,2934,561 940 790,-2.27%,2.0759,6.229818,16.051834
26-Jan-18,24400,24799,24207,1447036,3196,354 186 339,-0.25%,2.0287,6.088115,16.425446
25-Jan-18,24460,24650,24189,1202564,3415,294 349 174,1.12%,2.0237,6.073181,16.465836
24-Jan-18,24189,24380,23800,2121619,3036,513 724 222,1.38%,2.0464,6.141221,16.283406
23-Jan-18,23860,23942,23250,1436922,4037,341 919 702,2.30%,2.0746,6.225901,16.061932
22-Jan-18,23323,23600,23260,1177038,3857,274 896 757,-0.67%,2.1224,6.369249,15.700438
19-Jan-18,23481,23899,23360,638580,2689,149 958 199,-0.57%,2.1081,6.326392,15.806799
18-Jan-18,23616,23772,23122,2292664,5627,537 593 973,1.38%,2.096,6.290227,15.897678
17-Jan-18,23295,23443,22967,1197949,2739,278 754 312,0.49%,2.1249,6.376905,15.681589
16-Jan-18,23181,23313,22823,1136278,2929,262 442 347,1.23%,2.1354,6.408265,15.604847
15-Jan-18,22900,23193,22668,544706,1483,124 865 707,0.55%,2.1616,6.4869,15.415685
12-Jan-18,22774,23064,22645,730114,2444,166 756 169,-0.05%,2.1735,6.522789,15.330865
11-Jan-18,22786,23370,22786,744741,2503,170 948 082,-1.74%,2.1724,6.519354,15.338943
10-Jan-18,23190,23498,22967,780134,2867,180 651 550,0.15%,2.1345,6.405778,15.610905
9-Jan-18,23155,23438,23000,599244,1654,139 006 456,-0.13%,2.1378,6.415461,15.587344
8-Jan-18,23185,23330,22850,611932,2402,141 781 584,0.64%,2.135,6.40716,15.60754
5-Jan-18,23038,23208,22638,784864,2273,180 765 771,-0.70%,2.1486,6.448042,15.508583
4-Jan-18,23200,23205,22750,2008068,5319,463 377 109,1.12%,2.1336,6.403017,15.617637
3-Jan-18,22942,23651,22616,966458,2888,220 348 495,-3.00%,2.1576,6.475024,15.443958
2-Jan-18,23651,23740,23325,885606,3037,209 243 457,0.22%,2.0929,6.280918,15.921239
1-Jan-18,23600,23600,23600,0,0,0,0.00%,2.0975,6.294491,15.886908
29-Dec-17,23600,23627,22615,425057,1330,99 799 515,1.72%,2.0975,6.294492,15.886907
28-Dec-17,23200,23496,23132,255920,1149,59 481 321,-0.43%,2.1336,6.403017,15.617637
27-Dec-17,23300,23401,22615,498298,1696,115 836 269,2.18%,2.1245,6.375536,15.684955
26-Dec-17,22803,22803,22803,0,0,0,0.00%,2.1708,6.514493,15.350389
25-Dec-17,22803,22803,22803,0,0,0,0.00%,2.1708,6.514493,15.350389
22-Dec-17,22803,23075,22675,273779,983,62 540 154,-1.02%,2.1708,6.514494,15.350387
21-Dec-17,23038,23398,22531,5257323,2688,1 215 763 409,-1.12%,2.1486,6.448042,15.508583
20-Dec-17,23300,23682,23020,3507708,6708,822 367 259,-1.33%,2.1245,6.375536,15.684955
19-Dec-17,23615,23924,22104,8464828,12088,1 994 690 764,4.49%,2.0961,6.290493,15.897004
18-Dec-17,22600,22620,21501,2657834,5559,592 116 608,3.76%,2.1903,6.573009,15.213733
15-Dec-17,21780,21780,20965,2588773,5402,559 574 342,1.63%,2.2727,6.820478,14.66173
14-Dec-17,21430,21500,20501,1598331,4301,338 411 614,3.85%,2.3098,6.931871,14.426119
13-Dec-17,20635,20880,20301,990172,3132,204 832 905,0.49%,2.3988,7.198934,13.890946
12-Dec-17,20534,20989,20312,1149537,3407,235 607 615,-1.60%,2.4106,7.234343,13.822955
11-Dec-17,20867,21473,20643,811719,2889,169 227 714,-1.60%,2.3722,7.118896,14.047122
8-Dec-17,21207,21421,20988,1482517,4296,313 365 848,-1.02%,2.3341,7.004763,14.276001
7-Dec-17,21425,21641,21011,1682411,3205,360 180 127,-0.35%,2.3104,6.933489,14.422753
6-Dec-17,21500,21630,21006,1727634,4944,371 356 035,0.89%,2.3023,6.909302,14.473241
5-Dec-17,21310,21453,21131,1484658,4834,316 047 140,0.00%,2.3229,6.970906,14.345338
4-Dec-17,21310,21565,21085,850017,2340,180 481 024,-0.41%,2.3229,6.970906,14.345338
1-Dec-17,21398,21565,21250,1280353,7088,274 295 489,-0.01%,2.3133,6.942238,14.404578
30-Nov-17,21400,21561,21188,2420536,4952,518 397 055,0.63%,2.3131,6.941589,14.405924
29-Nov-17,21265,21383,20926,1960384,5755,415 832 732,1.50%,2.3278,6.985657,14.315045
28-Nov-17,20950,20951,19950,2028901,5926,418 676 525,5.01%,2.3628,7.090692,14.102996
27-Nov-17,19950,19989,19681,1270846,3443,252 916 006,0.22%,2.4812,7.446115,13.429822
24-Nov-17,19907,20245,19820,1340110,5004,267 070 050,-1.22%,2.4866,7.462199,13.400875
23-Nov-17,20153,20491,20107,1539362,4326,310 884 797,-0.95%,2.4562,7.371111,13.566476
22-Nov-17,20347,20590,20162,1570567,6470,318 947 095,0.36%,2.4328,7.300831,13.697072
21-Nov-17,20275,20750,20200,1108495,3483,225 603 832,-1.34%,2.4414,7.326757,13.648603
20-Nov-17,20550,21182,20442,1755135,4988,361 502 130,-1.81%,2.4088,7.22871,13.833726
17-Nov-17,20929,21030,20500,2704950,7118,562 579 171,2.34%,2.3651,7.097807,14.088859
16-Nov-17,20450,20740,20339,2297000,5549,469 668 914,0.20%,2.4205,7.264059,13.766409
15-Nov-17,20410,20800,20366,1475080,4876,302 635 737,-1.99%,2.4253,7.278295,13.739482
14-Nov-17,20825,21190,20805,1362277,3547,284 821 719,-0.88%,2.377,7.133253,14.018849
13-Nov-17,21010,21265,20973,883596,2513,186 097 255,-0.65%,2.356,7.070443,14.143386
10-Nov-17,21147,21239,20956,1151993,4100,243 373 511,0.70%,2.3408,7.024637,14.235611
9-Nov-17,21000,21233,20921,788411,2466,165 777 669,-0.36%,2.3571,7.07381,14.136654
8-Nov-17,21075,21148,20750,1350976,3360,283 545 030,1.11%,2.3488,7.048636,14.187142
7-Nov-17,20844,21180,20789,8382052,4238,1 759 611 114,-0.74%,2.3748,7.126751,14.031639
6-Nov-17,21000,21251,20950,1198329,3879,252 835 559,-1.41%,2.3571,7.07381,14.136654
3-Nov-17,21300,21542,21247,1000062,2483,213 700 853,-0.72%,2.3239,6.974178,14.338607
2-Nov-17,21455,21573,21353,884032,1779,190 004 794,0.70%,2.3072,6.923794,14.442949
1-Nov-17,21306,21725,21306,1589865,5378,341 320 439,-0.44%,2.3233,6.972214,14.342646
31-Oct-17,21400,21627,21240,949317,2658,202 848 049,-0.36%,2.3131,6.941589,14.405924
30-Oct-17,21477,21644,21374,719502,1966,154 728 747,0.00%,2.3048,6.916702,14.457758
27-Oct-17,21478,21630,20925,1260486,4074,267 588 861,1.31%,2.3047,6.91638,14.458432
26-Oct-17,21200,21647,21181,1362443,3549,289 814 522,-1.23%,2.3349,7.007075,14.271289
25-Oct-17,21465,21900,21422,806913,2106,174 345 486,-1.08%,2.3061,6.920568,14.44968
