Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,11700,11752,11687,914950,1284,107 171 087,0.64%,0,0,0
1-Jun-18,11626,11750,11603,3847409,1971,449 088 246,-0.30%,2.0532,2.730174,36.627706
31-May-18,11661,11727,11559,3852982,2765,449 547 883,0.96%,2.047,2.721979,36.737973
30-May-18,11550,11664,11500,5096197,4399,590 839 884,-0.27%,2.0667,2.748139,36.388268
29-May-18,11581,11734,11500,4157979,3034,483 677 886,-0.76%,2.0611,2.740782,36.485933
28-May-18,11670,11798,11640,2339095,2536,273 602 624,0.02%,2.0454,2.71988,36.766328
25-May-18,11668,11744,11587,2848399,2986,332 612 676,0.88%,2.0458,2.720346,36.760027
24-May-18,11566,11720,11550,4635041,3751,538 855 012,-0.41%,2.0638,2.744337,36.438676
23-May-18,11614,12000,11565,3840435,3411,447 069 689,-1.23%,2.0553,2.732995,36.5899
22-May-18,11759,11821,11697,5224746,3555,614 599 117,-1.52%,2.0299,2.699294,37.046722
21-May-18,11940,12173,11778,3145133,3372,376 317 498,0.35%,1.9992,2.658375,37.616962
18-May-18,11898,12005,11383,19048171,11384,2 246 978 325,-3.70%,2.0062,2.667759,37.484641
17-May-18,12355,12395,12012,3012511,2713,370 566 397,1.44%,1.9661,3.115338,32.099247
16-May-18,12180,12250,12114,3868057,2388,471 784 463,-0.43%,1.9943,3.160099,31.644583
15-May-18,12232,12286,12040,5509972,3234,670 810 778,1.92%,1.9859,3.146664,31.779683
14-May-18,12002,12102,11822,1913209,1945,229 926 013,1.52%,2.0239,3.206966,31.182125
11-May-18,11822,11897,11657,4133712,2774,487 573 771,-1.54%,2.0547,3.255794,30.714471
10-May-18,12007,12105,11875,3668569,4222,441 381 116,-0.36%,2.0231,3.20563,31.195116
9-May-18,12050,12183,12047,8722287,4342,1 056 256 080,0.02%,2.0159,3.194191,31.306833
8-May-18,12047,12047,11885,2970144,1801,355 828 482,0.79%,2.0164,3.194986,31.299039
7-May-18,11952,12000,11902,2737582,2294,326 984 959,0.03%,2.0324,3.220382,31.052221
4-May-18,11948,12057,11903,3555102,2110,426 191 844,-0.43%,2.0331,3.22146,31.041829
3-May-18,12000,12103,11925,4071297,3934,489 094 103,-0.80%,2.0243,3.2075,31.176929
2-May-18,12097,12150,11913,4870924,2659,586 888 082,1.76%,2.008,3.181781,31.428943
1-May-18,11888,11888,11888,0,0,0,0.00%,2.0433,3.237719,30.885942
30-Apr-18,11888,11896,11750,2001593,1907,237 371 757,0.56%,2.0433,3.237719,30.885944
27-Apr-18,11822,11822,11822,0,0,0,0.00%,2.0547,3.255794,30.714474
26-Apr-18,11822,11870,11686,2065068,2290,243 631 911,0.19%,2.0547,3.255794,30.714471
25-Apr-18,11800,11849,11650,4113591,2749,483 191 537,0.54%,2.0586,3.261864,30.657314
24-Apr-18,11737,11765,11610,4654078,2078,545 471 387,1.10%,2.0696,3.279373,30.493635
23-Apr-18,11609,11678,11503,2740787,2542,318 007 340,0.92%,2.0924,3.315531,30.161081
20-Apr-18,11503,11559,11427,1996803,2516,229 270 439,0.35%,2.1117,3.346084,29.885685
19-Apr-18,11463,11718,11463,2768341,3048,319 960 047,-1.27%,2.1191,3.35776,29.781762
18-Apr-18,11611,11719,11601,3893257,3231,453 318 783,0.09%,2.0921,3.31496,30.166277
17-Apr-18,11601,11670,11541,4969138,2397,577 658 059,0.49%,2.0939,3.317817,30.140296
16-Apr-18,11545,11626,11476,3244834,3298,375 220 519,0.65%,2.104,3.333911,29.994804
13-Apr-18,11471,11505,11272,3367936,3088,384 759 228,2.02%,2.1176,3.355418,29.802546
12-Apr-18,11244,11292,11100,4035789,3022,452 730 477,0.39%,2.1604,3.423159,29.212783
11-Apr-18,11200,11252,11130,3893594,2948,436 060 109,-0.20%,2.1688,3.436607,29.098467
10-Apr-18,11223,11340,11029,4471844,3405,502 832 172,1.83%,2.1644,3.429564,29.158223
9-Apr-18,11021,11048,10798,3174560,2508,349 248 094,2.12%,2.2041,3.492424,28.633411
6-Apr-18,10792,10870,10725,2635493,2465,284 869 049,1.16%,2.2508,3.566531,28.038452
5-Apr-18,10668,10732,10624,2953138,1454,314 557 596,0.90%,2.277,3.607987,27.71629
