Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,7568,7586,7445,790294,2267,59 540 319,1.99%,0,0,0
1-Jun-18,7420,7420,7248,2612542,4538,192 352 611,2.16%,4.6092,7.80593,12.810773
31-May-18,7263,7343,7180,3867234,4183,280 769 957,1.03%,4.7088,7.974666,12.53971
30-May-18,7189,7355,7176,2647260,5416,191 672 159,0.17%,4.7573,8.056753,12.411948
29-May-18,7177,7336,7159,2489685,5300,179 604 130,-1.89%,4.7652,8.070224,12.391229
28-May-18,7315,7381,7205,917520,2508,66 763 174,0.19%,4.6753,7.917977,12.629489
25-May-18,7301,7338,7026,1767139,3862,127 852 233,2.40%,4.6843,7.93316,12.605318
24-May-18,7130,7242,7011,3564463,4612,253 862 640,0.45%,4.7966,8.123422,12.310083
23-May-18,7098,7196,7062,1929093,3270,137 724 682,-1.88%,4.8183,8.160045,12.254834
22-May-18,7234,7234,7010,1392099,2166,100 082 848,2.90%,4.7277,8.006635,12.489641
21-May-18,7030,7218,7010,2257402,4248,160 653 777,-1.54%,4.8649,8.238976,12.137431
18-May-18,7140,7400,7121,2231484,4202,161 906 804,-1.87%,4.7899,8.112045,12.327348
17-May-18,7276,7412,7276,1657352,2456,121 457 276,-2.62%,4.7004,7.960418,12.562155
16-May-18,7472,7499,7364,1864058,3856,138 631 342,1.65%,4.5771,7.751606,12.900552
15-May-18,7351,7666,7330,2509774,4188,187 215 403,-4.50%,4.6524,7.8792,12.691644
14-May-18,7697,7799,7576,1319924,2753,101 064 114,-0.16%,4.4433,7.52501,13.289019
11-May-18,7709,7781,7543,1668139,3353,127 851 151,1.13%,4.4364,7.513296,13.309738
10-May-18,7623,7730,7586,1999096,4372,152 914 830,0.30%,4.4864,7.598059,13.161257
9-May-18,7600,7660,7535,1428497,4156,108 599 881,0.20%,4.5,7.621053,13.121547
8-May-18,7585,7700,7499,1746716,2636,132 475 394,-1.06%,4.5089,7.636124,13.095649
7-May-18,7666,7756,7585,872466,1881,67 056 057,0.70%,4.4613,7.55544,13.235497
4-May-18,7613,7717,7580,1324336,2508,101 249 279,0.53%,4.4923,7.608039,13.143992
3-May-18,7573,7858,7573,1868229,3224,143 685 197,-3.57%,4.516,7.648224,13.074931
2-May-18,7853,7882,7731,1844424,2314,144 142 564,0.19%,4.355,7.375525,13.558356
1-May-18,7838,7838,7838,0,0,0,0.00%,4.3634,7.38964,13.532459
30-Apr-18,7838,7896,7665,1483059,2475,115 637 950,1.86%,4.3634,7.38964,13.532459
27-Apr-18,7695,7695,7695,0,0,0,0.00%,4.4444,7.526966,13.285566
26-Apr-18,7695,7747,7530,2511010,2834,192 497 717,1.77%,4.4444,7.526966,13.285566
25-Apr-18,7561,7750,7477,1725773,2623,130 919 625,-1.68%,4.5232,7.660362,13.054213
24-Apr-18,7690,7820,7684,807501,1340,62 377 752,-0.70%,4.4473,7.53186,13.276934
23-Apr-18,7744,8029,7680,1680818,2430,130 714 641,-3.55%,4.4163,7.479339,13.370166
20-Apr-18,8029,8051,7864,2190930,3299,175 125 620,0.87%,4.2596,7.21385,13.862224
19-Apr-18,7960,8029,7880,2076389,2989,165 350 059,0.30%,4.2965,7.276382,13.743094
18-Apr-18,7936,7936,7694,2506421,3367,196 224 822,2.33%,4.3095,7.298387,13.701657
17-Apr-18,7755,7799,7649,1839884,3192,142 069 170,0.12%,4.4101,7.46873,13.389157
16-Apr-18,7746,7840,7630,1263438,2085,97 796 981,0.47%,4.4152,7.477408,13.373619
13-Apr-18,7710,7803,7626,1939065,3198,149 794 691,-1.22%,4.4358,7.512322,13.311464
12-Apr-18,7805,7879,7560,3314203,4125,257 465 369,2.56%,4.3818,7.420884,13.475483
11-Apr-18,7610,7895,7595,1252668,2383,96 003 308,-1.81%,4.4941,7.611038,13.138812
