Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,8012,8031,7821,1684272,3160,133 747 773,2.69%,0,0,0
1-Jun-18,7802,7840,7606,5040063,5202,390 430 513,2.59%,3.717,6.233017,16.043595
31-May-18,7605,7672,7379,31293790,9572,2 378 597 413,3.43%,3.8133,6.394477,15.638495
30-May-18,7353,7600,7344,8533089,11237,637 732 977,-2.34%,3.944,6.613627,15.120296
29-May-18,7529,7694,7485,5691118,8721,429 390 153,-1.25%,3.8518,6.459025,15.482213
28-May-18,7624,7800,7595,2421081,5229,185 424 432,-0.65%,3.8038,6.378541,15.677565
25-May-18,7674,7737,7499,6821933,8967,522 964 280,2.63%,3.779,6.336982,15.780382
24-May-18,7477,7775,7470,7451093,9468,561 903 565,-2.50%,3.8786,6.503945,15.375283
23-May-18,7669,7859,7666,6678810,7798,518 025 746,-2.09%,3.7815,6.341114,15.770101
22-May-18,7833,7902,7607,6044991,6645,471 100 221,2.65%,3.7023,6.208349,16.107341
21-May-18,7631,7689,7485,6148702,6993,468 483 405,1.75%,3.8003,6.37269,15.69196
18-May-18,7500,7756,7442,9152103,8611,694 842 423,-1.76%,3.8667,6.484,15.422579
17-May-18,7634,7792,7603,6431794,6401,493 030 499,-2.38%,3.7988,6.370186,15.698129
16-May-18,7820,7927,7720,4998378,6328,391 459 785,-0.70%,3.7084,6.21867,16.080609
15-May-18,7875,8066,7802,19804724,11946,1 569 275 063,0.14%,3.6825,6.175238,16.193708
14-May-18,7864,7963,7806,2526955,3053,198 763 949,-0.62%,3.6877,6.183876,16.171088
11-May-18,7913,7967,7798,4007810,5485,315 303 679,0.96%,3.6649,6.145583,16.271849
10-May-18,7838,7861,7749,5272116,6787,411 885 535,1.20%,3.6999,6.204389,16.117623
9-May-18,7745,7840,7684,3543237,6177,275 531 473,0.35%,3.7444,6.27889,15.926383
8-May-18,7718,7985,7669,8948641,5781,697 177 631,-2.30%,3.7575,6.300855,15.870862
7-May-18,7900,7998,7815,3352866,4227,265 133 520,0.79%,3.6709,6.155696,16.245116
4-May-18,7838,7945,7777,5257924,5870,411 875 083,0.28%,3.6999,6.204389,16.117623
3-May-18,7816,8100,7771,6812736,7655,540 673 662,-3.51%,3.7103,6.221853,16.072383
2-May-18,8100,8180,7892,8059006,8933,651 660 515,2.26%,3.5802,6.003704,16.656385
1-May-18,7921,7921,7921,0,0,0,0.00%,3.6612,6.139376,16.2883
30-Apr-18,7921,7980,7715,5281688,5197,417 510 448,1.94%,3.6612,6.139376,16.288299
27-Apr-18,7770,7770,7770,0,0,0,0.00%,3.7323,6.258687,15.977792
26-Apr-18,7770,7901,7716,4898346,6197,382 260 567,0.65%,3.7323,6.258687,15.977792
25-Apr-18,7720,8004,7720,8794061,9699,689 103 032,-3.64%,3.7565,6.299223,15.874974
24-Apr-18,8012,8094,7904,8841036,5845,707 541 937,-0.29%,3.6196,6.069646,16.475427
23-Apr-18,8035,8197,7976,3704884,3844,297 687 656,-1.63%,3.6092,6.052271,16.522723
20-Apr-18,8168,8274,8155,4076543,5088,334 667 542,-0.35%,3.5504,5.953722,16.796216
19-Apr-18,8197,8283,8157,7161439,7229,588 442 567,0.45%,3.5379,5.932658,16.85585
18-Apr-18,8160,8206,8051,6320158,6100,514 289 166,0.59%,3.5539,5.959559,16.779766
17-Apr-18,8112,8145,8014,4181808,4999,337 783 990,1.02%,3.575,5.994822,16.681061
16-Apr-18,8030,8122,8001,4499199,4368,363 458 122,-0.56%,3.6115,6.05604,16.512441
13-Apr-18,8075,8178,7980,4696368,4407,379 513 757,-0.31%,3.5913,6.022291,16.604976
12-Apr-18,8100,8193,8085,4154731,4230,338 041 505,-0.25%,3.5802,6.003704,16.656385
11-Apr-18,8120,8190,8040,4924313,5528,400 228 118,0.11%,3.5714,5.988916,16.697512
10-Apr-18,8111,8140,8000,5469014,6068,441 265 764,1.32%,3.5754,5.995562,16.679005
9-Apr-18,8005,8073,7841,9301769,9654,738 734 550,0.44%,3.6227,6.074953,16.461032
6-Apr-18,7970,8069,7923,7379647,7963,590 894 241,-0.38%,3.6386,6.101631,16.38906
5-Apr-18,8000,8121,7850,12800779,10664,1 029 281 558,2.97%,3.625,6.07875,16.450751
4-Apr-18,7769,8047,7589,14017745,13087,1 084 029 084,-5.96%,3.7328,6.259493,15.975735
3-Apr-18,8261,8536,8261,9278478,10121,778 327 172,-3.15%,3.5105,5.886697,16.987456
2-Apr-18,8530,8530,8530,0,0,0,0.00%,3.3998,5.701055,17.540613
30-Mar-18,8530,8530,8530,0,0,0,0.00%,3.3998,5.701055,17.540613
29-Mar-18,8530,8589,8406,15870650,10780,1 348 269 656,2.07%,3.3998,5.701055,17.540613
28-Mar-18,8357,8702,8357,23151051,15827,1 964 137 876,-8.78%,3.4701,5.819074,17.184865
27-Mar-18,9161,9300,9080,4268062,4813,391 088 216,-0.30%,3.1656,5.308372,18.838166
26-Mar-18,9189,9227,9027,2928219,4208,267 637 169,1.33%,3.1559,5.292197,18.895743
23-Mar-18,9068,9200,8994,3907263,4711,354 801 865,-1.52%,3.1981,5.362814,18.646926
22-Mar-18,9208,9539,9208,7589086,6424,710 541 780,-1.34%,3.1494,5.281277,18.934814
21-Mar-18,9333,9333,9333,0,0,0,0.00%,3.1073,5.210543,19.191858
20-Mar-18,9333,9550,9257,4203055,6297,392 875 710,-0.89%,3.1073,5.210543,19.191857
19-Mar-18,9417,9511,9201,8945082,4960,841 910 555,1.63%,3.0795,5.164065,19.36459
16-Mar-18,9266,9419,9061,7036625,3325,652 515 594,1.23%,3.1297,5.248219,19.054082
15-Mar-18,9153,9345,9140,11156096,5401,1 032 976 360,-0.92%,3.1684,5.313012,18.821715
14-Mar-18,9238,9330,9128,3530580,4666,325 178 812,-0.93%,3.1392,5.264126,18.996504
13-Mar-18,9325,9495,9254,5173076,5608,484 795 057,-0.37%,3.1099,5.215013,19.175406
12-Mar-18,9360,9534,9359,4418920,5917,416 765 429,0.01%,3.0983,5.195513,19.247378
9-Mar-18,9359,9450,9230,2777930,3839,259 399 336,-0.58%,3.0986,5.196068,19.245322
8-Mar-18,9414,9649,9353,4776585,6372,452 916 346,-0.89%,3.0805,5.165711,19.358421
7-Mar-18,9499,9637,9438,6427021,7867,611 677 962,-1.26%,2.8213,4.639436,21.554345
6-Mar-18,9620,9849,9367,6414606,9048,617 289 582,2.95%,2.7859,4.581081,21.828909
5-Mar-18,9344,9545,9310,4452007,6083,419 578 992,-0.90%,2.8682,4.716396,21.202632
2-Mar-18,9429,9467,9181,4064373,7140,379 936 315,1.33%,2.8423,4.673878,21.395507
1-Mar-18,9305,9324,8950,3603041,6408,331 979 245,1.97%,2.8802,4.736163,21.114137
28-Feb-18,9125,9235,8875,4670797,5696,427 216 649,-1.66%,2.937,4.829589,20.705695
27-Feb-18,9279,9379,9233,4037532,5066,375 644 595,-0.40%,2.8882,4.749434,21.05514
26-Feb-18,9316,9460,9271,4786820,6170,448 018 625,0.22%,2.8768,4.730571,21.139097
23-Feb-18,9296,9467,9230,5785464,6703,541 808 968,0.22%,2.883,4.740749,21.093715
22-Feb-18,9276,9468,9182,3548569,5748,329 453 517,-1.84%,2.8892,4.75097,21.048332
21-Feb-18,9450,9550,9134,7369243,7420,685 749 025,0.12%,2.836,4.663492,21.443159
20-Feb-18,9439,9543,9220,2920222,4289,273 892 806,-1.02%,2.8393,4.668927,21.418198
19-Feb-18,9536,9585,9342,4601480,4421,436 382 144,-0.36%,2.8104,4.621435,21.638303
16-Feb-18,9570,9700,9442,5994713,6924,572 112 368,-0.31%,2.8004,4.605016,21.715453
15-Feb-18,9600,9766,9082,8305837,9336,791 355 256,7.26%,2.7917,4.590625,21.783526
14-Feb-18,8950,9096,8830,5610204,7760,501 568 836,0.56%,2.9944,4.924022,20.3086
13-Feb-18,8900,9084,8881,5260238,6515,470 468 054,-0.44%,3.0112,4.951685,20.195144
12-Feb-18,8939,8965,8791,8537286,9733,759 150 750,1.58%,2.9981,4.930082,20.28364
9-Feb-18,8800,8975,8715,10227405,11873,902 681 696,-2.76%,3.0455,5.007955,19.968232
8-Feb-18,9050,9214,8998,6765582,9378,616 976 939,-1.09%,2.9613,4.869613,20.535512
7-Feb-18,9150,9285,8701,7173625,10893,650 170 004,4.55%,2.929,4.816393,20.762423
6-Feb-18,8752,8752,8400,7043775,9631,606 294 609,-1.27%,3.0622,5.03542,19.859315
5-Feb-18,8865,8887,8541,10084517,8590,881 497 637,-0.34%,3.0231,4.971235,20.115725
2-Feb-18,8895,9039,8756,6591941,5783,584 726 922,-0.83%,3.0129,4.954469,20.183799
1-Feb-18,8969,9029,8620,5330947,5555,476 807 900,1.69%,2.9881,4.913591,20.351713
31-Jan-18,8820,8859,8393,9986006,7873,873 006 877,3.64%,3.0385,4.996599,20.013615
30-Jan-18,8510,8700,8407,6942845,6132,590 411 174,-1.62%,3.1492,5.178613,19.310188
29-Jan-18,8650,9200,8590,7219912,8331,631 621 496,-4.42%,3.0983,5.094798,19.627865
26-Jan-18,9050,9335,8975,6332397,7330,577 047 377,-1.41%,2.9613,4.869613,20.535512
25-Jan-18,9179,9338,9103,7443085,7254,685 593 323,-0.55%,2.9197,4.801177,20.828228
24-Jan-18,9230,9242,8901,8314425,5126,764 688 146,2.33%,2.9036,4.774648,20.943953
23-Jan-18,9020,9133,8748,3865294,4608,347 764 317,3.33%,2.9712,4.885809,20.467438
22-Jan-18,8729,9005,8678,4725955,5367,416 049 212,-0.43%,3.0702,5.048688,19.807125
19-Jan-18,8767,9022,8661,3807052,5018,334 688 467,-2.84%,3.0569,5.026805,19.893352
18-Jan-18,9023,9075,8660,7430747,8565,665 634 120,3.23%,2.9702,4.884185,20.474246
17-Jan-18,8741,8828,8361,4480329,4795,389 361 161,2.53%,3.066,5.041757,19.834354
16-Jan-18,8525,8628,8350,4301053,4526,365 989 745,1.34%,3.1437,5.169501,19.344225
15-Jan-18,8412,8459,8100,2869803,3045,240 134 736,3.85%,3.1859,5.238944,19.087815
12-Jan-18,8100,8350,8087,2096428,2677,170 516 396,-0.88%,3.3086,5.440741,18.37985
11-Jan-18,8172,8365,8099,4491584,4208,367 750 400,-1.30%,3.2795,5.392805,18.543227
10-Jan-18,8280,8300,8060,2947654,4787,241 678 957,0.94%,3.2367,5.322464,18.788291
9-Jan-18,8203,8450,8140,4014814,3847,329 727 281,-1.75%,3.2671,5.372425,18.613569
8-Jan-18,8349,8387,8170,3060648,3808,253 939 036,1.67%,3.21,5.278476,18.94486
5-Jan-18,8212,8266,8146,3211419,3698,263 491 652,0.76%,3.2635,5.366537,18.633991
4-Jan-18,8150,8290,8055,4931715,6339,401 809 993,-1.81%,3.2883,5.407362,18.493306
3-Jan-18,8300,8497,8006,4906918,6387,402 480 734,-1.43%,3.2289,5.309639,18.833674
2-Jan-18,8420,8700,8420,3392338,3209,288 468 431,-3.22%,3.1829,5.233967,19.105968
1-Jan-18,8700,8700,8700,0,0,0,0.00%,3.0805,5.065517,19.741322
29-Dec-17,8700,8737,8355,1568885,1593,135 045 324,1.69%,3.0805,5.065517,19.741321
28-Dec-17,8555,8740,8480,1846936,2662,157 641 854,0.54%,3.1327,5.151373,19.412299
27-Dec-17,8509,8515,8150,3406584,3757,288 127 556,-0.28%,3.1496,5.179222,19.307919
26-Dec-17,8533,8533,8533,0,0,0,0.00%,3.1407,5.164655,19.362378
25-Dec-17,8533,8533,8533,0,0,0,0.00%,3.1407,5.164655,19.362378
22-Dec-17,8533,8875,8265,2314020,2410,195 040 756,1.58%,3.1407,5.164655,19.362378
