Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,8469,8532,8378,242088,1235,20 508 826,1.33%,0,0,0
1-Jun-18,8358,8573,8270,1040984,2858,87 927 489,0.42%,2.579,9.531706,10.491301
31-May-18,8323,8341,8204,5629076,3675,467 316 677,0.35%,2.5898,9.571789,10.447368
30-May-18,8294,8345,8069,1564201,3858,128 599 482,1.39%,2.5989,9.605257,10.410966
29-May-18,8180,8294,8131,1859952,3418,152 685 683,-0.49%,2.6351,9.73912,10.267868
28-May-18,8220,8370,8187,1312622,2530,108 288 367,0.07%,2.6223,9.691727,10.318078
25-May-18,8214,8397,8209,1370428,3152,113 356 956,-1.81%,2.6242,9.698807,10.310547
24-May-18,8365,8649,8326,1977341,4305,166 840 966,-2.44%,2.5768,9.52373,10.500088
23-May-18,8574,8840,8574,2250754,4574,195 235 445,-3.60%,2.514,9.291579,10.762433
22-May-18,8894,8908,8698,1426479,2886,126 330 533,-0.07%,2.4235,8.957275,11.16411
21-May-18,8900,8980,8820,1293254,2875,115 013 979,-0.58%,2.4219,8.951236,11.171642
18-May-18,8952,9030,8804,996924,2364,88 919 046,0.58%,2.4078,8.89924,11.236914
17-May-18,8900,9036,8776,2522694,3603,224 868 840,0.00%,2.4219,8.951236,11.171642
16-May-18,8900,8900,8675,1634586,3266,144 012 621,0.56%,2.4219,8.951236,11.171642
15-May-18,8850,8976,8102,5201121,6071,451 149 535,5.99%,2.4356,9.001808,11.10888
14-May-18,8350,8390,7715,2128230,3506,176 301 624,3.52%,2.5814,9.540838,10.481259
11-May-18,8066,8220,7986,1529126,3171,123 210 933,-1.48%,2.6723,10.045748,9.954461
10-May-18,8187,8460,8020,2528016,4654,207 498 192,-1.83%,2.6328,9.897276,10.10379
9-May-18,8340,8498,8238,2163339,4348,181 031 123,0.55%,2.5845,9.715707,10.292611
8-May-18,8294,8398,7949,2878676,3707,238 647 123,1.64%,2.5989,9.769592,10.235841
7-May-18,8160,8284,8058,634528,1422,51 677 314,0.07%,2.6415,9.930025,10.070469
4-May-18,8154,8219,8005,1777989,2238,144 907 641,0.67%,2.6435,9.937331,10.063064
3-May-18,8100,8130,7976,2665331,4032,215 446 858,0.20%,2.6611,10.00358,9.996421
2-May-18,8084,8108,7735,2025249,2868,161 813 103,1.18%,2.6664,10.02338,9.976675
1-May-18,7990,7990,7990,0,0,0,0.00%,2.6977,10.1413,9.860669
30-Apr-18,7990,8288,7868,2044629,3219,163 777 668,-1.89%,2.6977,10.141302,9.860667
27-Apr-18,8144,8144,8144,0,0,0,0.00%,2.6467,9.949533,10.050723
26-Apr-18,8144,8247,7887,2319304,4139,188 808 055,1.80%,2.6467,9.949533,10.050723
25-Apr-18,8000,8360,7964,1256569,1898,101 541 281,-3.02%,2.6944,10.128625,9.873008
24-Apr-18,8249,8263,8015,1660977,2003,136 174 998,2.61%,2.613,9.822888,10.180306
23-Apr-18,8039,8166,7932,1201724,2111,97 146 745,0.49%,2.6813,10.079487,9.921139
20-Apr-18,8000,8100,7894,1003315,1602,80 193 857,0.00%,2.6944,10.128625,9.873008
