Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,48475,48700,48132,553664,2832,268 491 824,0.67%,0,0,0
1-Jun-18,48150,48199,46100,1870594,9039,891 444 735,5.25%,2.6584,7.829699,12.771883
31-May-18,45750,46136,45244,2247026,4922,1 028 117 474,1.58%,2.7978,8.240437,12.135279
30-May-18,45037,45989,44368,1142078,6364,513 518 261,-1.01%,2.8421,8.370895,11.946154
29-May-18,45498,45768,44711,980506,5790,443 567 428,0.11%,2.8133,8.286079,12.068435
28-May-18,45450,45998,44725,1258475,6987,568 587 361,-2.05%,2.8163,8.294829,12.055703
25-May-18,46401,47078,46281,1596844,8053,743 416 287,-1.89%,2.7586,8.124825,12.307958
24-May-18,47295,47410,46303,1653068,6786,776 081 931,2.41%,2.7064,7.971244,12.545093
23-May-18,46180,48141,46180,1844399,7568,866 798 754,-4.64%,2.7718,8.163707,12.249337
22-May-18,48425,48475,47476,967263,4675,466 077 909,0.39%,2.6433,7.785235,12.844828
21-May-18,48235,49274,48014,1848678,7280,898 659 576,-0.34%,2.6537,7.815901,12.79443
18-May-18,48400,48400,47550,1809049,6652,870 818 123,1.09%,2.6446,7.789256,12.838196
17-May-18,47876,48474,46650,2725463,9095,1 303 989 827,1.86%,2.6736,7.874509,12.699204
16-May-18,47000,47499,46532,1136022,6505,532 779 207,-0.42%,2.7234,8.021277,12.466844
15-May-18,47200,47576,45721,2349795,9038,1 100 561 384,2.64%,2.7119,7.987288,12.519894
14-May-18,45984,45984,44991,978764,4387,447 210 919,1.42%,2.7836,8.198504,12.197347
11-May-18,45340,45703,44766,1116149,6293,505 204 882,0.15%,2.8231,8.314954,12.026525
10-May-18,45273,45967,45211,1955117,9554,891 097 596,1.45%,2.8273,8.327259,12.008753
9-May-18,44627,46148,44507,1763080,9815,793 436 713,-0.01%,2.8682,8.447801,11.837401
8-May-18,44631,45199,44224,886699,3628,395 510 725,-1.48%,2.868,8.447044,11.838462
7-May-18,45300,45700,44745,1171747,5304,530 222 100,1.73%,2.8256,8.322296,12.015915
4-May-18,44531,45050,44232,1188363,4242,531 092 171,-0.15%,2.8744,8.466012,11.811936
3-May-18,44600,45200,44378,1555128,4816,696 021 861,-1.43%,2.87,8.452915,11.830239
2-May-18,45247,45247,44101,1215447,6826,547 386 606,1.00%,2.8289,8.332044,12.001857
1-May-18,44797,44797,44797,0,0,0,0.00%,2.8573,8.415742,11.882494
30-Apr-18,44797,45100,42350,1952461,7528,874 008 145,1.08%,2.8573,8.415742,11.882493
27-Apr-18,44320,44320,44320,0,0,0,0.00%,2.8881,8.506318,11.755968
26-Apr-18,44320,44465,42608,2479587,6438,1 093 903 488,3.48%,2.8881,8.506318,11.755968
25-Apr-18,42830,43236,42500,1005997,4113,431 872 124,-1.27%,2.9886,8.802241,11.360743
24-Apr-18,43380,43644,43000,1681375,2982,728 370 033,0.18%,2.9507,8.690641,11.506631
23-Apr-18,43300,43672,43085,852699,3571,369 750 430,0.70%,2.9561,8.706697,11.485411
