Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,23899,23990,23423,271073,1900,64 518 823,3.13%,0,0,0
1-Jun-18,23173,23632,23011,662048,3061,154 115 905,-1.00%,2.2828,4.264014,23.45208
31-May-18,23407,23771,23232,2482465,4309,582 505 436,0.78%,2.26,4.221387,23.688898
30-May-18,23226,23295,22350,2341525,5297,539 953 100,3.12%,2.2776,4.254284,23.505718
29-May-18,22524,23285,22524,782296,3443,178 142 615,-3.55%,2.3486,4.386876,22.795264
28-May-18,23354,23397,22923,419110,2007,97 241 816,1.11%,2.2651,4.230967,23.63526
25-May-18,23097,23328,22701,837517,3148,193 514 842,1.74%,2.2903,4.278045,23.375164
24-May-18,22701,23466,22592,1352971,4709,310 998 525,-1.51%,2.3303,4.352672,22.974395
23-May-18,23050,23700,22989,1253607,4769,290 248 601,-2.87%,2.295,4.286768,23.327598
22-May-18,23730,23952,23212,598513,2155,141 976 052,1.51%,2.2292,4.163928,24.015788
21-May-18,23378,23888,23378,1353066,3064,318 655 620,-1.15%,2.2628,4.226623,23.659549
18-May-18,23651,24234,23467,1706293,4726,406 085 321,0.42%,2.2367,4.177836,23.935836
17-May-18,23552,23916,23412,708720,2130,167 594 853,-1.78%,2.2461,4.195397,23.835644
16-May-18,23980,24350,23722,1142791,3138,273 653 733,0.10%,2.206,4.120517,24.268799
15-May-18,23957,24171,23834,1309265,3363,314 274 542,-0.76%,2.2081,4.124473,24.245522
14-May-18,24140,24395,23899,604113,2298,145 667 971,-0.52%,2.1914,4.093206,24.430726
11-May-18,24266,24341,23528,1763483,6490,422 785 908,1.79%,2.18,4.071953,24.558243
10-May-18,23840,24439,23423,2309064,6993,549 518 676,-1.96%,2.219,4.144715,24.127113
9-May-18,24317,24500,24210,1076229,4855,262 567 932,-0.09%,2.1754,4.063412,24.609857
8-May-18,24340,25100,24062,1152341,3065,280 431 735,0.16%,2.1734,4.059573,24.633134
7-May-18,24300,24900,24200,828112,2819,202 496 392,-0.34%,2.177,4.066255,24.592653
4-May-18,24382,24900,24311,985284,2718,241 971 566,-0.42%,2.1696,4.05258,24.67564
3-May-18,24485,25072,24352,1109536,4269,274 328 074,-2.27%,2.1605,4.035532,24.779881
2-May-18,25054,25161,24595,1333715,3806,333 911 196,0.62%,2.1114,3.943881,25.355733
1-May-18,24900,24900,24900,0,0,0,0.00%,2.1245,3.968273,25.199879
30-Apr-18,24900,25247,24450,1062774,3738,265 042 300,1.63%,2.1245,3.968273,25.199879
27-Apr-18,24500,24500,24500,0,0,0,0.00%,2.1592,4.033061,24.795063
26-Apr-18,24500,24750,24327,838051,3288,205 678 889,-0.10%,2.1592,4.033061,24.795061
25-Apr-18,24525,24630,24126,1002348,3009,245 142 407,0.26%,2.157,4.02895,24.820362
24-Apr-18,24461,24700,24353,584412,2319,143 249 033,0.34%,2.1626,4.039491,24.755592
23-Apr-18,24378,24800,24040,1341642,5144,326 341 947,-1.30%,2.17,4.053245,24.671592
20-Apr-18,24700,24947,24360,1327297,4331,327 468 978,-0.89%,2.1417,4.000405,24.99747
19-Apr-18,24921,25002,24654,1262696,3747,314 454 321,0.78%,2.1227,3.964929,25.221132
18-Apr-18,24729,24938,24430,1287255,2795,317 760 177,-0.29%,2.1392,3.995714,25.026819
17-Apr-18,24800,24915,24258,1232197,3087,302 472 674,1.72%,2.1331,3.984274,25.098674
16-Apr-18,24380,24580,24121,1643697,3347,400 821 027,0.33%,2.1698,4.052912,24.673616
13-Apr-18,24300,24482,24042,1804648,3809,438 507 351,0.23%,2.177,4.066255,24.592653
12-Apr-18,24244,24686,24200,1089086,2916,265 517 898,-0.84%,2.182,4.075648,24.535978
11-Apr-18,24450,24605,24185,1039017,3307,254 156 250,-0.41%,2.1636,4.041309,24.744459
10-Apr-18,24550,24813,24268,1477508,4469,362 330 410,-0.15%,2.1548,4.024847,24.845663
9-Apr-18,24586,24740,24109,1365926,5124,334 029 841,1.18%,2.1516,4.018954,24.882097
6-Apr-18,24300,25200,24131,2093003,4444,508 886 596,-1.74%,2.177,4.066255,24.592653
5-Apr-18,24730,25000,24581,2315843,6533,573 529 402,1.37%,2.1391,3.995552,25.027831
4-Apr-18,24396,25200,23650,2402326,6662,580 216 064,-2.57%,2.1684,4.050254,24.689809
3-Apr-18,25039,25539,24820,1464528,4241,369 231 331,-0.87%,2.1127,3.946244,25.340553
2-Apr-18,25258,25258,25258,0,0,0,0.00%,2.0944,3.912028,25.562189
30-Mar-18,25258,25258,25258,0,0,0,0.00%,2.0944,3.912028,25.562189
29-Mar-18,25258,25507,24673,1115257,3969,281 795 514,2.75%,2.0944,3.912028,25.56219
28-Mar-18,24581,25027,24208,1479665,5829,363 103 145,-1.96%,2.1521,4.019771,24.877037
27-Mar-18,25073,25990,25010,1300588,3712,328 431 710,-1.67%,2.1098,3.940893,25.374962
26-Mar-18,25500,25819,25010,1093396,4217,277 390 378,-0.18%,2.0745,3.874902,25.807105
23-Mar-18,25547,25696,25050,1133259,3187,287 567 608,-0.11%,2.0707,3.867773,25.854671
22-Mar-18,25575,26449,25575,1390393,4685,361 360 019,-1.63%,2.0684,3.863539,25.883008
21-Mar-18,26000,26000,26000,0,0,0,0.00%,2.0346,3.800385,26.313124
20-Mar-18,26000,26021,25353,1974378,3256,509 905 032,2.10%,2.0346,3.800385,26.313126
19-Mar-18,25465,25501,25050,887244,3578,224 739 372,0.85%,2.0774,3.880228,25.771683
16-Mar-18,25250,25501,25170,2472706,3449,625 978 022,-0.39%,2.095,3.913267,25.554094
15-Mar-18,25350,26275,25350,3989323,3663,1 017 597 709,-1.52%,2.0868,3.89783,25.655298
14-Mar-18,25741,26498,25695,1350867,4165,349 681 351,-2.68%,2.0551,3.838623,26.051007
13-Mar-18,26451,26995,26162,982840,4083,260 637 855,-1.08%,1.9999,3.735587,26.769558
12-Mar-18,26741,27353,26603,871359,3067,233 981 053,0.22%,1.9782,3.695075,27.06305
9-Mar-18,26681,27371,26536,1028890,3704,274 437 882,-0.87%,1.9827,3.703384,27.002328
8-Mar-18,26914,28190,26800,3650796,5530,1 001 078 432,-2.31%,1.9655,3.671323,27.238134
7-Mar-18,27550,27612,26810,1302222,5197,355 824 281,0.24%,1.9201,3.58657,27.881793
6-Mar-18,27485,27937,26751,1770893,6112,487 665 506,2.78%,1.9247,3.595052,27.816011
5-Mar-18,26742,27015,26401,896431,3694,239 863 851,0.29%,1.9782,3.694937,27.064062
2-Mar-18,26666,27419,25708,2513092,9917,674 611 985,1.36%,1.9838,3.705468,26.987147
1-Mar-18,26307,26546,25550,2167925,6120,564 840 256,1.20%,2.0109,3.756035,26.623824
28-Feb-18,25996,26397,25401,2558418,6757,664 990 245,-1.32%,2.0349,3.800969,26.309078
27-Feb-18,26343,27445,26000,2718350,7630,726 367 303,2.11%,2.0081,3.750902,26.660257
26-Feb-18,25799,26300,25600,2091596,6971,542 917 016,-0.27%,2.0505,3.829993,26.109705
23-Feb-18,25870,26000,24500,1723069,6062,438 732 858,3.90%,1.9482,3.95516,25.283425
