Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,20051,20496,19495,184098,1715,36 641 789,3.71%,0,0,0
1-Jun-18,19334,19514,19169,463345,2562,89 445 138,0.31%,3.6464,5.26637,18.988411
31-May-18,19275,20026,18629,1486647,4377,289 321 791,0.07%,3.6576,5.28249,18.930466
30-May-18,19262,19488,18700,780980,3655,150 319 382,2.87%,3.6601,5.286055,18.917698
29-May-18,18725,19108,18600,378826,2164,71 147 674,-1.96%,3.765,0,0
28-May-18,19100,19243,18628,258422,1681,49 002 740,0.61%,3.534,4.986911,20.052493
25-May-18,18985,19105,18338,408391,2459,77 038 491,2.68%,3.5554,5.017119,19.931759
24-May-18,18490,18975,18330,617769,2621,114 721 343,-2.07%,3.6506,5.151433,19.412074
23-May-18,18880,19040,18504,477148,2608,89 653 401,-0.40%,3.5752,5.045021,19.821522
22-May-18,18955,19300,18550,635168,2676,120 692 251,1.01%,3.5611,5.025059,19.900262
21-May-18,18766,19808,18601,726847,3032,136 932 087,-1.22%,3.5969,5.075669,19.701837
18-May-18,18998,19563,18998,708216,2995,135 947 001,-0.66%,3.553,5.013686,19.945407
17-May-18,19124,20000,19075,577862,2545,112 207 184,-4.28%,3.5296,4.980653,20.07769
16-May-18,19979,20100,19568,646023,2681,128 291 329,0.63%,3.3785,4.767506,20.975328
15-May-18,19853,20396,19853,516693,2383,103 473 718,-2.28%,3.4,4.797764,20.843045
14-May-18,20316,20453,20141,625916,1671,127 037 667,0.40%,3.3225,4.688423,21.329134
11-May-18,20236,20557,19657,631936,3186,127 799 648,1.56%,3.3356,4.706958,21.245144
10-May-18,19925,20194,19671,754483,3730,150 166 743,-0.76%,3.3877,4.780427,20.918635
9-May-18,20078,20230,19875,455998,3327,91 852 009,0.81%,3.3619,4.743998,21.079265
8-May-18,19916,20441,19802,423507,1336,84 670 841,-1.70%,3.3892,4.782587,20.909186
7-May-18,20261,20495,20197,220094,1185,44 665 020,-0.68%,3.3315,4.70115,21.271391
4-May-18,20400,20986,20250,352236,1506,72 533 145,0.05%,3.3088,4.669118,21.417323
3-May-18,20390,20987,20333,501511,3002,103 355 995,-2.90%,3.3104,4.671408,21.406824
2-May-18,21000,21250,20821,277173,1327,58 121 508,-0.69%,3.2143,4.535714,22.047244
1-May-18,21145,21145,21145,0,0,0,0.00%,3.1922,4.504611,22.199475
30-Apr-18,21145,21399,20621,441415,2247,93 388 195,1.35%,3.1922,4.504611,22.199475
27-Apr-18,20864,20864,20864,0,0,0,0.00%,3.2352,4.56528,21.904462
26-Apr-18,20864,21024,20641,321409,1807,67 005 870,-0.32%,3.2352,4.56528,21.904462
25-Apr-18,20930,20963,20417,271672,1553,56 539 489,1.23%,3.225,4.550884,21.973753
24-Apr-18,20676,20910,20609,176285,1128,36 499 401,-0.91%,3.2647,4.60679,21.707087
23-Apr-18,20865,20865,20585,342519,1755,70 963 121,-0.23%,3.2351,4.565061,21.905512
20-Apr-18,20914,21063,20451,457275,1708,95 436 392,0.96%,3.2275,4.554365,21.956955
19-Apr-18,20715,21072,20481,364460,1963,75 939 133,0.07%,3.2585,4.598117,21.748032
18-Apr-18,20700,20919,20391,628121,2155,129 642 460,-0.21%,3.2609,4.601449,21.732283
17-Apr-18,20744,20744,20251,421297,1870,86 336 683,2.34%,3.254,4.591689,21.778478
16-Apr-18,20270,20706,19853,339124,1624,68 564 656,0.42%,3.33,4.699063,21.28084
13-Apr-18,20186,20463,19621,407070,1852,81 839 790,0.88%,3.3439,4.718617,21.192651
12-Apr-18,20009,20997,19803,300071,1434,60 132 990,-0.97%,3.3735,4.760358,21.006824
11-Apr-18,20206,20701,20057,389338,1971,79 016 046,0.20%,3.3406,4.713946,21.213648
10-Apr-18,20165,20212,19948,430532,1773,86 609 135,0.83%,3.3474,4.723531,21.170604
9-Apr-18,20000,20152,19758,1164174,2345,232 896 986,0.00%,3.375,4.7625,20.997375
6-Apr-18,20000,20222,19102,907021,1945,180 348 590,-0.50%,3.375,4.7625,20.997375
5-Apr-18,20100,20260,19931,757495,2089,152 234 191,-0.04%,3.3582,4.738806,21.102362
4-Apr-18,20108,20302,19250,639052,3217,126 424 817,0.04%,3.3569,4.736921,21.110761
3-Apr-18,20099,20674,19972,957655,3466,193 992 438,-0.78%,3.3584,4.739042,21.101312
2-Apr-18,20256,20256,20256,0,0,0,0.00%,3.3323,4.702311,21.266139
30-Mar-18,20256,20256,20256,0,0,0,0.00%,3.3323,4.702311,21.266139
29-Mar-18,20256,20676,20003,1172694,3277,238 749 224,0.60%,3.3323,4.70231,21.266142
28-Mar-18,20135,20662,20005,792069,3811,159 818 020,-1.14%,3.3524,4.730569,21.139108
27-Mar-18,20367,21100,20252,567837,2491,117 181 459,-2.07%,3.3142,4.676683,21.382677
26-Mar-18,20798,21018,20346,675678,2384,139 894 526,-0.49%,3.2455,4.579767,21.835171
23-Mar-18,20900,20986,20521,412614,1389,85 872 756,-0.48%,3.2297,4.557416,21.942257
22-Mar-18,21000,21399,20677,587092,2766,123 405 295,0.24%,3.2143,4.535714,22.047244
21-Mar-18,20950,20950,20950,0,0,0,0.00%,3.222,4.546539,21.994752
20-Mar-18,20950,21108,20601,344197,1711,72 126 265,-0.04%,3.222,4.546539,21.994751
19-Mar-18,20958,21117,20549,295001,1490,61 495 075,-0.02%,3.2207,4.544804,22.00315
16-Mar-18,20962,21101,20222,2095841,1643,438 955 628,2.53%,3.2201,4.543937,22.007349
15-Mar-18,20444,21143,20444,1459007,2229,304 107 897,-0.28%,3.3017,4.659069,21.463517
14-Mar-18,20501,21249,20501,697824,1554,146 200 724,-2.36%,3.2925,4.646115,21.52336
13-Mar-18,20997,21698,20933,460491,1890,96 989 755,-1.28%,3.2147,4.536362,22.044095
12-Mar-18,21270,21723,21270,610941,2026,130 345 166,-1.10%,3.1735,4.478138,22.330709
9-Mar-18,21507,21747,21200,501607,1783,107 078 033,0.75%,3.1385,4.428791,22.579528
8-Mar-18,21346,22285,21217,654877,2805,140 759 816,-3.74%,3.1622,4.462194,22.410499
7-Mar-18,22175,22329,21600,762627,1984,168 446 174,0.87%,3.044,4.295378,23.28084
6-Mar-18,21983,22290,21861,834045,2299,184 297 509,0.30%,3.0706,4.332894,23.079265
5-Mar-18,21918,22191,21120,620147,1610,136 454 370,-0.21%,3.0797,4.345743,23.011024
2-Mar-18,21965,22169,21425,510249,2101,112 041 782,1.22%,3.0731,4.336444,23.060367
1-Mar-18,21701,22015,21591,746419,1767,162 124 433,-0.73%,3.1105,4.389199,22.783202
28-Feb-18,21860,21979,21601,602477,2569,131 505 707,-1.82%,3.0878,4.357274,22.950131
27-Feb-18,22265,22265,21512,604401,2108,133 175 839,1.20%,3.0317,4.278015,23.375328
26-Feb-18,22000,22700,20614,963331,2343,213 839 283,-0.51%,3.0682,4.329545,23.097113
23-Feb-18,22112,22430,20602,629260,2326,137 385 861,4.87%,3.0526,4.307616,23.214698
22-Feb-18,21085,21272,20631,479947,1694,100 950 948,1.13%,3.2013,4.517429,22.136483
21-Feb-18,20850,21177,20660,1005778,3572,209 875 064,-1.63%,3.2374,4.568345,21.889764
20-Feb-18,21196,21200,20800,312822,1302,65 931 204,0.49%,3.1846,4.493772,22.253018
19-Feb-18,21092,21768,21068,317574,1411,67 531 569,-3.16%,3.2003,4.51593,22.143832
16-Feb-18,21780,21980,21441,739768,2474,160 341 673,-0.02%,3.0992,4.373278,22.866142
15-Feb-18,21784,22085,21217,573940,2435,124 539 603,2.64%,3.0986,4.372475,22.870341
14-Feb-18,21224,21408,20500,569567,1924,120 691 076,1.88%,3.1804,4.487844,22.282415
13-Feb-18,20832,21052,19505,655775,2122,135 094 798,4.75%,3.2402,4.572293,21.870866
12-Feb-18,19887,19945,19295,498460,1392,98 543 556,2.64%,3.3942,4.789561,20.87874
9-Feb-18,19376,19800,19220,687890,1830,133 654 584,-1.27%,3.4837,4.915875,20.342257
8-Feb-18,19625,19689,19261,611063,2315,119 328 165,2.21%,3.4395,4.853503,20.603675
7-Feb-18,19200,19628,18614,1033253,3259,198 137 677,0.92%,3.5156,4.960938,20.15748
6-Feb-18,19025,19025,18300,941216,2071,177 414 268,0.33%,3.548,5.00657,19.973753
5-Feb-18,18963,20935,18963,484758,1860,93 246 581,-4.83%,3.5596,5.022939,19.908661
2-Feb-18,19926,20333,19800,704180,1903,140 480 304,-0.37%,3.3875,4.780187,20.919685
1-Feb-18,20000,20949,19992,446827,1441,89 705 609,-2.44%,3.375,4.7625,20.997375
31-Jan-18,20500,21000,20099,824419,1424,168 560 344,1.05%,3.2927,4.646341,21.52231
30-Jan-18,20287,20472,19900,650896,1790,130 812 792,0.80%,3.3273,4.695125,21.298688
29-Jan-18,20125,20999,20102,443503,1987,89 875 505,-3.80%,3.354,4.732919,21.128609
26-Jan-18,20919,21400,20694,494544,1381,103 625 668,-1.11%,3.2267,4.553277,21.962205
25-Jan-18,21153,21499,20854,474993,1912,99 963 139,1.11%,3.191,4.502907,22.207874
24-Jan-18,20921,21225,19602,467162,1691,97 607 081,3.28%,3.2264,4.552842,21.964304
23-Jan-18,20256,20493,20000,405257,1353,82 139 588,1.28%,3.3323,4.70231,21.266142
22-Jan-18,20000,20791,19859,564303,2024,113 584 806,-2.03%,3.375,4.7625,20.997375
19-Jan-18,20415,21002,20020,725321,2271,148 115 945,-1.18%,3.3064,4.665687,21.433071
18-Jan-18,20659,20683,19602,518367,2479,105 968 957,3.30%,3.2673,4.610581,21.689239
17-Jan-18,20000,20000,19060,365383,1177,72 582 067,3.84%,3.375,4.7625,20.997375
16-Jan-18,19261,19490,19172,568942,1410,110 140 685,-0.80%,3.5045,4.945226,20.221522
