Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,21668,21717,21250,1018433,2584,219 259 382,2.66%,0,0,0
1-Jun-18,21107,21300,20887,2883936,6774,609 404 797,1.77%,4.3114,7.769934,12.870122
31-May-18,20740,20997,20320,7340687,7670,1 523 427 929,2.41%,4.3877,7.907425,12.646341
30-May-18,20251,20689,20099,2745537,6588,556 072 992,-0.07%,4.4936,8.098366,12.348171
29-May-18,20266,20627,20195,2972373,6223,605 815 698,-1.86%,4.4903,8.092371,12.357317
28-May-18,20650,20797,20376,1267931,3218,260 684 538,-0.16%,4.4068,7.941889,12.591463
25-May-18,20684,20800,20302,1920676,4490,394 733 829,1.83%,4.3995,7.928834,12.612195
24-May-18,20313,20655,20217,4720093,7431,965 458 193,-0.33%,4.4799,8.073647,12.385976
23-May-18,20380,20538,20105,5281673,7140,1 076 248 818,-0.61%,4.4652,8.047105,12.426829
22-May-18,20506,20732,20060,4376452,6238,899 482 758,2.27%,4.4377,7.997659,12.503659
21-May-18,20051,20213,19552,4729201,8058,946 723 193,1.27%,4.5384,8.179143,12.22622
18-May-18,19799,20794,19799,4342027,7595,877 431 217,-2.48%,4.5962,8.283247,12.072561
17-May-18,20302,20995,20302,4150547,7581,854 539 169,-3.66%,4.4823,8.078022,12.379268
16-May-18,21073,21073,20606,4997376,8933,1 044 206 473,1.86%,4.3183,7.78247,12.84939
15-May-18,20688,21672,20608,5467149,9951,1 146 834 718,-4.84%,4.3987,7.927301,12.614634
14-May-18,21741,21874,21319,2330464,4644,503 560 853,-0.61%,4.1856,7.543351,13.256707
11-May-18,21874,21963,21381,1900178,4443,412 321 816,1.76%,4.1602,7.497486,13.337805
10-May-18,21496,21786,21250,2875563,7305,619 621 156,1.30%,4.2333,7.629326,13.107317
9-May-18,21220,21439,20981,2943424,7302,625 302 203,0.95%,4.2884,7.728558,12.939024
8-May-18,21020,21400,20903,3014004,4029,633 586 197,-0.61%,4.3292,7.802093,12.817073
7-May-18,21148,21561,21100,2416022,4596,513 374 843,-0.05%,4.303,7.75487,12.895122
4-May-18,21159,21481,21101,3203820,4478,680 585 005,1.08%,4.3008,7.750839,12.901829
3-May-18,20933,21645,20933,3770005,6142,800 405 056,-3.09%,4.3472,7.83452,12.764024
2-May-18,21600,21778,21267,4351942,6054,935 954 941,0.78%,4.213,7.592593,13.170732
1-May-18,21432,21432,21432,0,0,0,0.00%,4.246,7.652109,13.068293
30-Apr-18,21432,21684,21124,4189506,6934,899 148 325,1.73%,4.246,7.652109,13.068293
27-Apr-18,21067,21067,21067,0,0,0,0.00%,4.3196,7.784687,12.845732
26-Apr-18,21067,21332,20990,3524736,6119,745 024 152,-0.04%,4.3196,7.784687,12.845732
25-Apr-18,21075,21568,20827,4690353,5967,995 041 878,-1.49%,4.3179,7.781732,12.85061
