Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,18944,19115,18668,188171,1269,35 679 090,1.68%,0,0,0
1-Jun-18,18631,18870,18050,885709,3324,164 228 536,1.12%,3.9987,6.100048,16.393313
31-May-18,18424,18638,17839,3339858,5358,614 171 373,3.39%,4.0436,6.168584,16.211175
30-May-18,17820,18649,17783,1731155,5392,315 137 370,-2.08%,4.1807,6.377666,15.679718
29-May-18,18199,18860,18149,1415415,4259,259 696 131,-4.22%,4.0936,6.244849,16.013198
28-May-18,19000,19277,18710,598801,2675,113 181 850,-0.24%,3.9211,5.981579,16.717994
25-May-18,19045,19189,18035,3072529,6935,580 236 473,5.81%,3.9118,5.967446,16.757589
24-May-18,18000,20000,17509,3453464,8832,636 632 053,-7.37%,4.1389,6.313889,15.838099
23-May-18,19432,19898,19141,1095293,3341,212 929 274,-1.86%,3.731,5.698333,17.548993
22-May-18,19800,19944,19250,708399,2317,139 882 648,2.22%,3.6616,5.592424,17.881333
21-May-18,19370,19952,19021,549345,2604,107 442 407,0.13%,3.7429,5.716572,17.493001
18-May-18,19344,20079,19259,740726,2441,144 863 319,-2.30%,3.7479,5.724256,17.46952
17-May-18,19800,20275,19800,897703,2038,179 779 043,-1.81%,3.6616,5.592424,17.881333
16-May-18,20166,20674,19767,891085,2350,179 878 001,1.41%,3.5952,5.490925,18.211867
15-May-18,19886,20880,19833,1068286,2891,216 275 567,-4.44%,3.6458,5.568239,17.958999
14-May-18,20811,21372,20458,385273,1576,79 967 571,-1.37%,3.4837,5.320744,18.794365
11-May-18,21100,21365,20200,894327,2916,185 675 293,3.50%,3.436,5.247867,19.05536
10-May-18,20387,20840,20311,1082365,3785,222 009 617,-0.87%,3.5562,5.431402,18.411451
9-May-18,20565,20839,20102,1259087,5832,259 572 836,1.78%,3.5254,5.384391,18.572203
8-May-18,20205,21025,20109,1191833,3725,244 597 391,-3.33%,3.5882,5.480327,18.247088
7-May-18,20902,21231,20683,914504,2307,192 031 488,0.29%,3.4686,5.297579,18.876547
4-May-18,20841,21387,20728,721057,1907,151 689 222,-0.01%,3.4787,5.313085,18.821458
3-May-18,20843,21477,20794,841779,3181,178 427 453,-2.63%,3.4784,5.312575,18.823264
2-May-18,21406,21574,21115,1064173,2450,227 612 370,-0.44%,3.3869,5.172849,19.331708
1-May-18,21500,21500,21500,0,0,0,0.00%,3.3721,5.150232,19.416601
30-Apr-18,21500,21999,20752,1310227,3400,280 985 144,2.33%,3.3721,5.150233,19.416599
27-Apr-18,21010,21010,21010,0,0,0,0.00%,3.4507,5.270348,18.974079
26-Apr-18,21010,21100,20410,1601859,4662,334 540 735,2.17%,3.4507,5.270347,18.974081
25-Apr-18,20564,20835,20345,729443,2617,150 036 944,-0.48%,3.5256,5.384653,18.5713
24-Apr-18,20664,21437,20623,831901,2135,174 655 950,-3.13%,3.5085,5.358595,18.661609
23-Apr-18,21331,21606,20960,967823,3135,206 091 200,-1.25%,3.3988,5.191037,19.263975
20-Apr-18,21600,21703,21272,798070,2592,171 726 436,0.32%,3.3565,5.126389,19.506909
19-Apr-18,21532,21880,21359,1970041,5521,424 863 430,0.62%,3.3671,5.142578,19.445498
18-Apr-18,21400,21417,20696,1210393,3019,256 648 993,1.99%,3.3879,5.174299,19.326289
17-Apr-18,20982,21129,20579,991438,3559,206 766 973,0.34%,3.4553,5.277381,18.948794
16-Apr-18,20911,21101,20200,1776436,4054,368 160 481,1.08%,3.4671,5.295299,18.884674
13-Apr-18,20687,20850,20500,1371722,3924,284 118 737,-0.17%,3.5046,5.352637,18.682381
12-Apr-18,20722,21200,20582,1781069,3139,371 184 866,-0.87%,3.4987,5.343596,18.713989
11-Apr-18,20903,21226,20713,805441,2281,168 839 176,-0.29%,3.4684,5.297326,18.87745
10-Apr-18,20963,21745,20602,1067998,3503,224 160 328,-1.12%,3.4585,5.282164,18.931636
9-Apr-18,21200,21835,20848,1648246,5191,351 651 025,-1.06%,3.4198,5.223113,19.14567
6-Apr-18,21428,22000,20871,1634730,4581,347 530 610,-0.48%,3.3834,5.167538,19.351576
5-Apr-18,21531,22070,21107,1362920,3753,295 280 087,2.41%,3.3672,5.142817,19.444595
4-Apr-18,21025,21812,20448,2105654,7445,439 897 421,-4.24%,3.4483,5.266587,18.987628
3-Apr-18,21957,22900,21500,1368532,3986,302 059 546,-1.87%,3.3019,5.043039,19.829315
2-Apr-18,22375,22375,22375,0,0,0,0.00%,3.2402,4.948827,20.206809
30-Mar-18,22375,22375,22375,0,0,0,0.00%,3.2402,4.948827,20.206809
29-Mar-18,22375,22614,21820,1579097,4727,352 446 475,1.86%,3.2402,4.948827,20.206809
28-Mar-18,21966,22459,21579,1670414,5745,367 338 450,-3.02%,3.3006,5.040972,19.837442
27-Mar-18,22650,23573,22397,1192099,3240,272 085 216,-1.52%,3.2009,4.888742,20.455161
26-Mar-18,23000,23461,22486,1069254,3810,244 175 082,-0.24%,3.1522,4.814348,20.771245
23-Mar-18,23056,23333,22579,1150288,3068,263 547 617,1.14%,3.1445,4.802654,20.821819
22-Mar-18,22795,24080,22702,2315432,4374,543 289 218,-3.09%,3.1805,4.857644,20.58611
21-Mar-18,23522,23522,23522,0,0,0,0.00%,3.0822,4.707508,21.242662
20-Mar-18,23522,23749,22383,2763044,4402,638 866 486,5.01%,3.0822,4.707508,21.242662
