Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,34016,34017,33515,82093,1106,27 781 261,1.65%,0,0,0
1-Jun-18,33463,33804,33305,403540,2691,135 507 104,-0.38%,3.2274,5.938798,16.838424
31-May-18,33590,34121,33341,1644952,4421,553 414 676,0.85%,3.2152,5.916344,16.90233
30-May-18,33306,33748,32603,1843360,5890,614 383 237,0.08%,3.2427,5.966793,16.759422
29-May-18,33279,33912,33257,886238,4321,297 059 809,-1.46%,3.2453,5.971634,16.745836
28-May-18,33772,34497,33001,952097,4695,320 245 727,-0.01%,3.1979,5.88446,16.993911
25-May-18,33777,35000,33314,810117,6121,273 242 328,1.34%,3.1974,5.883589,16.996427
24-May-18,33329,34800,32805,1904837,7473,638 970 245,-4.58%,3.2404,5.962675,16.770996
23-May-18,34928,35697,34266,1057166,4163,366 850 173,0.37%,3.0921,6.168976,16.210145
22-May-18,34800,34999,34001,743968,3692,257 965 519,1.28%,3.1034,6.191667,16.15074
21-May-18,34360,35020,34251,574878,3495,198 575 577,-1.25%,3.1432,6.270955,15.946536
18-May-18,34794,35486,34630,649692,3746,227 324 532,-1.00%,3.104,6.192734,16.147956
17-May-18,35147,35500,34772,560917,2511,197 034 732,-1.19%,3.0728,6.130537,16.311784
16-May-18,35570,36052,35020,704301,2702,248 764 706,0.88%,3.0363,6.057633,16.508099
15-May-18,35261,36200,35261,932234,3830,331 191 785,-2.39%,3.0629,6.110717,16.364691
14-May-18,36126,36403,35868,557473,2686,201 608 810,0.35%,2.9895,5.964402,16.766139
11-May-18,36000,37010,35440,856939,4015,308 532 503,-0.28%,3,5.985278,16.707662
10-May-18,36100,37406,35804,839287,4987,303 956 528,-2.24%,2.9917,5.968698,16.754072
9-May-18,36928,37439,36329,501278,4605,185 650 062,1.04%,2.9246,5.834868,17.138349
8-May-18,36549,37999,36274,574344,3155,211 313 367,-1.96%,2.9549,5.895373,16.962454
7-May-18,37279,38173,37000,461915,2381,174 012 037,0.40%,2.8971,5.77993,17.301248
4-May-18,37132,38962,37000,875325,2979,332 322 290,-3.52%,2.9085,5.802812,17.233025
3-May-18,38485,39195,38382,848884,3861,328 972 969,-1.05%,2.8063,5.598805,17.860955
2-May-18,38894,38901,38563,888707,3365,344 057 216,-0.02%,2.7768,5.539929,18.050773
1-May-18,38900,38900,38900,0,0,0,0.00%,2.7764,5.539074,18.053559
30-Apr-18,38900,39698,38500,482855,2551,188 168 564,0.52%,2.7763,5.539075,18.053557
27-Apr-18,38700,38700,38700,0,0,0,0.00%,2.7907,5.5677,17.960738
26-Apr-18,38700,38932,38001,1231704,3652,473 731 227,0.00%,2.7907,5.5677,17.960737
25-Apr-18,38700,38965,38320,1182314,2683,456 556 116,0.59%,2.7907,5.5677,17.960737
24-Apr-18,38473,38958,38143,852644,2998,328 011 477,-0.89%,2.8072,5.600551,17.855386
23-Apr-18,38820,39107,38286,583063,2380,226 029 517,0.12%,2.7821,5.550489,18.016429
20-Apr-18,38775,38870,38451,763141,3472,295 050 518,0.01%,2.7853,5.556931,17.995545
