Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,8535,8554,8272,282909,1161,23 993 105,2.37%,0,0,0
1-Jun-18,8337,8667,8214,2040426,3720,170 399 632,-0.84%,5.3137,9.264724,10.79363
31-May-18,8408,8528,8300,3005656,4480,253 478 325,1.92%,5.2688,9.186489,10.885552
30-May-18,8250,8320,8100,3675445,4172,303 339 752,1.13%,5.3697,9.362424,10.680994
29-May-18,8158,8322,8158,1646278,2382,135 172 884,-2.04%,5.4303,9.468007,10.561885
28-May-18,8328,8587,8237,1543907,2416,128 347 142,-1.15%,5.3194,9.274736,10.781978
25-May-18,8425,8489,8066,3911844,4141,326 970 477,2.74%,5.2582,9.167953,10.907561
24-May-18,8200,8685,8117,3629061,5034,302 206 629,-3.53%,5.4024,9.419512,10.616261
23-May-18,8500,8750,8463,2511589,3881,214 620 452,-3.41%,5.2118,9.087059,11.004661
22-May-18,8800,8900,8681,2841480,3405,250 523 615,0.57%,5.0341,8.777273,11.393061
21-May-18,8750,9012,8750,2496264,3851,220 691 012,-1.69%,5.0629,8.827429,11.328327
18-May-18,8900,9266,8874,1450679,2194,131 051 439,-3.16%,4.9775,8.678652,11.522527
17-May-18,9190,9361,9171,1762406,2208,162 463 411,-1.71%,4.8205,8.404788,11.89798
16-May-18,9350,9580,9204,3121091,2725,292 680 595,1.10%,4.738,8.260963,12.105127
15-May-18,9248,9635,9248,1769416,2887,166 509 384,-4.03%,4.7902,8.352076,11.973071
14-May-18,9636,9749,9554,1771257,2116,170 088 530,-0.66%,4.5973,8.015774,12.475401
11-May-18,9700,9800,9291,3049211,4820,291 604 453,2.46%,4.567,7.962887,12.55826
10-May-18,9467,10020,9467,2873307,4754,276 246 908,-4.84%,4.6794,8.158868,12.256603
9-May-18,9949,10161,9935,1375398,4228,138 207 580,-0.51%,4.4527,7.763594,12.880632
8-May-18,10000,10378,9901,2140694,2761,215 245 989,-1.77%,4.43,7.724,12.94666
7-May-18,10180,10440,10051,1695724,1843,172 928 432,0.79%,4.3517,7.587426,13.1797
