Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
4-Jun-18,5863,5910,5830,4284763,4704,251 570 724,0.57%,0,0,0
1-Jun-18,5830,5896,5816,6908370,8398,403 241 689,-0.07%,4.9485,6.596913,15.158606
31-May-18,5834,5889,5828,13073094,10506,763 493 831,-0.10%,4.9451,6.592389,15.169007
30-May-18,5840,5919,5800,5931973,8010,347 061 598,-1.00%,4.9401,6.585616,15.184607
29-May-18,5899,6060,5899,2767302,5280,164 088 242,-2.93%,4.8907,6.519749,15.338014
28-May-18,6077,6124,6005,1795897,3559,108 593 884,-0.21%,4.7474,6.328781,15.800832
25-May-18,6090,6115,5850,3130907,4015,188 179 859,3.77%,4.7373,6.315271,15.834633
24-May-18,5869,5997,5829,5440454,7780,320 253 823,-1.03%,4.9157,6.553075,15.26001
23-May-18,5930,6000,5911,4109678,5565,244 051 348,-1.00%,4.8651,6.485666,15.418617
22-May-18,5990,6019,5960,2580493,3312,154 573 429,0.00%,4.8164,6.420701,15.574623
21-May-18,5990,6109,5975,1855258,3150,111 510 806,-0.17%,4.8164,6.420701,15.574623
18-May-18,6000,6111,6000,1861761,3516,112 264 135,-0.71%,4.8083,6.41,15.600624
17-May-18,6043,6114,6017,2222173,2321,134 741 960,-0.61%,4.7741,6.364389,15.712429
16-May-18,6080,6191,6017,1713940,2496,104 419 277,-0.25%,4.7451,6.325658,15.808632
15-May-18,6095,6189,6086,3092152,5436,189 517 960,-1.82%,4.7334,6.31009,15.847634
14-May-18,6208,6223,6135,3618063,3709,223 750 941,0.18%,4.6472,6.195232,16.141446
11-May-18,6197,6230,6031,2474311,3421,152 300 750,2.45%,4.6555,6.206229,16.112845
10-May-18,6049,6256,6028,3925919,5080,239 963 927,-2.12%,4.7694,6.358076,15.728029
9-May-18,6180,6224,6160,5018452,6425,310 708 013,0.34%,4.6683,6.223301,16.068643
8-May-18,6159,6262,6074,3743488,3641,231 151 161,-1.46%,4.6842,6.24452,16.014041
7-May-18,6250,6353,6248,2063730,2904,129 846 566,-0.86%,4.616,6.1536,16.25065
4-May-18,6304,6400,6262,4561989,2980,289 528 543,-0.52%,4.5765,6.100888,16.391056
3-May-18,6337,6431,6337,2775341,3601,176 804 938,-0.60%,4.5526,6.069118,16.476859
2-May-18,6375,6442,6332,3480418,5072,222 460 741,-0.78%,4.5255,6.032941,16.575663
1-May-18,6425,6425,6425,0,0,0,0.00%,4.4903,5.985992,16.705669
