target,sequence
0,1980.0 1980.0 1970.0 1970.0 1960.0 1950.0 1940.0 1935.0 1920.0 1900.0 1900.0 1880.0 1860.0 1860.0 1850.0 1850.0 1825.0 1821.0 1828.0 1821.0
0,2000.0 2000.0 2000.0 2000.0 2000.0 2000.0 2000.0 1950.0 1900.0 1900.0 1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0
0,2000.0 2000.0 2000.0 2000.0 2000.0 2000.0 1950.0 1900.0 1900.0 1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0
0,2000.0 2000.0 2000.0 2000.0 2000.0 1950.0 1900.0 1900.0 1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0
0,2000.0 2000.0 2000.0 2000.0 1950.0 1900.0 1900.0 1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0
0,2000.0 2000.0 2000.0 1950.0 1900.0 1900.0 1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0
0,2000.0 2000.0 1950.0 1900.0 1900.0 1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0
0,2000.0 1950.0 1900.0 1900.0 1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0 1625.0
0,1950.0 1900.0 1900.0 1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0 1625.0 1600.0
0,1900.0 1900.0 1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0 1625.0 1600.0 1550.0
0,1900.0 1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0 1625.0 1600.0 1550.0 1550.0
0,1900.0 1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0 1625.0 1600.0 1550.0 1550.0 1550.0
0,1875.0 1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0 1625.0 1600.0 1550.0 1550.0 1550.0 1550.0
0,1850.0 1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0 1625.0 1600.0 1550.0 1550.0 1550.0 1550.0 1550.0
0,1825.0 1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0 1625.0 1600.0 1550.0 1550.0 1550.0 1550.0 1550.0 1550.0
0,1825.0 1825.0 1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0 1625.0 1600.0 1550.0 1550.0 1550.0 1550.0 1550.0 1550.0 1525.0
0,1800.0 1775.0 1725.0 1725.0 1725.0 1675.0 1625.0 1625.0 1625.0 1625.0 1600.0 1550.0 1550.0 1550.0 1550.0 1550.0 1550.0 1525.0 1525.0 1550.0
0,835.0 828.0 828.0 828.0 821.0 821.0 814.0 814.0 814.0 800.0 786.0 701.0 701.0 701.0 701.0 701.0 687.0 687.0 687.0 687.0
0,2075.0 2100.0 2140.0 2130.0 2150.0 2150.0 2150.0 2075.0 2025.0 1920.0 1905.0 1900.0 1925.0 1930.0 1925.0 1910.0 1900.0 1852.0 1790.0 1740.0
0,1200.0 1210.0 1200.0 1225.0 1225.0 1220.0 1220.0 1210.0 1200.0 1155.0 1150.0 1140.0 1135.0 1160.0 1150.0 1140.0 1100.0 1105.0 1100.0 1095.0
0,2025.0 1920.0 1905.0 1900.0 1925.0 1930.0 1925.0 1910.0 1900.0 1852.0 1790.0 1740.0 1730.0 1750.0 1770.0 1765.0 1760.0 1735.0 1700.0 1760.0
0,4300.0 4395.0 4340.0 4340.0 4400.0 4400.0 4329.0 4375.0 4280.0 4120.0 4100.0 4134.0 4065.0 4040.0 4058.0 4035.0 4021.0 4059.0 4013.0 4004.0
